unit,recipientgovernment,internationalorganization,internationalngos,localngos,privatesector,ranking,treat,pe
167,1,NA,NA,NA,NA,1----,2,1
168,1,NA,NA,NA,NA,1----,3,1
169,5,NA,NA,NA,NA,5----,1,1
170,1,NA,NA,NA,NA,1----,2,1
171,1,NA,NA,NA,NA,1----,3,1
172,5,NA,NA,NA,NA,5----,1,0
173,5,NA,NA,NA,NA,5----,2,0
174,5,NA,NA,NA,NA,5----,3,0
175,NA,NA,NA,NA,NA,-----,1,0
176,NA,NA,NA,NA,NA,-----,2,0
177,NA,NA,NA,NA,NA,-----,3,0
178,1,NA,NA,NA,NA,1----,1,1
179,1,NA,NA,NA,NA,1----,2,1
180,1,NA,NA,NA,NA,1----,3,1
181,5,NA,NA,NA,NA,5----,1,1
182,1,NA,NA,NA,NA,1----,2,1
183,3,NA,NA,NA,NA,3----,3,1
184,3,NA,NA,NA,NA,3----,1,1
185,1,NA,NA,NA,NA,1----,2,1
186,1,NA,NA,NA,NA,1----,3,1
187,5,NA,NA,NA,NA,5----,1,1
188,1,NA,NA,NA,NA,1----,2,1
189,2,NA,NA,NA,NA,2----,3,1
190,NA,NA,NA,NA,NA,-----,1,1
191,NA,NA,NA,NA,NA,-----,2,1
192,NA,NA,NA,NA,NA,-----,3,1
193,5,NA,NA,NA,NA,5----,1,1
194,2,NA,NA,NA,NA,2----,2,1
195,4,NA,NA,NA,NA,4----,3,1
196,NA,NA,NA,NA,NA,-----,1,1
197,NA,NA,NA,NA,NA,-----,2,1
198,NA,NA,NA,NA,NA,-----,3,1
199,4,NA,NA,NA,NA,4----,1,1
200,1,NA,NA,NA,NA,1----,2,1
201,2,NA,NA,NA,NA,2----,3,1
202,NA,NA,NA,NA,NA,-----,1,1
203,NA,NA,NA,NA,NA,-----,2,1
204,NA,NA,NA,NA,NA,-----,3,1
205,NA,NA,NA,NA,NA,-----,1,0
206,NA,NA,NA,NA,NA,-----,2,0
207,NA,NA,NA,NA,NA,-----,3,0
208,NA,NA,NA,NA,NA,-----,1,0
209,NA,NA,NA,NA,NA,-----,2,0
210,NA,NA,NA,NA,NA,-----,3,0
211,NA,NA,NA,NA,NA,-----,1,1
212,NA,NA,NA,NA,NA,-----,2,1
213,NA,NA,NA,NA,NA,-----,3,1
214,NA,NA,NA,NA,NA,-----,1,1
215,NA,NA,NA,NA,NA,-----,2,1
216,NA,NA,NA,NA,NA,-----,3,1
217,NA,NA,NA,NA,NA,-----,1,1
218,NA,NA,NA,NA,NA,-----,2,1
219,NA,NA,NA,NA,NA,-----,3,1
220,NA,NA,NA,NA,NA,-----,1,0
221,NA,NA,NA,NA,NA,-----,2,0
222,NA,NA,NA,NA,NA,-----,3,0
