unit,fair,generous,honest,powerful,friendly,culture,resolved,organized,intelligent,ranking,treat,condition
1110,NA,NA,NA,NA,NA,NA,NA,2,1,-------21,2,Countries
1111,1,NA,3,NA,2,NA,4,5,NA,1-3-2-45-,1,Individuals
1112,NA,NA,2,NA,NA,NA,NA,NA,1,--2-----1,1,Individuals
1113,2,NA,3,NA,NA,NA,NA,4,1,2-3----41,1,Individuals
1114,3,NA,2,4,NA,NA,NA,NA,1,3-24----1,1,Individuals
1115,2,5,3,1,6,NA,4,NA,NA,25316-4--,2,Countries
1116,NA,NA,3,2,1,NA,NA,NA,NA,--321----,1,Individuals
1117,4,NA,1,NA,2,5,NA,NA,3,4-1-25--3,1,Individuals
1118,2,NA,1,NA,3,NA,NA,NA,4,2-1-3---4,1,Individuals
1119,1,NA,3,NA,2,NA,NA,4,NA,1-3-2--4-,2,Countries
1120,3,NA,2,NA,NA,NA,4,5,1,3-2---451,1,Individuals
1121,4,NA,1,5,2,NA,NA,NA,3,4-152---3,1,Individuals
1122,2,NA,1,NA,NA,NA,NA,NA,NA,2-1------,2,Countries
1123,NA,NA,NA,1,NA,NA,2,3,4,---1--234,1,Individuals
1124,NA,NA,NA,1,NA,NA,2,3,NA,---1--23-,2,Countries
1125,4,NA,3,NA,2,NA,NA,NA,1,4-3-2---1,1,Individuals
1126,2,NA,6,5,3,1,NA,NA,4,2-6531--4,1,Individuals
1127,2,NA,4,1,NA,NA,5,NA,3,2-41--5-3,2,Countries
1128,NA,4,NA,NA,1,NA,2,NA,3,-4--1-2-3,1,Individuals
1129,2,NA,NA,5,4,NA,3,1,NA,2--54-31-,2,Countries
1130,5,NA,1,7,6,NA,4,3,2,5-176-432,2,Countries
1131,4,NA,1,2,NA,NA,3,NA,NA,4-12--3--,2,Countries
1132,6,1,2,3,5,8,4,9,7,612358497,2,Countries
1133,2,NA,6,3,7,NA,1,5,4,2-637-154,1,Individuals
1134,2,NA,5,1,NA,NA,4,3,NA,2-51--43-,2,Countries
1135,4,NA,1,NA,2,NA,3,NA,5,4-1-2-3-5,1,Individuals
1136,NA,NA,NA,NA,1,NA,NA,NA,2,----1---2,1,Individuals
1137,1,NA,3,NA,2,NA,NA,NA,4,1-3-2---4,2,Countries
1138,1,NA,NA,NA,NA,NA,3,NA,2,1-----3-2,1,Individuals
1139,1,NA,2,NA,NA,NA,3,NA,NA,1-2---3--,2,Countries
1140,NA,2,NA,NA,NA,NA,1,NA,NA,-2----1--,1,Individuals
1141,1,NA,2,NA,3,NA,NA,NA,NA,1-2-3----,1,Individuals
1142,NA,4,2,NA,NA,NA,3,5,1,-42---351,2,Countries
1143,1,NA,3,4,NA,NA,2,NA,NA,1-34--2--,1,Individuals
1144,NA,NA,NA,2,NA,1,3,NA,NA,---2-13--,1,Individuals
1145,5,NA,2,1,4,NA,NA,3,NA,5-214--3-,1,Individuals
1146,1,NA,2,NA,4,NA,NA,NA,3,1-2-4---3,1,Individuals
1147,NA,NA,2,1,NA,NA,3,NA,4,--21--3-4,1,Individuals
1148,1,NA,3,NA,NA,NA,NA,2,4,1-3----24,2,Countries
1149,NA,NA,3,NA,2,1,NA,NA,NA,--3-21---,1,Individuals
1150,4,NA,1,NA,2,NA,NA,NA,3,4-1-2---3,1,Individuals
1151,NA,NA,2,NA,3,NA,NA,NA,1,--2-3---1,1,Individuals
1152,2,4,NA,NA,1,5,NA,3,NA,24--15-3-,2,Countries
1153,NA,3,2,NA,1,NA,NA,NA,NA,-32-1----,1,Individuals
1154,2,NA,3,NA,NA,NA,NA,4,1,2-3----41,1,Individuals
1155,1,2,NA,3,NA,NA,NA,NA,4,12-3----4,2,Countries
1156,2,6,3,4,1,NA,NA,5,NA,26341--5-,2,Countries
1157,NA,NA,NA,3,4,NA,1,NA,2,---34-1-2,2,Countries
1158,3,4,1,NA,NA,NA,NA,NA,2,341-----2,2,Countries
1159,NA,NA,NA,1,NA,3,NA,2,NA,---1-3-2-,2,Countries
1160,3,NA,2,4,NA,NA,NA,1,NA,3-24---1-,1,Individuals
1161,2,1,5,NA,NA,NA,NA,4,3,215----43,1,Individuals
1162,1,NA,NA,2,NA,NA,3,NA,NA,1--2--3--,2,Countries
1163,2,NA,3,NA,4,NA,NA,1,NA,2-3-4--1-,1,Individuals
1164,6,NA,5,NA,3,NA,1,2,4,6-5-3-124,1,Individuals
1165,3,NA,1,NA,4,2,NA,NA,NA,3-1-42---,2,Countries
1166,1,NA,2,NA,4,NA,3,NA,NA,1-2-4-3--,1,Individuals
1167,NA,NA,NA,2,NA,NA,1,NA,NA,---2--1--,1,Individuals
1168,3,NA,2,NA,NA,NA,NA,1,4,3-2----14,2,Countries
1169,1,NA,NA,4,NA,NA,NA,2,3,1--4---23,2,Countries
1170,1,NA,3,NA,2,NA,NA,NA,NA,1-3-2----,2,Countries
1171,1,NA,3,NA,4,NA,NA,2,NA,1-3-4--2-,2,Countries
1172,NA,NA,1,NA,NA,NA,2,NA,NA,--1---2--,1,Individuals
1173,NA,NA,4,NA,2,NA,NA,3,1,--4-2--31,2,Countries
1174,NA,1,NA,NA,NA,2,3,NA,4,-1---23-4,1,Individuals
1175,1,NA,2,NA,4,NA,NA,5,3,1-2-4--53,1,Individuals
1176,NA,NA,1,NA,2,NA,NA,NA,NA,--1-2----,2,Countries
1177,1,5,NA,NA,4,NA,2,3,NA,15--4-23-,2,Countries
1178,2,3,1,NA,NA,NA,NA,NA,NA,231------,1,Individuals
1179,1,NA,4,NA,3,NA,NA,5,2,1-4-3--52,2,Countries
1180,6,3,2,NA,1,4,NA,5,NA,632-14-5-,2,Countries
1181,3,NA,1,7,4,NA,6,2,5,3-174-625,2,Countries
1182,NA,NA,1,NA,NA,NA,3,NA,2,--1---3-2,2,Countries
1183,NA,NA,NA,NA,NA,NA,NA,2,1,-------21,2,Countries
1184,NA,3,NA,NA,NA,1,NA,2,NA,-3---1-2-,1,Individuals
1185,NA,NA,4,NA,1,NA,2,3,5,--4-1-235,1,Individuals
1186,4,NA,3,NA,NA,NA,5,2,1,4-3---521,1,Individuals
1187,NA,NA,2,NA,3,NA,NA,4,1,--2-3--41,1,Individuals
1188,NA,NA,NA,1,NA,NA,NA,NA,2,---1----2,1,Individuals
1189,4,NA,1,2,NA,NA,NA,NA,3,4-12----3,2,Countries
1190,NA,2,3,NA,1,NA,NA,NA,NA,-23-1----,1,Individuals
1191,2,NA,3,1,4,NA,NA,NA,NA,2-314----,2,Countries
1192,2,NA,1,NA,5,NA,NA,4,3,2-1-5--43,1,Individuals
1193,3,NA,5,NA,1,4,NA,2,NA,3-5-14-2-,2,Countries
1194,1,NA,NA,4,NA,NA,2,NA,3,1--4--2-3,1,Individuals
1195,4,NA,3,NA,1,2,NA,NA,NA,4-3-12---,2,Countries
1196,NA,3,2,NA,NA,NA,NA,NA,1,-32-----1,1,Individuals
1197,3,4,1,NA,5,NA,NA,NA,2,341-5---2,1,Individuals
1198,NA,NA,NA,NA,NA,NA,2,1,NA,------21-,2,Countries
1199,5,NA,3,1,2,NA,NA,4,NA,5-312--4-,1,Individuals
1200,1,NA,NA,2,3,NA,NA,NA,NA,1--23----,2,Countries
1201,NA,2,NA,NA,1,NA,NA,NA,NA,-2--1----,2,Countries
1202,NA,NA,NA,2,NA,NA,1,NA,3,---2--1-3,2,Countries
1203,NA,NA,NA,2,NA,NA,1,NA,NA,---2--1--,1,Individuals
1204,1,NA,NA,NA,NA,NA,NA,2,NA,1------2-,2,Countries
1205,3,NA,1,NA,NA,NA,2,NA,NA,3-1---2--,1,Individuals
1206,NA,NA,NA,4,2,NA,3,NA,1,---42-3-1,2,Countries
1207,NA,NA,3,1,NA,NA,NA,NA,2,--31----2,1,Individuals
1208,NA,2,NA,NA,3,1,NA,NA,NA,-2--31---,2,Countries
1209,4,NA,2,NA,1,NA,NA,3,NA,4-2-1--3-,1,Individuals
1210,3,NA,1,NA,2,NA,NA,NA,NA,3-1-2----,1,Individuals
1211,4,NA,5,3,2,NA,NA,NA,1,4-532---1,1,Individuals
1212,NA,4,3,2,NA,NA,NA,NA,1,-432----1,2,Countries
1213,4,5,NA,NA,2,1,NA,3,6,45--21-36,2,Countries
1214,1,NA,NA,NA,2,NA,NA,4,3,1---2--43,1,Individuals
1215,NA,NA,NA,2,NA,NA,3,NA,1,---2--3-1,1,Individuals
1216,NA,NA,NA,NA,NA,NA,NA,1,2,-------12,2,Countries
1217,4,1,8,2,5,9,6,3,7,418259637,2,Countries
1218,2,NA,5,4,NA,NA,1,6,3,2-54--163,2,Countries
1219,NA,NA,1,NA,NA,NA,NA,3,2,--1----32,2,Countries
1220,4,3,6,NA,1,5,NA,NA,2,436-15--2,2,Countries
1221,4,NA,1,NA,5,NA,2,3,6,4-1-5-236,1,Individuals
1222,3,5,4,8,2,9,6,7,1,354829671,1,Individuals
1223,NA,1,NA,3,NA,NA,2,NA,NA,-1-3--2--,2,Countries
1224,NA,2,3,NA,1,NA,NA,NA,NA,-23-1----,1,Individuals
1225,3,NA,2,NA,1,NA,NA,NA,NA,3-2-1----,2,Countries
1226,2,NA,1,NA,NA,NA,NA,3,NA,2-1----3-,2,Countries
1227,NA,NA,3,NA,NA,NA,1,NA,2,--3---1-2,1,Individuals
1228,2,NA,1,NA,5,4,NA,3,NA,2-1-54-3-,1,Individuals
1229,2,NA,4,NA,NA,1,3,NA,NA,2-4--13--,2,Countries
1230,NA,NA,1,NA,NA,NA,NA,2,NA,--1----2-,2,Countries
1231,3,NA,2,NA,1,NA,5,NA,4,3-2-1-5-4,2,Countries
1232,5,3,4,NA,2,1,NA,NA,NA,534-21---,1,Individuals
1233,2,1,NA,NA,NA,NA,NA,NA,NA,21-------,2,Countries
1234,1,NA,2,NA,NA,NA,3,NA,NA,1-2---3--,1,Individuals
1235,NA,NA,NA,2,NA,NA,NA,1,NA,---2---1-,1,Individuals
1236,NA,NA,2,1,4,NA,NA,3,NA,--214--3-,2,Countries
1237,4,NA,1,NA,NA,NA,NA,3,2,4-1----32,1,Individuals
1238,3,6,2,5,1,NA,NA,NA,4,36251---4,2,Countries
1239,NA,NA,NA,1,NA,NA,2,NA,NA,---1--2--,2,Countries
1240,NA,NA,1,NA,3,2,NA,NA,NA,--1-32---,1,Individuals
1241,4,NA,2,NA,3,NA,NA,1,NA,4-2-3--1-,2,Countries
1242,1,NA,2,NA,NA,NA,NA,NA,NA,1-2------,1,Individuals
1243,2,3,1,NA,4,NA,NA,NA,NA,231-4----,1,Individuals
1244,2,NA,1,NA,NA,NA,NA,3,NA,2-1----3-,1,Individuals
1245,2,NA,NA,NA,NA,NA,NA,1,3,2------13,1,Individuals
