unit,fair,generous,honest,powerful,friendly,culture,resolved,organized,intelligent,ranking,treat,condition
836,3,NA,NA,NA,NA,2,NA,NA,1,3----2--1,2,Countries
837,NA,2,4,1,5,NA,3,NA,6,-2415-3-6,2,Countries
838,6,NA,3,4,5,NA,NA,1,2,6-345--12,2,Countries
839,NA,NA,1,NA,2,NA,NA,NA,NA,--1-2----,2,Countries
840,2,3,1,NA,4,NA,NA,NA,NA,231-4----,1,Individuals
841,2,NA,1,NA,NA,NA,NA,3,NA,2-1----3-,2,Countries
842,3,7,1,8,5,9,4,6,2,371859462,1,Individuals
843,3,4,1,NA,2,NA,NA,NA,NA,341-2----,2,Countries
844,4,5,1,NA,2,NA,NA,3,NA,451-2--3-,1,Individuals
845,3,NA,2,1,NA,NA,NA,NA,NA,3-21-----,2,Countries
846,1,NA,3,NA,2,NA,NA,NA,NA,1-3-2----,2,Countries
847,NA,2,1,NA,NA,3,NA,NA,NA,-21--3---,1,Individuals
848,3,NA,NA,1,NA,NA,2,NA,NA,3--1--2--,1,Individuals
849,NA,NA,1,2,NA,NA,NA,NA,3,--12----3,2,Countries
850,3,5,1,NA,NA,4,NA,2,NA,351--4-2-,1,Individuals
851,3,NA,1,4,2,7,NA,6,5,3-1427-65,2,Countries
852,4,NA,3,NA,2,NA,NA,NA,1,4-3-2---1,2,Countries
853,NA,NA,1,NA,NA,NA,2,NA,NA,--1---2--,1,Individuals
854,4,8,2,6,7,9,5,3,1,482679531,2,Countries
855,3,NA,2,NA,NA,4,NA,5,1,3-2--4-51,1,Individuals
856,NA,NA,2,NA,1,NA,NA,NA,NA,--2-1----,2,Countries
857,3,4,1,NA,2,NA,NA,NA,5,341-2---5,1,Individuals
858,1,NA,NA,2,NA,NA,NA,NA,3,1--2----3,2,Countries
859,1,NA,4,NA,NA,3,2,NA,NA,1-4--32--,1,Individuals
860,2,NA,NA,3,1,NA,NA,NA,4,2--31---4,2,Countries
861,5,NA,NA,3,1,4,NA,2,NA,5--314-2-,2,Countries
862,NA,NA,NA,1,NA,NA,2,NA,NA,---1--2--,1,Individuals
863,NA,NA,3,1,NA,2,NA,NA,4,--31-2--4,1,Individuals
