unit,civil,uncivil,intolerant,threatening,ranking,treat,treatment,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1153,4,2,1,3,4213,0,control,Independent,intolerant,Male,Born 1991 or later,Race other/multiple,College,A few times a month,100,100,Independent
1154,4,3,1,2,4312,4,threatening,Independent,intolerant,Male,Born 1991 or later,Race other/multiple,College,Every day,35,39,Independent
1155,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,Race other/multiple,College,Every day,0,0,Democrat
1156,4,2,1,3,4213,2,uncivil,Republican,intolerant,Male,Born 1991 or later,White,College,Every day,38,53,Leaning Republican
1157,4,1,3,2,4132,5,threatening (new),Republican,uncivil,Male,Born 1991 or later,Hispanic,"Professional degree,College",A few times a month,19,92,Leaning Republican
1158,1,3,2,4,1324,0,control,Republican,civil,Male,Born 1959-1974,White,Postgraduate (e.g. Masters),Every day,0,0,Strong Republican
1159,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day,80,91,Democrat
1160,1,4,2,3,1423,1,non-group-related control,Democrat,civil,Male,Born 1975-1990,Hispanic,College,At least once a week but not every day,0,0,Strong Democrat
1161,2,3,1,4,2314,2,uncivil,Republican,intolerant,Male,Born 1991 or later,White,College,At least once a week but not every day,0,0,Republican
1162,4,3,2,1,4321,4,threatening,Democrat,threatening,Male,Born 1991 or later,Hispanic,College,Every day,47,63,Leaning Democrat
1163,4,3,2,1,4321,5,threatening (new),Independent,threatening,Male,Born 1991 or later,Hispanic,College,Every day,100,100,Independent
1164,4,2,1,3,4213,0,control,Democrat,intolerant,Other,Born 1991 or later,White,High school graduate,Every day,100,100,Democrat
1165,4,2,1,3,4213,3,intolerant,Independent,intolerant,Male,Born 1991 or later,White,College,Less often,25,50,Independent
1166,1,3,2,4,1324,1,non-group-related control,Independent,civil,Male,Born 1991 or later,White,College,Every day,0,0,Independent
1167,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day,100,100,Democrat
1168,4,2,3,1,4231,4,threatening,Independent,threatening,Male,Born 1991 or later,Black,High school graduate,Every day,5,90,Independent
1169,4,1,2,3,4123,2,uncivil,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,Every day,76,78,Independent
1170,4,2,1,3,4213,0,control,Democrat,intolerant,Other,Born 1991 or later,White,College,Every day,74,73,Leaning Democrat
1171,4,2,3,1,4231,4,threatening,Independent,threatening,Male,Born 1991 or later,White,High school graduate,Every day,70,74,Independent
1172,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,Hispanic,High school graduate,Every day,83,100,Democrat
1173,4,2,3,1,4231,5,threatening (new),Independent,threatening,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day,35,37,Independent
1174,3,2,1,4,3214,0,control,Democrat,intolerant,Male,Born 1975-1990,White,High school graduate,Less often,55,71,Strong Democrat
1175,1,3,2,4,1324,1,non-group-related control,Independent,civil,Male,Born 1991 or later,Race other/multiple,College,Every day,0,0,Independent
1176,4,2,1,3,4213,2,uncivil,Independent,intolerant,Male,Born 1975-1990,Black,College,Every day,34,42,Independent
1177,3,2,1,4,3214,0,control,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day,61,82,Leaning Democrat
1178,3,2,1,4,3214,3,intolerant,Independent,intolerant,Male,Born 1991 or later,Hispanic,College,Every day,18,63,Independent
1179,1,3,2,4,1324,5,threatening (new),Republican,civil,Male,Born 1975-1990,Black,Less than high school,Every day,25,25,Strong Republican
1180,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1959-1974,Black,College,Every day,60,85,Leaning Democrat
1181,4,2,3,1,4231,4,threatening,Independent,threatening,Male,Born 1975-1990,Black,High school graduate,Every day,79,100,Independent
1182,4,1,3,2,4132,4,threatening,Independent,uncivil,Male,Born 1991 or later,White,College,Every day,40,41,Independent
1183,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Male,Born 1959-1974,White,College,Every day,42,42,Democrat
