unit,civil,uncivil,intolerant,threatening,ranking,treat,treatment,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
996,1,3,2,4,1324,1,non-group-related control,Republican,civil,Female,Born 1975-1990,White,"High school graduate,Professional degree",Every day,0,0,Leaning Republican
997,4,2,1,3,4213,4,threatening,Republican,intolerant,Female,Born 1975-1990,Hispanic,High school graduate,Every day,3,4,Leaning Republican
998,1,2,3,4,1234,1,non-group-related control,Republican,civil,Female,Born 1959-1974,White,High school graduate,Less often,0,0,Strong Republican
999,3,1,4,2,3142,3,intolerant,Democrat,uncivil,Other,Born 1991 or later,White,High school graduate,Every day,100,100,Strong Democrat
1000,4,2,3,1,4231,3,intolerant,Democrat,threatening,Male,Born 1991 or later,Black,Postgraduate (e.g. Masters),Every day,78,78,Democrat
1001,4,2,1,3,4213,0,control,Democrat,intolerant,Female,Born 1959-1974,White,High school graduate,Every day,100,100,Democrat
1002,3,2,1,4,3214,0,control,Democrat,intolerant,Female,Born 1943-1958,Black,College,A few times a month,75,90,Democrat
1003,4,3,2,1,4321,1,non-group-related control,Democrat,threatening,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day,77,75,Democrat
1004,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1975-1990,White,College,Every day,70,100,Strong Democrat
1005,4,3,2,1,4321,4,threatening,Independent,threatening,Male,Born 1975-1990,White,College,Every day,50,50,Independent
1006,4,2,3,1,4231,5,threatening (new),Independent,threatening,Male,Born 1975-1990,White,College,At least once a week but not every day,0,0,Independent
1007,1,3,2,4,1324,1,non-group-related control,Republican,civil,Female,Born 1991 or later,White,High school graduate,At least once a week but not every day,0,0,Republican
1008,4,1,3,2,4132,3,intolerant,Democrat,uncivil,Female,Born 1991 or later,White,High school graduate,At least once a week but not every day,100,100,Leaning Democrat
1009,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Female,Born 1975-1990,Race other/multiple,College,Every day,62,14,Democrat
1010,2,3,1,4,2314,0,control,Independent,intolerant,Female,Born 1991 or later,Race other/multiple,College,Every day,23,80,Independent
1011,3,1,2,4,3124,2,uncivil,Democrat,uncivil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,25,10,Democrat
1012,4,1,2,3,4123,0,control,Democrat,uncivil,Female,Born 1991 or later,White,College,Every day,100,100,Strong Democrat
1013,4,3,2,1,4321,4,threatening,Democrat,threatening,Male,Born 1959-1974,White,High school graduate,Every day,50,75,Democrat
