unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,age,female
1595,NA,1,NA,NA,NA,2,-1---2,0,39,3
1596,NA,2,NA,NA,1,NA,-2--1-,0,32,1
1597,NA,NA,1,NA,NA,NA,--1---,6,33,2
1598,NA,1,NA,NA,NA,2,-1---2,0,28,5
1599,NA,1,NA,NA,NA,NA,-1----,1,30,3
1600,1,NA,2,3,NA,NA,1-23--,6,37,2
1601,1,NA,2,3,NA,NA,1-23--,5,53,2
1602,1,NA,NA,NA,NA,NA,1-----,2,44,2
1603,1,NA,2,3,NA,NA,1-23--,6,52,1
1604,1,NA,2,3,NA,NA,1-23--,0,39,8
1605,1,NA,2,3,NA,NA,1-23--,2,37,2
1606,1,NA,2,3,NA,NA,1-23--,4,49,2
1607,1,NA,2,3,NA,NA,1-23--,5,58,2
1608,1,NA,2,3,NA,NA,1-23--,4,27,2
1609,1,NA,2,3,NA,NA,1-23--,6,43,2
1610,1,NA,NA,NA,NA,NA,1-----,1,48,2
1611,1,NA,2,3,NA,NA,1-23--,7,52,2
1612,1,NA,NA,NA,NA,NA,1-----,5,33,1
1613,1,NA,2,3,NA,NA,1-23--,2,43,3
1614,1,NA,NA,NA,NA,NA,1-----,7,46,1
1615,1,NA,NA,NA,NA,NA,1-----,6,38,4
1616,NA,NA,NA,NA,NA,NA,------,5,57,2
1617,1,NA,NA,NA,NA,NA,1-----,7,45,2
1618,NA,NA,NA,NA,NA,NA,------,0,51,5
1619,1,NA,2,NA,NA,NA,1-2---,1,56,2
1620,1,NA,2,NA,NA,NA,1-2---,6,47,2
1621,1,NA,2,NA,NA,NA,1-2---,7,34,3
1622,1,NA,2,NA,NA,NA,1-2---,1,55,2
1623,1,NA,NA,NA,NA,NA,1-----,7,49,1
1624,NA,NA,NA,NA,NA,NA,------,6,47,5
1625,1,NA,2,NA,NA,NA,1-2---,2,48,2
1626,1,NA,2,NA,NA,NA,1-2---,1,45,4
1627,1,NA,2,NA,NA,NA,1-2---,4,53,1
1628,1,NA,2,NA,NA,NA,1-2---,7,31,4
1629,1,NA,2,NA,NA,NA,1-2---,1,57,1
1630,1,NA,NA,NA,NA,NA,1-----,1,46,2
1631,NA,NA,NA,NA,NA,NA,------,2,27,3
1632,1,NA,2,3,NA,NA,1-23--,0,58,2
1633,1,NA,NA,NA,NA,NA,1-----,3,47,1
1634,NA,NA,NA,NA,NA,NA,------,7,51,4
1635,NA,NA,NA,NA,NA,NA,------,7,51,3
1636,1,NA,NA,NA,NA,NA,1-----,5,61,2
1637,1,NA,NA,NA,NA,NA,1-----,5,53,2
1638,1,NA,2,NA,NA,NA,1-2---,7,51,3
1639,1,NA,2,3,NA,NA,1-23--,5,32,2
1640,1,NA,2,3,NA,NA,1-23--,1,48,2
1641,1,NA,2,3,NA,NA,1-23--,2,46,2
1642,1,NA,2,3,NA,NA,1-23--,0,53,2
1643,1,NA,2,3,NA,NA,1-23--,0,43,2
1644,1,NA,2,3,NA,NA,1-23--,3,44,3
1645,1,NA,2,3,NA,NA,1-23--,6,40,2
1646,1,NA,2,3,NA,NA,1-23--,2,36,2
1647,1,NA,2,3,NA,NA,1-23--,6,52,2
1648,1,NA,2,3,NA,NA,1-23--,5,31,3
1649,1,NA,2,3,NA,NA,1-23--,2,25,8
1650,1,NA,2,3,NA,NA,1-23--,5,36,2
1651,1,NA,NA,NA,NA,NA,1-----,3,47,1
1652,1,NA,2,3,NA,NA,1-23--,1,42,2
1653,1,NA,2,3,NA,NA,1-23--,4,28,2
1654,1,NA,2,NA,NA,NA,1-2---,3,53,2
1655,NA,NA,NA,NA,NA,NA,------,6,41,1
1656,NA,NA,NA,NA,NA,NA,------,7,31,4
1657,1,NA,NA,NA,NA,NA,1-----,7,50,1
1658,1,NA,NA,NA,NA,NA,1-----,4,22,3
1659,NA,NA,NA,NA,NA,NA,------,1,45,4
1660,1,NA,2,3,NA,NA,1-23--,5,46,3
1661,1,NA,NA,NA,NA,NA,1-----,3,48,1
1662,1,NA,2,3,NA,NA,1-23--,3,27,3
1663,1,NA,2,3,NA,NA,1-23--,1,37,2
1664,1,NA,2,NA,NA,NA,1-2---,4,43,2
1665,1,NA,2,3,NA,NA,1-23--,1,36,2
1666,1,NA,2,3,NA,NA,1-23--,6,47,2
1667,NA,NA,NA,NA,NA,NA,------,7,44,1
1668,1,NA,2,3,NA,NA,1-23--,6,53,2
1669,1,NA,NA,NA,NA,NA,1-----,6,46,1
1670,NA,1,NA,NA,NA,NA,-1----,2,53,4
1671,NA,NA,NA,NA,NA,NA,------,6,44,2
1672,NA,NA,NA,NA,NA,NA,------,3,60,3
1673,NA,NA,NA,NA,NA,NA,------,6,54,4
1674,NA,1,NA,NA,NA,NA,-1----,4,56,5
1675,1,NA,NA,NA,NA,NA,1-----,3,32,2
1676,1,NA,NA,NA,NA,NA,1-----,3,28,3
1677,NA,NA,NA,NA,NA,NA,------,7,57,1
1678,1,NA,2,NA,NA,NA,1-2---,5,38,2
1679,NA,NA,NA,NA,NA,NA,------,3,49,4
1680,NA,NA,NA,NA,NA,NA,------,5,49,1
1681,NA,NA,NA,NA,NA,NA,------,5,48,3
1682,1,NA,NA,NA,NA,NA,1-----,4,54,1
1683,NA,NA,NA,NA,NA,NA,------,6,24,4
1684,NA,NA,NA,NA,NA,NA,------,3,22,3
1685,NA,NA,NA,NA,NA,NA,------,7,53,3
1686,NA,NA,NA,NA,NA,NA,------,1,47,3
1687,1,NA,2,NA,NA,NA,1-2---,7,53,1
1688,1,NA,2,3,NA,NA,1-23--,7,42,3
1689,1,NA,NA,NA,NA,NA,1-----,0,28,4
1690,1,NA,NA,NA,NA,NA,1-----,5,56,2
1691,1,NA,2,3,NA,NA,1-23--,2,33,3
1692,NA,1,NA,NA,NA,NA,-1----,2,63,1
1693,1,NA,2,3,NA,NA,1-23--,5,41,2
1694,NA,1,NA,NA,2,3,-1--23,3,35,5
1695,NA,1,NA,NA,2,3,-1--23,7,47,3
1696,NA,1,NA,NA,3,2,-1--32,2,39,5
1697,1,NA,NA,NA,NA,NA,1-----,2,41,3
1698,1,NA,NA,NA,NA,NA,1-----,1,51,2
1699,1,NA,NA,NA,NA,NA,1-----,5,27,6
1700,1,NA,NA,NA,NA,NA,1-----,7,38,2
1701,1,NA,NA,NA,NA,NA,1-----,0,40,2
1702,1,NA,NA,NA,NA,NA,1-----,2,50,2
1703,1,NA,NA,NA,NA,NA,1-----,1,48,2
1704,1,NA,NA,NA,NA,NA,1-----,1,36,3
1705,1,NA,NA,NA,NA,NA,1-----,7,52,1
1706,NA,1,NA,NA,3,2,-1--32,6,28,4
1707,NA,1,NA,NA,NA,2,-1---2,7,39,5
1708,1,NA,2,NA,NA,NA,1-2---,5,43,2
1709,NA,1,NA,NA,NA,NA,-1----,6,30,2
1710,1,NA,2,NA,NA,NA,1-2---,5,33,3
1711,1,NA,NA,NA,NA,NA,1-----,5,29,2
1712,1,NA,2,NA,NA,NA,1-2---,1,22,5
1713,NA,1,NA,NA,NA,2,-1---2,2,43,5
1714,1,NA,2,NA,NA,NA,1-2---,2,34,2
1715,1,NA,2,NA,NA,NA,1-2---,6,27,4
1716,1,NA,NA,NA,NA,NA,1-----,3,27,3
1717,1,NA,2,NA,NA,NA,1-2---,7,31,2
1718,NA,1,NA,NA,NA,NA,-1----,6,27,3
1719,NA,1,NA,NA,NA,2,-1---2,7,28,3
1720,NA,1,NA,NA,NA,2,-1---2,2,33,3
1721,1,NA,2,NA,NA,NA,1-2---,6,32,2
1722,1,NA,2,NA,NA,NA,1-2---,2,22,2
1723,NA,1,NA,NA,NA,2,-1---2,5,30,3
1724,NA,1,NA,NA,NA,2,-1---2,7,28,5
1725,1,NA,NA,NA,NA,NA,1-----,6,30,3
1726,NA,1,NA,NA,NA,NA,-1----,6,35,2
1727,NA,NA,NA,NA,NA,NA,------,6,30,3
1728,1,NA,2,NA,NA,NA,1-2---,5,29,3
1729,1,NA,2,NA,NA,NA,1-2---,1,34,3
1730,1,NA,2,NA,NA,NA,1-2---,5,23,5
1731,NA,1,NA,NA,NA,NA,-1----,4,32,6
1732,1,NA,2,NA,NA,NA,1-2---,6,32,3
1733,NA,1,NA,NA,NA,2,-1---2,2,33,3
1734,NA,NA,NA,NA,NA,NA,------,5,40,3
1735,NA,1,NA,NA,3,2,-1--32,6,50,2
1736,NA,1,NA,NA,NA,2,-1---2,6,22,3
1737,1,NA,2,3,NA,NA,1-23--,0,20,2
1738,1,NA,2,NA,NA,NA,1-2---,7,34,3
1739,1,NA,2,NA,NA,NA,1-2---,6,28,5
1740,NA,1,NA,NA,NA,NA,-1----,0,29,4
1741,NA,1,NA,NA,NA,2,-1---2,2,26,3
1742,NA,1,NA,NA,NA,NA,-1----,5,30,2
1743,NA,1,NA,NA,NA,NA,-1----,7,47,3
1744,1,NA,NA,NA,NA,NA,1-----,5,29,2
1745,NA,1,NA,NA,NA,NA,-1----,1,41,8
1746,1,NA,2,NA,NA,NA,1-2---,5,31,3
1747,NA,1,NA,NA,NA,NA,-1----,4,32,2
1748,NA,1,NA,NA,NA,2,-1---2,0,32,2
1749,NA,1,NA,NA,NA,NA,-1----,0,30,1
1750,NA,1,NA,NA,NA,NA,-1----,3,38,3
1751,NA,1,NA,NA,NA,NA,-1----,4,35,2
1752,NA,2,NA,NA,1,NA,-2--1-,0,27,1
1753,NA,1,NA,NA,NA,NA,-1----,6,23,2
1754,1,NA,NA,NA,NA,NA,1-----,2,24,3
1755,NA,1,NA,NA,NA,2,-1---2,4,23,2
1756,NA,2,NA,NA,1,NA,-2--1-,0,36,2
1757,1,NA,NA,NA,NA,NA,1-----,6,62,4
1758,NA,NA,NA,NA,NA,NA,------,7,35,2
1759,NA,1,NA,NA,NA,NA,-1----,1,27,2
1760,NA,2,NA,NA,1,NA,-2--1-,7,65,2
1761,NA,1,NA,NA,NA,2,-1---2,3,23,3
