unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,age,female
1953,NA,1,NA,NA,NA,NA,-1----,0,37,3
1954,NA,1,NA,NA,NA,2,-1---2,5,32,1
1955,NA,2,NA,NA,1,3,-2--13,0,44,2
1956,NA,1,NA,NA,NA,2,-1---2,1,37,3
1957,NA,1,NA,NA,NA,2,-1---2,6,25,3
1958,NA,NA,NA,NA,NA,NA,------,7,53,1
1959,1,NA,NA,NA,NA,NA,1-----,4,25,2
1960,NA,1,NA,NA,NA,2,-1---2,5,27,1
1961,NA,2,NA,NA,1,NA,-2--1-,5,63,1
1962,NA,1,NA,NA,NA,2,-1---2,1,32,1
1963,NA,1,NA,NA,NA,NA,-1----,6,27,2
1964,NA,1,NA,NA,NA,2,-1---2,1,27,5
1965,1,NA,NA,NA,NA,NA,1-----,7,57,2
1966,NA,1,NA,NA,NA,2,-1---2,1,42,2
1967,NA,1,NA,NA,NA,2,-1---2,1,32,3
1968,NA,1,NA,NA,NA,NA,-1----,1,32,3
1969,NA,1,NA,NA,NA,NA,-1----,3,45,4
1970,NA,1,NA,NA,NA,NA,-1----,6,35,2
1971,NA,1,NA,NA,NA,NA,-1----,5,24,2
1972,NA,1,NA,NA,NA,NA,-1----,4,58,2
1973,NA,1,NA,NA,NA,NA,-1----,6,30,2
1974,NA,1,NA,NA,NA,NA,-1----,2,35,4
1975,NA,1,NA,NA,NA,NA,-1----,7,25,4
1976,NA,1,NA,NA,NA,NA,-1----,0,30,5
1977,NA,2,NA,NA,1,NA,-2--1-,7,59,1
1978,NA,1,NA,NA,NA,NA,-1----,3,26,3
1979,NA,1,NA,NA,NA,NA,-1----,7,65,1
1980,NA,1,NA,NA,NA,NA,-1----,3,60,2
1981,1,NA,2,3,NA,NA,1-23--,4,43,2
1982,NA,1,NA,NA,NA,2,-1---2,3,51,1
1983,NA,1,NA,NA,NA,2,-1---2,5,26,2
1984,NA,1,NA,NA,NA,2,-1---2,6,35,3
1985,NA,1,NA,NA,NA,2,-1---2,5,39,2
1986,1,NA,2,3,NA,NA,1-23--,1,35,1
1987,1,NA,2,3,NA,NA,1-23--,7,44,2
1988,NA,NA,NA,NA,NA,NA,------,4,27,1
1989,1,NA,2,3,NA,NA,1-23--,7,39,1
1990,1,NA,2,3,NA,NA,1-23--,6,36,2
1991,1,NA,2,3,NA,NA,1-23--,5,43,2
1992,1,NA,2,3,NA,NA,1-23--,6,51,1
1993,1,NA,2,3,NA,NA,1-23--,0,37,1
1994,1,NA,2,3,NA,NA,1-23--,1,46,1
1995,1,NA,2,3,NA,NA,1-23--,7,53,2
1996,1,NA,2,3,NA,NA,1-23--,7,32,2
1997,1,NA,2,3,NA,NA,1-23--,6,41,3
1998,1,NA,2,3,NA,NA,1-23--,3,39,1
1999,NA,NA,NA,NA,NA,NA,------,7,31,1
2000,1,NA,2,3,NA,NA,1-23--,7,48,3
