unit,budgetfunding,teacherquality,learninggains,achievementgaps,commoncore,ranking,treat,teacher,avghispgap,avgblkgap
192,2,1,3,5,4,21354,1,1,15.049997329711914,15.949996948242188
193,2,4,5,3,1,24531,0,0,8.450004577636719,NA
194,5,4,1,2,3,54123,0,1,20.150001525878903,15.10000228881836
195,5,4,1,3,2,54132,1,0,35.5,32.20000076293945
196,2,3,1,4,5,23145,1,1,17.799997329711914,12
197,NA,5,NA,2,4,-5-24,1,0,17.100000381469727,15.5
198,4,1,2,3,5,41235,1,0,18.500001907348633,11.200002670288086
199,5,1,2,3,4,51234,0,0,33,NA
200,4,5,1,2,3,45123,0,0,35.900001525878906,28.399999618530273
201,3,1,2,4,5,31245,0,0,14.450000762939451,23.549999237060547
202,4,5,2,1,3,45213,1,0,25.949996948242188,NA
203,NA,NA,NA,1,4,---14,1,0,8.450004577636719,NA
204,2,5,1,4,3,25143,1,0,10.450000762939451,NA
205,3,4,5,2,1,34521,0,0,23.350000381469727,28.450000762939453
206,3,1,2,4,5,31245,NA,0,19.100000381469727,32.5
207,5,1,NA,2,3,51-23,0,0,20.149999618530273,NA
208,1,3,2,4,NA,1324-,0,1,12.850000381469728,-8.650001525878906
209,3,4,2,1,5,34215,0,0,18.85000228881836,15.400001525878906
210,3,2,1,5,4,32154,1,0,39.35000228881836,NA
211,4,5,3,1,2,45312,0,0,42.60000228881836,NA
212,5,3,1,2,4,53124,0,0,NA,NA
213,2,4,1,3,5,24135,1,0,13.5,17.5
214,2,4,3,5,1,24351,0,0,19.100000381469727,32.5
215,2,3,1,4,5,23145,0,1,14.349998474121094,17.100000381469727
216,5,3,1,2,4,53124,1,0,48.30000305175781,NA
217,2,5,3,4,1,25341,1,0,9.8000030517578125,15.550003051757813
218,5,2,3,1,4,52314,NA,0,10.600000381469728,19.350000381469727
219,3,2,4,1,5,32415,0,0,28.850000381469727,32.099998474121094
220,1,NA,NA,NA,NA,1----,0,1,11.649999618530272,15.5
221,4,3,1,2,5,43125,0,0,18,19.05000114440918
222,NA,3,2,4,NA,-324-,0,0,15.60000228881836,21.80000114440918
223,1,3,5,4,2,13542,1,0,23.849998474121097,23.599998474121097
224,1,2,3,4,5,12345,0,0,19.5,NA
225,1,5,2,4,3,15243,1,0,32.19999694824219,33.75
226,2,3,1,5,4,23154,1,0,13.69999885559082,16.200000762939453
227,3,2,1,4,5,32145,1,1,12.19999885559082,18.39999771118164
228,3,1,4,2,5,31425,0,0,26.650001525878903,37.35000228881836
229,NA,NA,1,4,NA,--14-,1,1,17.10000228881836,27.55000114440918
230,1,5,2,4,3,15243,1,0,26.600000381469727,18.750001907348633
231,NA,NA,NA,3,4,---34,0,0,20.30000114440918,NA
232,5,4,1,2,3,54123,0,1,14.94999885559082,19.099998474121097
233,2,4,1,3,5,24135,1,1,32.19999694824219,33.75
234,2,1,4,3,5,21435,NA,0,30.950000762939453,15.799999237060549
235,5,3,1,4,2,53142,1,1,20.75,16.899999618530273
236,3,5,NA,NA,4,35--4,0,1,18.80000114440918,24.75
237,1,5,4,3,2,15432,0,0,24,21.299999237060547
238,1,4,3,2,5,14325,0,0,33,NA
239,1,2,4,5,3,12453,1,0,23.350000381469727,28.450000762939453
