unit,adachi,aliotopier,avalos,chiu,dufty,hall,herrera,lee,rees,ting,yee,ranking,treat,race,gender,party,age,educ,income,ideo,interest,retro
230,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,--21-------,3,1,1,2,3,2,99,5,2,3
231,NA,2,NA,NA,3,NA,1,NA,NA,NA,NA,-2--3-1----,4,5,1,2,2,3,99,5,2,4
232,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,--1---23---,3,1,2,2,2,2,6,3,1,2
233,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,------1----,3,1,1,3,2,4,6,4,3,3
234,2,NA,NA,1,NA,NA,NA,NA,NA,3,NA,2--1-----3-,2,4,2,2,3,4,6,1,2,2
235,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,-----1-2---,4,1,1,4,2,3,6,7,2,4
236,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,-----3-1-2-,4,1,1,1,4,4,6,6,99,2
237,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,3,1,2,1,2,3,6,4,3,3
238,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,3--21------,2,1,1,2,2,3,6,4,2,3
239,NA,NA,1,3,NA,NA,NA,2,NA,NA,NA,--13---2---,1,1,2,2,3,3,6,2,2,2
240,NA,NA,NA,2,NA,NA,1,NA,NA,NA,3,---2--1---3,1,1,1,2,2,4,5,2,2,3
241,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,2,4,2,2,1,3,4,2,2,4
242,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1---2------,0,NA,99,NA,99,99,99,99,99,99
243,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3---2-1----,1,1,1,2,99,4,6,5,2,2
244,NA,NA,2,NA,NA,NA,NA,1,NA,NA,3,--2----1--3,2,4,1,3,2,3,1,4,3,99
245,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,3,1,1,4,1,3,3,2,3,99
246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,0,NA,99,NA,99,99,99,99,99,99
247,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,--13--2----,0,1,1,2,4,4,5,2,1,2
248,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,4,4,1,2,3,3,3,2,2,2
249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,3,5,1,2,4,4,3,4,2,3
250,NA,NA,1,NA,2,NA,NA,NA,NA,NA,3,--1-2-----3,0,NA,99,NA,99,99,99,99,99,99
251,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3----------,2,4,2,1,3,1,3,1,1,1
252,NA,NA,NA,2,NA,NA,NA,1,NA,NA,3,---2---1--3,4,4,1,2,3,2,2,4,1,1
253,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-----1-----,4,1,1,1,2,4,4,7,2,4
254,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,3,4,2,3,4,2,1,1,2,2
255,NA,3,NA,NA,2,NA,NA,1,NA,NA,NA,-3--2--1---,1,1,1,2,1,3,2,6,1,3
256,2,NA,NA,NA,NA,NA,NA,1,3,NA,NA,2------13--,4,NA,2,3,3,3,99,6,1,3
257,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,1-2-3------,0,1,1,2,3,4,6,4,3,4
258,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,3,3,2,2,2,4,6,1,1,3
259,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,-------2--1,1,1,2,2,4,4,2,5,2,2
260,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1,---3--2---1,0,6,2,2,1,88,1,2,1,99
261,NA,NA,2,NA,1,NA,NA,NA,NA,NA,3,--2-1-----3,2,1,2,3,2,3,4,4,2,3
262,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,2,2,1,2,3,2,1,2,2,2
263,NA,NA,3,2,NA,NA,NA,NA,NA,1,NA,--32-----1-,4,1,1,3,1,3,2,5,1,4
264,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,--1-----2--,1,1,2,3,1,3,2,4,1,3
265,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,--12-------,2,3,2,2,2,4,3,1,2,3
266,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2-1-------3,1,1,2,3,2,4,1,2,2,3
267,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2-1--------,0,1,2,2,1,3,2,1,3,3
268,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,----1--3---,3,4,1,2,4,3,1,1,1,2
269,NA,NA,2,NA,1,NA,NA,3,NA,NA,NA,--2-1--3---,2,6,1,3,3,3,1,5,2,3
270,NA,NA,2,1,NA,NA,NA,3,NA,NA,NA,--21---3---,1,1,1,2,2,3,3,3,2,2
271,NA,NA,NA,2,NA,3,1,NA,NA,NA,NA,---2-31----,2,1,1,3,1,3,2,6,2,4
272,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,--13--2----,4,1,1,3,3,4,5,2,1,2
273,3,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3--2---1---,3,1,2,2,2,4,3,3,2,2
274,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,3,3,1,4,2,3,3,2,3,2
275,NA,NA,NA,NA,NA,NA,2,3,NA,NA,1,------23--1,2,5,1,2,2,3,4,2,1,2
276,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,----1------,3,1,1,2,2,3,4,6,2,3
277,NA,NA,1,2,NA,NA,NA,3,NA,NA,NA,--12---3---,4,1,2,3,1,3,3,88,2,3
278,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,--1-------2,1,3,1,2,3,3,3,1,1,3
279,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,--32---1---,1,1,2,2,3,4,4,3,2,2
280,NA,NA,1,2,NA,NA,NA,NA,NA,NA,3,--12------3,0,1,2,2,2,3,2,1,2,3
281,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,23-----1---,0,2,1,2,3,2,2,4,3,3
282,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,------12---,1,1,2,2,3,4,5,2,1,2
283,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,----2--1---,3,1,2,3,3,4,2,3,1,2
284,NA,NA,1,NA,NA,NA,3,2,NA,NA,NA,--1---32---,4,1,2,2,4,4,6,1,2,1
285,NA,NA,NA,2,NA,NA,NA,3,NA,1,NA,---2---3-1-,4,1,2,2,1,3,3,3,1,2
286,NA,NA,2,NA,NA,NA,3,1,NA,NA,NA,--2---31---,3,1,1,2,2,4,5,2,2,2
287,1,NA,2,NA,NA,NA,3,NA,NA,NA,NA,1-2---3----,1,2,1,2,3,3,2,1,1,3
288,1,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1-2-------3,0,1,2,3,4,4,4,3,1,3
289,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,231--------,4,1,1,2,3,3,2,2,3,3
290,NA,NA,1,NA,2,NA,NA,3,NA,NA,NA,--1-2--3---,1,1,1,3,2,4,3,2,1,4
291,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,--1-------2,1,1,2,4,1,3,2,1,2,4
292,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,------2-3--,2,1,1,1,1,2,1,1,2,4
293,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,4,1,1,4,2,4,1,1,2,4
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,0,6,1,NA,2,1,1,99,3,99
295,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,4,3,2,2,1,88,2,88,2,88
296,NA,NA,2,1,NA,NA,NA,NA,3,NA,NA,--21----3--,3,1,2,2,1,3,3,2,1,3
297,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,0,4,1,3,2,3,3,4,1,3
298,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,-1--2-3----,0,6,2,2,4,3,3,4,99,4
299,NA,1,3,NA,NA,NA,NA,2,NA,NA,NA,-13----2---,3,4,2,2,1,3,5,5,2,3
300,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,--1-3-2----,4,6,3,NA,2,2,2,4,2,3
301,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,2,1,1,4,1,4,1,2,1,2
302,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2-1--------,2,1,2,4,1,4,2,1,2,2
303,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3----2-----,2,1,1,1,4,4,2,7,1,4
304,NA,NA,3,NA,1,NA,NA,2,NA,NA,NA,--3-1--2---,4,1,2,2,2,3,4,5,2,2
305,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,----2--1---,3,2,1,3,3,4,99,4,2,4
306,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,4,6,2,4,1,2,1,2,2,3
307,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,1-2----3---,1,2,1,2,1,2,2,2,2,1
308,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3,--2---1---3,1,1,2,2,2,3,4,1,1,3
309,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,--2-1------,2,3,1,2,1,2,3,2,2,2
310,3,NA,NA,NA,NA,NA,NA,1,NA,2,NA,3------1-2-,4,2,1,3,4,2,99,1,2,3
311,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,32-----1---,3,1,1,2,4,4,2,3,2,2
312,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1,---3--2---1,0,4,1,2,2,3,1,3,3,3
313,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,--132------,1,1,2,2,3,3,1,1,2,3
314,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2,--1---3---2,4,5,2,2,4,4,1,1,2,88
315,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2-1---3----,3,5,1,2,1,4,1,1,3,3
316,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,2,3,2,3,3,3,4,4,2,2
317,NA,NA,NA,2,3,NA,NA,1,NA,NA,NA,---23--1---,3,1,1,3,1,2,2,5,2,3
318,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3-1---2----,1,1,1,2,1,4,1,3,2,2
319,NA,NA,3,NA,1,NA,2,NA,NA,NA,NA,--3-1-2----,0,1,1,3,2,3,5,3,2,4
320,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,------2---1,4,3,1,3,2,4,2,88,2,4
321,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,3,1,1,2,1,3,1,1,2,3
322,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2---------1,0,4,3,2,1,3,6,2,1,4
323,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,21---3-----,1,6,2,2,4,1,88,88,3,4
324,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,4,6,1,2,3,3,1,2,1,3
325,2,NA,1,NA,NA,NA,NA,NA,NA,3,NA,2-1------3-,1,NA,99,NA,99,99,99,99,99,99
326,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,-2-----3--1,3,5,1,2,4,2,4,4,99,2
327,NA,3,NA,NA,NA,NA,NA,2,NA,NA,1,-3-----2--1,0,6,2,2,99,2,1,2,2,2
328,NA,1,NA,3,NA,NA,NA,NA,NA,NA,2,-1-3------2,4,2,2,2,2,99,99,4,2,3
329,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,------2-1--,2,6,2,NA,2,2,1,2,2,4
330,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,4,NA,2,2,2,2,99,6,1,3
331,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,--231------,4,1,1,3,1,4,1,4,2,3
332,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,2,1,1,3,1,3,2,2,2,3
333,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,----1------,3,3,1,2,3,2,6,7,1,88
334,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,--132------,1,1,1,2,1,3,2,3,2,99
335,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,2,5,2,3,2,4,1,1,3,99
336,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3-1---2----,3,6,1,NA,3,2,1,1,1,4
337,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,----2-1----,3,1,2,2,2,4,6,4,1,3
338,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,2,NA,99,NA,99,99,99,99,99,99
339,3,NA,2,NA,NA,NA,NA,NA,NA,NA,1,3-2-------1,3,1,1,3,2,3,3,2,2,3
340,3,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3---12-----,3,1,2,3,1,2,1,4,2,2
341,1,2,NA,NA,NA,3,NA,NA,NA,NA,NA,12---3-----,2,5,2,3,4,3,1,7,2,4
342,1,2,NA,NA,NA,3,NA,NA,NA,NA,NA,12---3-----,4,1,1,1,4,3,1,2,1,2
343,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3-1-------2,3,4,2,2,1,3,1,1,1,2
344,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,1,2,2,1,3,2,5,7,3,4
345,NA,NA,1,NA,NA,NA,NA,2,NA,NA,3,--1----2--3,2,6,2,3,1,2,2,2,1,3
346,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,2,1,1,2,2,4,5,2,2,3
347,NA,NA,NA,1,2,NA,3,NA,NA,NA,NA,---12-3----,0,1,2,2,3,4,5,4,2,3
348,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA,--2-3-1----,1,1,1,2,2,2,2,2,1,4
349,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,0,1,2,2,1,4,2,1,2,4
350,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,2,1,2,2,3,4,4,88,1,2
351,NA,NA,3,NA,1,NA,NA,NA,NA,NA,2,--3-1-----2,1,3,1,2,1,2,2,2,2,3
352,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,--2-1------,3,NA,99,NA,99,99,99,99,99,99
353,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,--1-2------,1,3,1,2,1,2,1,4,2,3
354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,----------1,2,2,1,2,3,2,4,4,1,4
355,NA,NA,3,1,NA,NA,NA,2,NA,NA,NA,--31---2---,1,2,2,3,2,4,2,3,2,3
356,1,NA,NA,2,NA,NA,NA,NA,NA,NA,3,1--2------3,4,5,2,2,99,3,6,4,2,3
357,NA,NA,NA,3,1,NA,NA,2,NA,NA,NA,---31--2---,1,1,1,2,4,4,4,2,2,1
358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,2,6,2,3,4,2,1,4,2,3
359,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2-1-------3,2,1,1,2,1,2,1,1,1,3
360,NA,NA,1,NA,2,NA,NA,NA,NA,NA,3,--1-2-----3,3,1,2,2,3,3,6,4,2,3
361,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,------1----,0,1,2,2,1,3,3,4,1,3
362,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2,-3-1------2,1,NA,3,2,3,3,99,1,1,3
363,NA,NA,NA,3,NA,NA,NA,2,NA,NA,1,---3---2--1,4,5,1,3,1,1,3,4,3,4
364,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,4,NA,99,NA,99,99,99,99,99,99
365,NA,NA,NA,3,1,NA,NA,2,NA,NA,NA,---31--2---,2,1,2,2,1,3,2,3,2,3
366,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,--------2-1,3,2,2,2,3,4,3,2,1,4
367,1,NA,2,NA,NA,NA,3,NA,NA,NA,NA,1-2---3----,3,2,2,2,1,4,3,2,3,3
368,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3,---21-----3,3,4,1,2,3,4,3,5,2,3
369,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,----3-21---,2,4,2,2,1,3,1,3,2,3
370,NA,1,NA,2,NA,NA,NA,3,NA,NA,NA,-1-2---3---,0,4,2,2,2,3,3,3,1,2
371,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,--23--1----,1,1,2,3,3,4,6,1,2,99
372,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3-1---2----,4,1,1,2,2,4,5,2,1,3
373,NA,2,NA,NA,3,NA,NA,1,NA,NA,NA,-2--3--1---,4,2,1,2,3,4,4,4,2,3
374,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,2,1,1,3,1,3,3,1,2,3
375,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,-------1--2,3,3,1,2,2,2,2,4,1,2
376,NA,NA,1,NA,NA,NA,NA,2,NA,NA,3,--1----2--3,1,2,1,2,4,2,1,4,2,4
377,NA,NA,1,NA,NA,NA,3,2,NA,NA,NA,--1---32---,1,3,2,2,4,1,2,1,1,3
378,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,1,NA,99,NA,99,99,99,99,99,99
379,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,4,1,1,2,2,3,3,1,2,3
380,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,---1------2,2,NA,99,NA,99,99,99,99,99,99
381,NA,NA,2,NA,NA,NA,NA,3,NA,1,NA,--2----3-1-,2,1,1,2,2,3,6,3,1,3
382,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,--23--1----,0,1,1,2,2,4,6,4,1,3
383,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,--2-13-----,4,1,2,2,2,3,5,2,1,3
384,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,0,1,2,2,1,3,2,3,2,3
385,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2-1--------,0,1,2,4,2,2,3,1,2,4
386,NA,NA,3,NA,NA,NA,2,NA,NA,NA,1,--3---2---1,2,1,2,3,2,4,4,2,1,2
387,NA,NA,3,NA,2,NA,1,NA,NA,NA,NA,--3-2-1----,3,1,1,2,2,3,3,1,2,3
388,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA,------13-2-,1,1,1,3,4,4,6,4,2,4
389,NA,NA,NA,NA,2,NA,1,NA,NA,NA,3,----2-1---3,4,1,1,2,3,3,6,5,1,3
390,NA,NA,NA,3,NA,NA,1,2,NA,NA,NA,---3--12---,1,NA,1,NA,99,99,99,99,99,99
391,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,---23-1----,3,1,2,2,4,3,6,3,1,2
392,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,-2-----1---,2,1,2,2,2,4,6,4,3,4
393,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,4,1,2,3,4,3,4,2,2,2
394,NA,NA,1,NA,2,NA,NA,NA,NA,NA,3,--1-2-----3,2,3,1,2,2,4,3,2,2,2
395,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,1------23--,0,1,2,2,2,4,6,4,2,3
396,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,4,1,2,2,2,3,2,2,2,3
397,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2-1---3----,3,NA,99,NA,99,99,99,99,99,99
398,NA,NA,NA,2,NA,NA,3,NA,NA,NA,1,---2--3---1,0,1,1,2,4,3,1,2,2,3
399,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,-1---2-----,1,1,2,3,99,1,2,7,2,4
400,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,1--32------,3,1,2,2,4,4,5,2,2,2
401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,----------1,1,NA,99,NA,4,1,99,99,99,99
402,NA,NA,NA,NA,1,NA,3,2,NA,NA,NA,----1-32---,2,1,2,2,2,4,6,2,2,2
403,NA,NA,3,NA,NA,NA,1,NA,NA,NA,2,--3---1---2,2,NA,2,2,3,4,99,2,2,2
404,NA,NA,NA,2,1,NA,NA,3,NA,NA,NA,---21--3---,0,1,1,2,3,1,2,4,2,2
405,NA,NA,NA,NA,1,NA,3,NA,NA,2,NA,----1-3--2-,2,1,2,2,4,2,2,3,2,2
406,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,---1--2----,1,1,2,2,2,3,6,4,1,2
407,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,4,1,1,2,2,4,6,2,2,3
408,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,-------12--,3,1,1,2,2,4,6,6,2,3
409,NA,2,NA,NA,3,NA,NA,1,NA,NA,NA,-2--3--1---,1,1,2,2,4,3,3,4,1,3
410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,2,1,1,2,2,4,4,2,3,2
411,2,NA,NA,3,NA,NA,NA,1,NA,NA,NA,2--3---1---,3,1,1,2,4,4,5,4,2,1
412,2,NA,NA,3,NA,NA,NA,1,NA,NA,NA,2--3---1---,0,1,1,2,4,4,3,3,1,2
413,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,---12-----3,1,1,2,2,2,4,3,3,2,2
414,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1-2--------,4,1,2,2,3,4,6,3,3,3
415,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3-2--------,0,1,1,NA,4,4,3,1,2,3
416,NA,NA,NA,2,NA,NA,NA,3,NA,1,NA,---2---3-1-,3,1,1,2,1,4,5,4,2,2
417,NA,NA,NA,2,3,NA,NA,1,NA,NA,NA,---23--1---,2,1,2,2,4,2,4,4,3,2
418,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,---12------,1,4,1,2,3,4,4,3,3,3
419,NA,NA,NA,2,NA,NA,1,3,NA,NA,NA,---2--13---,0,1,1,3,2,3,99,2,1,2
420,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,3,1,2,2,2,3,4,4,3,3
421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,4,NA,99,NA,99,99,99,99,99,99
422,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,2,6,1,NA,3,1,6,1,88,88
423,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,---1--2----,0,1,1,1,3,4,5,2,2,4
424,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,1,6,1,2,3,2,2,1,3,99
425,NA,NA,2,NA,1,NA,3,NA,NA,NA,NA,--2-1-3----,3,1,2,2,3,3,2,3,2,3
426,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,---3--1---2,4,1,1,3,3,2,3,99,2,4
427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,----------1,1,2,1,3,4,4,4,2,3,3
428,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,------1----,0,NA,99,NA,99,99,99,99,99,99
429,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,--1-3------,2,6,2,4,2,4,1,1,3,3
430,NA,NA,NA,1,NA,NA,2,3,NA,NA,NA,---1--23---,4,1,1,2,2,4,6,5,2,3
431,NA,NA,NA,1,NA,NA,2,3,NA,NA,NA,---1--23---,3,1,2,2,2,4,6,4,2,2
432,NA,NA,NA,3,2,NA,1,NA,NA,NA,NA,---32-1----,3,3,1,2,3,4,6,5,1,3
433,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,------1----,4,1,2,2,2,4,6,3,2,3
434,NA,NA,3,1,NA,NA,2,NA,NA,NA,NA,--31--2----,2,1,2,2,2,4,6,2,2,3
435,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,0,1,2,2,2,4,6,1,2,3
436,NA,NA,NA,NA,2,NA,NA,1,NA,3,NA,----2--1-3-,4,NA,99,NA,99,99,99,99,99,99
437,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,---12------,3,1,2,2,4,4,5,4,2,3
438,3,NA,NA,1,NA,NA,NA,NA,NA,2,NA,3--1-----2-,0,1,1,2,3,4,6,3,1,3
439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,3,NA,1,3,3,4,99,99,99,4
440,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,---23-1----,2,3,1,2,2,4,6,3,2,4
441,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3---2-1----,1,1,2,2,1,3,2,2,2,2
442,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3---2-1----,1,1,2,2,3,4,4,1,2,3
443,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,3-2---1----,4,1,1,2,3,3,3,3,2,3
444,NA,NA,NA,1,NA,NA,2,3,NA,NA,NA,---1--23---,1,4,2,2,2,3,6,3,2,3
445,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,0,6,2,2,2,3,2,1,2,99
446,3,NA,NA,NA,1,NA,2,NA,NA,NA,NA,3---1-2----,4,1,1,2,2,4,4,2,3,3
447,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,------1-2--,3,1,1,2,2,3,5,4,3,3
448,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,2,6,2,2,2,3,4,2,1,2
449,NA,NA,NA,1,NA,NA,2,NA,NA,NA,3,---1--2---3,2,NA,99,NA,99,99,99,99,99,99
450,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,--1-3-2----,0,1,2,2,4,4,5,3,2,2
451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,----------1,1,3,2,3,1,1,1,1,2,4
452,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,2--3-1-----,2,3,2,2,1,2,1,4,2,3
453,NA,NA,NA,NA,NA,NA,1,2,NA,NA,3,------12--3,3,NA,99,NA,99,99,99,99,99,99
454,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,---2---1---,4,4,1,2,2,4,4,5,2,2
455,3,NA,1,NA,2,NA,NA,NA,NA,NA,NA,3-1-2------,0,1,2,2,2,3,2,2,2,3
456,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,--1------2-,1,1,1,2,3,3,6,2,2,3
457,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,----2-13---,4,NA,99,NA,99,99,99,99,99,99
458,2,NA,3,NA,NA,NA,1,NA,NA,NA,NA,2-3---1----,3,1,2,2,2,4,5,3,2,3
459,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1-2--------,2,6,1,3,1,2,1,2,2,99
460,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,-------1--2,3,1,2,2,3,4,6,4,2,3
461,NA,3,NA,NA,2,NA,NA,1,NA,NA,NA,-3--2--1---,4,1,3,3,4,4,4,4,2,3
462,NA,2,NA,NA,NA,NA,3,1,NA,NA,NA,-2----31---,2,1,1,3,2,3,6,4,2,3
463,NA,2,NA,NA,NA,NA,1,3,NA,NA,NA,-2----13---,2,1,2,2,2,4,6,5,2,4
464,1,2,NA,NA,NA,NA,NA,NA,3,NA,NA,12------3--,0,1,1,NA,2,3,3,6,2,4
465,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,-2-----1---,2,1,1,3,2,2,3,4,2,3
