unit,adachi,aliotopier,avalos,chiu,dufty,hall,herrera,lee,rees,ting,yee,ranking,treat,race,gender,party,age,educ,income,ideo,interest,retro
54,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,-2-----1---,4,1,1,1,4,2,6,4,2,3
55,NA,NA,NA,1,3,NA,2,NA,NA,NA,NA,---13-2----,4,1,1,2,2,4,5,5,2,3
56,3,NA,NA,NA,NA,2,NA,1,NA,NA,NA,3----2-1---,4,1,1,3,3,4,5,4,2,3
57,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,--1---3----,4,1,2,4,2,4,6,1,2,2
58,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,--1-------2,4,1,2,2,4,3,99,1,1,4
59,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,4,NA,99,NA,99,99,99,99,99,99
60,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,-----1-2-3-,4,1,2,1,3,4,99,7,1,3
61,NA,NA,NA,1,NA,NA,NA,2,3,NA,NA,---1---23--,4,6,2,2,2,3,2,4,1,3
62,NA,NA,NA,NA,NA,NA,3,NA,1,2,NA,------3-12-,4,1,1,2,2,4,5,5,2,3
63,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,--1-3-2----,3,1,2,2,3,4,3,2,2,3
64,3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3----1--2--,3,1,1,3,2,4,3,4,1,4
65,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,--------132,3,1,1,1,3,4,4,2,3,99
66,NA,NA,NA,2,NA,NA,NA,1,NA,3,NA,---2---1-3-,3,4,1,3,3,2,6,3,99,3
67,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1,---3--2---1,3,5,1,2,4,4,6,4,2,3
68,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,----1------,3,1,1,2,1,3,1,5,2,3
69,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,---2--1----,3,1,2,2,3,4,1,4,1,3
70,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2-1--------,3,6,1,4,3,2,1,1,2,2
71,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,------1----,3,1,1,2,2,3,2,2,2,3
72,NA,2,NA,NA,NA,3,1,NA,NA,NA,NA,-2---31----,2,1,2,2,4,1,2,4,1,4
73,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA,-23-1------,2,1,1,2,4,3,3,2,1,99
74,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,2--1--3----,2,1,2,2,2,2,4,1,2,3
75,1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,1---3-2----,2,1,1,4,2,3,5,5,2,3
76,2,NA,NA,NA,3,1,NA,NA,NA,NA,NA,2---31-----,2,1,1,1,2,4,99,6,2,4
77,NA,NA,2,NA,3,NA,NA,1,NA,NA,NA,--2-3--1---,2,1,1,2,3,3,2,3,1,3
78,NA,NA,1,NA,2,NA,NA,NA,NA,NA,3,--1-2-----3,2,1,1,2,3,3,6,2,2,2
79,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,2,1,2,2,3,3,2,1,2,3
80,NA,NA,NA,NA,3,2,NA,1,NA,NA,NA,----32-1---,2,1,1,2,3,1,6,4,2,99
