unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
1453,1,NA,NA,NA,1---,2,22,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"20,000-29,999",0,0,1
1454,1,NA,NA,NA,1---,4,23,1,0,0,0,male,0,Some college,1,0,0,1,0,1,0,0,0,0,"5,000-9,999",0,1,0
1455,1,NA,NA,NA,1---,2,27,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"20,000-29,999",0,0,1
1456,1,NA,NA,NA,1---,1,24,1,0,0,0,female,1,Class 5,0,0,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
1457,1,NA,NA,NA,1---,3,47,0,1,0,1,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,1,"40,000-49,999",0,0,1
1458,1,NA,NA,NA,1---,4,35,0,1,0,0,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
1459,1,NA,NA,NA,1---,1,36,0,1,0,1,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"5,000-9,999",0,1,0
1460,2,NA,NA,NA,2---,3,50,0,0,1,1,female,1,Class 5,0,0,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
1461,1,NA,NA,NA,1---,0,40,0,1,0,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"0-2,499",1,0,0
1462,1,NA,NA,NA,1---,0,72,0,0,1,1,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"10,000-14,999",0,1,0
1463,1,NA,NA,NA,1---,1,40,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"10,000-14,999",0,1,0
1464,1,NA,NA,NA,1---,1,52,0,0,1,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
1465,1,NA,NA,NA,1---,2,57,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
1466,1,NA,NA,NA,1---,4,61,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"50,000-59,999",0,0,1
1467,1,NA,NA,NA,1---,0,30,0,1,0,0,male,0,Class 8,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
1468,1,NA,NA,NA,1---,3,36,0,1,0,1,male,0,Class 12,1,0,0,1,0,1,0,0,0,0,"10,000-14,999",0,1,0
