unit,scott,hodge,taylor,liu,thao,delafuente,villanueva,reimann,jordan,reid,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
157,5,8,4,2,10,9,7,3,1,6,NA,0,32,Male,Black or African American,Democrat,High school diploma or equivalent,Likely,Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)
158,7,9,8,5,2,4,10,1,3,6,NA,0,61,Female,Latino or Hispanic,Independent,High school diploma or equivalent,Very likely,Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)
159,6,2,7,1,10,9,5,3,4,8,NA,0,21,Female,Latino or Hispanic,Democrat,High school diploma or equivalent,Very likely,Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Peter Y. Liu (Entertainer)
160,5,10,8,9,1,4,3,6,7,2,NA,0,22,Female,Latino or Hispanic,Independent,Some college but no degree,Unlikely,Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)
161,6,8,5,10,1,4,2,9,7,3,NA,0,51,Male,White,Democrat,Some college but no degree,Very likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)
162,7,8,2,9,4,6,5,10,3,1,NA,0,66,Female,White,Democrat,Master's degree,Very likely,Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)
163,5,9,8,2,7,10,6,3,4,1,NA,0,27,Female,Other,Republican,Less than high school diploma,Very unlikely,Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)
164,3,2,4,10,9,1,5,8,6,7,NA,0,33,Male,Latino or Hispanic,Democrat,Some college but no degree,Very likely,Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|John Reimann (Retired Carpenter)|Ignacio De La Fuente (Business Solution Strategist)
165,2,4,7,10,9,1,3,5,6,8,NA,0,47,Male,White,Democrat,Bachelor's degree,Very likely,Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)
166,7,5,4,8,9,2,1,3,10,6,NA,0,29,Male,White,Democrat,Some college but no degree,Very likely,Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)
