unit,defense,economicdevelopment,socialstability,democracy,corruption,incomeinequality,environment,ranking,treat,historical,powerful,valuable,island,age,income,han,male,eastern,central,rural,college,soe,ccp,socialstatus,news
1913,2,NA,NA,NA,NA,NA,NA,2------,7,1,1,1,0,33,3,1,1,0,1,0,0,0,0,2,3
1914,2,NA,NA,NA,NA,NA,NA,2------,8,0,0,0,1,42,3,1,1,1,0,0,0,0,0,4,4
1915,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,46,3,1,1,1,0,1,0,0,0,2,4
1916,7,NA,NA,NA,NA,NA,NA,7------,9,1,0,0,1,35,4,1,1,0,0,0,0,0,0,6,3
1917,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,21,1,1,0,0,0,0,1,0,0,6,3
1918,7,NA,NA,NA,NA,NA,NA,7------,15,1,1,1,1,35,5,1,1,1,0,0,1,1,1,6,4
1919,2,NA,NA,NA,NA,NA,NA,2------,9,1,0,0,1,50,5,1,1,1,0,0,1,1,0,2,3
1920,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,58,4,1,0,1,0,0,1,1,0,1,3
1921,7,NA,NA,NA,NA,NA,NA,7------,7,1,1,1,0,35,6,1,0,1,0,0,1,0,0,7,4
1922,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,37,6,1,0,1,0,0,1,0,0,8,4
1923,7,NA,NA,NA,NA,NA,NA,7------,4,0,0,1,0,36,3,1,0,0,0,1,0,0,0,7,3
1924,1,NA,NA,NA,NA,NA,NA,1------,13,1,0,1,1,51,5,1,1,1,0,0,1,0,0,4,3
1925,2,NA,NA,NA,NA,NA,NA,2------,13,1,0,1,1,54,5,1,1,1,0,0,0,1,0,8,3
1926,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,53,5,1,1,1,0,0,1,1,1,4,4
1927,3,NA,NA,NA,NA,NA,NA,3------,7,1,1,1,0,42,5,1,1,1,0,0,1,1,0,7,4
1928,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,35,6,1,0,1,0,0,1,1,0,9,4
1929,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,53,6,1,0,1,0,0,1,1,0,5,3
1930,1,NA,NA,NA,NA,NA,NA,1------,0,0,0,0,0,32,5,0,1,1,0,0,1,0,0,5,2
1931,7,NA,NA,NA,NA,NA,NA,7------,14,0,1,1,1,34,2,1,1,1,0,0,0,0,0,5,3
1932,4,NA,NA,NA,NA,NA,NA,4------,5,1,0,1,0,35,4,1,1,1,0,0,1,0,0,6,4
1933,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,30,3,1,0,1,0,0,0,1,0,7,3
1934,5,NA,NA,NA,NA,NA,NA,5------,8,0,0,0,1,35,5,1,1,1,0,0,1,0,0,5,3
1935,6,NA,NA,NA,NA,NA,NA,6------,13,1,0,1,1,36,6,1,0,1,0,0,1,0,0,8,4
1936,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,25,2,1,0,1,0,0,1,0,0,3,3
1937,1,NA,NA,NA,NA,NA,NA,1------,0,0,0,0,0,29,3,1,0,1,0,1,1,0,0,2,3
1938,2,NA,NA,NA,NA,NA,NA,2------,8,0,0,0,1,29,5,1,1,1,0,0,1,0,0,6,4
1939,5,NA,NA,NA,NA,NA,NA,5------,4,0,0,1,0,45,4,1,1,1,0,0,0,1,1,7,4
1940,6,NA,NA,NA,NA,NA,NA,6------,5,1,0,1,0,51,4,1,1,1,0,0,1,1,0,6,3
1941,7,NA,NA,NA,NA,NA,NA,7------,10,0,1,0,1,41,4,1,0,1,0,0,0,1,1,5,3
1942,6,NA,NA,NA,NA,NA,NA,6------,12,0,0,1,1,25,2,1,0,1,0,0,1,0,0,3,3
1943,3,NA,NA,NA,NA,NA,NA,3------,15,1,1,1,1,29,5,1,0,1,0,0,1,1,0,7,3
1944,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,53,5,1,1,1,0,0,1,1,1,4,4
1945,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,38,2,1,0,1,0,0,0,0,0,1,3
1946,6,NA,NA,NA,NA,NA,NA,6------,13,1,0,1,1,28,5,1,1,1,0,0,1,0,0,5,4
1947,7,NA,NA,NA,NA,NA,NA,7------,9,1,0,0,1,26,4,1,1,1,0,0,1,1,1,7,4
1948,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,48,5,1,1,1,0,0,1,1,1,6,4
1949,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,35,4,1,1,0,1,0,1,1,1,5,4
1950,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,42,2,1,0,1,0,0,0,0,0,1,3
1951,7,NA,NA,NA,NA,NA,NA,7------,7,1,1,1,0,59,4,1,1,1,0,0,1,1,0,3,3
1952,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,46,5,1,1,1,0,0,1,0,1,3,4
1953,3,NA,NA,NA,NA,NA,NA,3------,2,0,1,0,0,42,3,1,1,1,0,0,0,1,0,7,4
1954,4,NA,NA,NA,NA,NA,NA,4------,0,0,0,0,0,35,5,1,1,1,0,0,0,1,0,6,4
1955,1,NA,NA,NA,NA,NA,NA,1------,13,1,0,1,1,36,6,1,0,1,0,0,1,0,0,8,4
1956,1,NA,NA,NA,NA,NA,NA,1------,8,0,0,0,1,42,4,1,1,1,0,0,1,1,1,5,4
1957,1,NA,NA,NA,NA,NA,NA,1------,12,0,0,1,1,41,6,1,1,1,0,0,1,1,1,4,4
1958,3,NA,NA,NA,NA,NA,NA,3------,9,1,0,0,1,41,4,1,1,1,0,0,0,0,0,4,3
1959,1,NA,NA,NA,NA,NA,NA,1------,8,0,0,0,1,37,6,1,0,1,0,0,1,0,0,6,4
1960,4,NA,NA,NA,NA,NA,NA,4------,15,1,1,1,1,35,4,1,1,1,0,0,1,0,0,6,4
1961,6,NA,NA,NA,NA,NA,NA,6------,14,0,1,1,1,40,7,1,0,1,0,0,1,0,0,7,3
1962,7,NA,NA,NA,NA,NA,NA,7------,15,1,1,1,1,30,3,1,0,1,0,0,1,1,0,7,3
1963,3,NA,NA,NA,NA,NA,NA,3------,8,0,0,0,1,38,5,1,0,1,0,0,1,0,0,5,3
1964,1,NA,NA,NA,NA,NA,NA,1------,9,1,0,0,1,35,NA,1,1,1,0,0,1,0,0,6,2
1965,2,NA,NA,NA,NA,NA,NA,2------,13,1,0,1,1,32,3,1,1,0,1,0,0,0,0,6,4
1966,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,35,6,1,0,1,0,0,1,0,0,8,4
1967,4,NA,NA,NA,NA,NA,NA,4------,0,0,0,0,0,35,4,1,1,1,0,0,1,0,0,6,4
1968,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,47,5,1,1,1,0,0,1,0,0,5,3
1969,5,NA,NA,NA,NA,NA,NA,5------,4,0,0,1,0,34,2,1,1,1,0,0,0,0,0,4,3
1970,7,NA,NA,NA,NA,NA,NA,7------,8,0,0,0,1,35,3,1,1,1,0,0,1,1,0,2,4
1971,7,NA,NA,NA,NA,NA,NA,7------,15,1,1,1,1,41,7,0,1,1,0,0,1,0,0,10,4
1972,1,NA,NA,NA,NA,NA,NA,1------,5,1,0,1,0,40,3,1,1,0,1,0,0,1,0,3,4
1973,2,NA,NA,NA,NA,NA,NA,2------,10,0,1,0,1,57,5,1,1,1,0,0,0,0,0,6,3
1974,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,26,3,1,0,1,0,1,0,0,0,3,3
1975,5,NA,NA,NA,NA,NA,NA,5------,0,0,0,0,0,21,NA,1,0,0,0,1,1,1,0,5,2
1976,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,37,3,1,0,1,0,0,1,1,0,6,4
1977,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,42,4,1,1,1,0,0,0,1,0,2,3
1978,2,NA,NA,NA,NA,NA,NA,2------,4,0,0,1,0,27,4,1,1,1,0,0,1,1,1,0,2
1979,7,NA,NA,NA,NA,NA,NA,7------,10,0,1,0,1,30,6,1,1,1,0,1,1,0,0,7,3
1980,4,NA,NA,NA,NA,NA,NA,4------,13,1,0,1,1,33,4,1,1,1,0,0,1,0,0,6,4
1981,4,NA,NA,NA,NA,NA,NA,4------,11,1,1,0,1,36,4,1,0,1,0,0,0,0,0,4,3
1982,3,NA,NA,NA,NA,NA,NA,3------,5,1,0,1,0,37,4,1,1,1,0,1,1,1,0,2,3
1983,1,NA,NA,NA,NA,NA,NA,1------,11,1,1,0,1,44,5,1,1,1,0,0,1,0,0,4,4
1984,5,NA,NA,NA,NA,NA,NA,5------,13,1,0,1,1,36,NA,1,1,0,1,0,0,0,0,7,3
1985,2,NA,NA,NA,NA,NA,NA,2------,9,1,0,0,1,36,3,1,1,1,0,0,0,0,0,1,4
1986,3,NA,NA,NA,NA,NA,NA,3------,9,1,0,0,1,37,3,1,1,0,0,1,1,1,0,5,2
1987,4,NA,NA,NA,NA,NA,NA,4------,2,0,1,0,0,26,3,1,0,1,0,1,1,0,0,3,3
1988,4,NA,NA,NA,NA,NA,NA,4------,8,0,0,0,1,49,3,1,1,1,0,0,1,1,1,7,4
1989,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,46,5,1,1,1,0,0,1,1,0,7,3
1990,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,23,2,1,1,1,0,1,1,0,0,2,3
1991,1,NA,NA,NA,NA,NA,NA,1------,1,1,0,0,0,32,5,1,1,0,1,0,1,1,0,7,3
1992,7,NA,NA,NA,NA,NA,NA,7------,9,1,0,0,1,42,3,1,1,1,0,0,1,1,1,3,4
1993,6,NA,NA,NA,NA,NA,NA,6------,6,0,1,1,0,43,5,1,1,1,0,0,1,1,1,6,3
1994,6,NA,NA,NA,NA,NA,NA,6------,1,1,0,0,0,34,4,1,1,0,1,0,1,1,0,5,2
1995,2,NA,NA,NA,NA,NA,NA,2------,8,0,0,0,1,43,5,1,1,1,0,0,1,0,0,4,4
1996,6,NA,NA,NA,NA,NA,NA,6------,8,0,0,0,1,46,3,1,1,0,0,0,1,0,0,10,4
1997,3,NA,NA,NA,NA,NA,NA,3------,12,0,0,1,1,33,6,1,1,1,0,0,1,1,0,10,4
1998,4,NA,NA,NA,NA,NA,NA,4------,13,1,0,1,1,34,5,1,1,1,0,0,1,1,0,3,3
1999,6,NA,NA,NA,NA,NA,NA,6------,15,1,1,1,1,37,5,1,1,1,0,0,1,0,0,4,2
2000,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,41,3,1,1,0,1,0,0,1,1,6,4
2001,3,NA,NA,NA,NA,NA,NA,3------,7,1,1,1,0,47,4,1,1,0,1,0,1,1,1,5,3
2002,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,40,3,1,1,0,0,1,0,0,0,7,3
2003,7,NA,NA,NA,NA,NA,NA,7------,15,1,1,1,1,35,6,1,0,1,0,0,1,0,0,7,4
2004,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,39,5,0,0,0,1,0,0,1,1,4,3
2005,1,NA,NA,NA,NA,NA,NA,1------,9,1,0,0,1,30,5,1,1,1,0,0,1,0,0,6,3
2006,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,41,6,1,1,1,0,0,1,0,0,7,4
2007,4,NA,NA,NA,NA,NA,NA,4------,1,1,0,0,0,42,3,1,1,1,0,0,1,1,0,7,3
2008,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,59,5,1,1,0,1,0,1,1,1,6,4
2009,5,NA,NA,NA,NA,NA,NA,5------,8,0,0,0,1,35,3,1,1,1,0,1,0,0,0,3,4
2010,7,NA,NA,NA,NA,NA,NA,7------,4,0,0,1,0,51,4,0,1,0,1,0,1,1,0,4,3
2011,5,NA,NA,NA,NA,NA,NA,5------,1,1,0,0,0,52,3,1,1,1,0,0,0,0,0,3,4
2012,4,NA,NA,NA,NA,NA,NA,4------,8,0,0,0,1,37,4,1,1,1,0,0,1,1,0,5,3
2013,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,35,3,1,1,1,0,1,0,0,0,3,4
2014,1,NA,NA,NA,NA,NA,NA,1------,12,0,0,1,1,45,7,1,1,1,0,0,1,1,1,8,3
2015,1,NA,NA,NA,NA,NA,NA,1------,13,1,0,1,1,50,2,0,0,1,0,0,0,0,0,3,3
2016,4,NA,NA,NA,NA,NA,NA,4------,6,0,1,1,0,34,6,1,1,1,0,0,1,1,1,7,3
2017,7,NA,NA,NA,NA,NA,NA,7------,8,0,0,0,1,26,3,1,1,0,1,0,1,0,0,6,2
2018,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,21,NA,1,1,1,0,1,0,1,0,4,3
2019,6,NA,NA,NA,NA,NA,NA,6------,0,0,0,0,0,39,4,1,1,1,0,0,1,0,0,3,3
2020,3,NA,NA,NA,NA,NA,NA,3------,13,1,0,1,1,34,4,1,0,1,0,0,1,1,0,4,4
2021,6,NA,NA,NA,NA,NA,NA,6------,10,0,1,0,1,42,3,1,1,0,1,0,0,0,0,4,3
2022,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,27,3,1,1,1,0,1,1,0,0,4,4
2023,1,NA,NA,NA,NA,NA,NA,1------,13,1,0,1,1,41,5,1,1,1,0,0,1,1,0,6,4
2024,1,NA,NA,NA,NA,NA,NA,1------,9,1,0,0,1,52,4,1,1,1,0,0,1,0,0,1,3
2025,1,NA,NA,NA,NA,NA,NA,1------,2,0,1,0,0,42,6,1,1,1,0,0,1,0,1,5,3
2026,6,NA,NA,NA,NA,NA,NA,6------,1,1,0,0,0,51,3,1,1,0,1,0,0,1,0,4,2
2027,1,NA,NA,NA,NA,NA,NA,1------,4,0,0,1,0,44,5,1,0,1,0,0,0,0,0,7,4
2028,3,NA,NA,NA,NA,NA,NA,3------,6,0,1,1,0,40,4,0,1,1,0,1,1,1,1,7,3
2029,2,NA,NA,NA,NA,NA,NA,2------,4,0,0,1,0,34,5,1,1,1,0,0,1,0,1,8,4
2030,7,NA,NA,NA,NA,NA,NA,7------,3,1,1,0,0,41,3,1,1,0,1,0,0,1,1,7,4
2031,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,34,4,1,0,1,0,0,0,0,0,4,2
2032,1,NA,NA,NA,NA,NA,NA,1------,6,0,1,1,0,29,1,1,1,0,0,1,0,0,0,1,3
2033,5,NA,NA,NA,NA,NA,NA,5------,11,1,1,0,1,40,3,1,1,1,0,0,1,1,1,6,4
2034,5,NA,NA,NA,NA,NA,NA,5------,4,0,0,1,0,65,3,1,1,0,1,0,0,1,1,6,3
2035,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,32,4,1,0,1,0,0,0,0,0,3,3
2036,6,NA,NA,NA,NA,NA,NA,6------,13,1,0,1,1,49,2,1,1,0,1,0,0,0,0,2,3
2037,4,NA,NA,NA,NA,NA,NA,4------,12,0,0,1,1,37,5,1,1,1,0,0,1,0,0,6,3
2038,5,NA,NA,NA,NA,NA,NA,5------,12,0,0,1,1,35,5,1,0,1,0,0,1,0,0,4,3
2039,7,NA,NA,NA,NA,NA,NA,7------,11,1,1,0,1,35,6,1,0,1,0,0,1,0,0,7,4
2040,1,NA,NA,NA,NA,NA,NA,1------,5,1,0,1,0,68,2,1,0,1,0,0,0,1,0,6,2
2041,4,NA,NA,NA,NA,NA,NA,4------,0,0,0,0,0,35,4,1,1,1,0,0,1,0,0,4,4
2042,3,NA,NA,NA,NA,NA,NA,3------,7,1,1,1,0,46,4,1,1,1,0,0,0,0,0,1,4
2043,2,NA,NA,NA,NA,NA,NA,2------,4,0,0,1,0,25,3,1,1,1,0,1,1,0,1,4,3
2044,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,46,4,1,1,1,0,0,0,0,0,1,4
2045,4,NA,NA,NA,NA,NA,NA,4------,6,0,1,1,0,51,4,1,1,1,0,0,1,0,0,4,3
2046,6,NA,NA,NA,NA,NA,NA,6------,3,1,1,0,0,33,4,1,1,1,0,0,1,1,1,6,3
2047,2,NA,NA,NA,NA,NA,NA,2------,2,0,1,0,0,36,3,1,0,0,0,1,0,0,0,6,3
2048,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,33,4,1,0,1,0,0,1,1,1,7,3
2049,6,NA,NA,NA,NA,NA,NA,6------,0,0,0,0,0,31,3,1,0,0,1,0,0,0,0,5,3
2050,2,NA,NA,NA,NA,NA,NA,2------,12,0,0,1,1,35,3,1,0,0,1,0,0,0,0,5,3
2051,5,NA,NA,NA,NA,NA,NA,5------,4,0,0,1,0,40,3,1,0,1,0,0,0,0,1,6,4
2052,7,NA,NA,NA,NA,NA,NA,7------,15,1,1,1,1,33,4,1,1,1,0,0,1,0,0,6,4
2053,7,NA,NA,NA,NA,NA,NA,7------,4,0,0,1,0,33,4,1,1,1,0,0,1,0,0,6,3
2054,5,NA,NA,NA,NA,NA,NA,5------,14,0,1,1,1,35,3,1,1,1,0,0,1,1,0,6,3
2055,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,48,1,1,0,0,1,0,0,1,0,3,2
2056,3,NA,NA,NA,NA,NA,NA,3------,4,0,0,1,0,39,7,1,1,1,0,0,1,1,1,8,4
2057,2,NA,NA,NA,NA,NA,NA,2------,3,1,1,0,0,58,3,1,1,0,1,0,1,1,0,6,3
2058,2,NA,NA,NA,NA,NA,NA,2------,9,1,0,0,1,25,3,1,1,1,0,0,1,0,0,2,3
2059,3,NA,NA,NA,NA,NA,NA,3------,6,0,1,1,0,35,6,1,1,1,0,0,1,0,0,9,4
2060,1,NA,NA,NA,NA,NA,NA,1------,0,0,0,0,0,41,3,1,1,1,0,0,1,0,0,2,2
2061,7,NA,NA,NA,NA,NA,NA,7------,15,1,1,1,1,21,NA,1,1,1,0,1,1,0,0,1,3
2062,7,NA,NA,NA,NA,NA,NA,7------,8,0,0,0,1,30,2,1,0,1,0,1,1,0,1,3,3
2063,7,NA,NA,NA,NA,NA,NA,7------,14,0,1,1,1,48,5,1,1,1,0,0,1,1,1,5,4
2064,2,NA,NA,NA,NA,NA,NA,2------,1,1,0,0,0,26,NA,1,0,0,1,1,0,1,0,5,2
2065,2,NA,NA,NA,NA,NA,NA,2------,0,0,0,0,0,39,4,1,1,0,1,0,1,1,0,6,3
2066,4,NA,NA,NA,NA,NA,NA,4------,0,0,0,0,0,40,3,1,1,1,0,0,1,1,1,6,4
2067,7,NA,NA,NA,NA,NA,NA,7------,8,0,0,0,1,30,2,1,0,1,0,1,1,0,1,3,3
2068,2,NA,NA,NA,NA,NA,NA,2------,8,0,0,0,1,42,4,1,1,1,0,0,1,0,0,1,3
2069,1,NA,NA,NA,NA,NA,NA,1------,0,0,0,0,0,56,4,1,1,1,0,0,1,0,0,5,4
2070,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,65,3,1,1,1,0,0,0,0,0,1,3
2071,1,NA,NA,NA,NA,NA,NA,1------,0,0,0,0,0,40,6,1,1,1,0,0,1,0,0,7,3
2072,5,NA,NA,NA,NA,NA,NA,5------,1,1,0,0,0,37,4,1,0,1,0,0,1,1,0,5,2
2073,7,NA,NA,NA,NA,NA,NA,7------,4,0,0,1,0,42,3,1,1,1,0,0,1,1,0,3,4
2074,3,NA,NA,NA,NA,NA,NA,3------,4,0,0,1,0,25,3,1,1,1,0,1,1,0,1,2,3
2075,7,NA,NA,NA,NA,NA,NA,7------,3,1,1,0,0,24,5,1,1,1,0,1,0,0,0,5,3
2076,3,NA,NA,NA,NA,NA,NA,3------,14,0,1,1,1,56,4,1,1,1,0,0,1,0,0,4,4
2077,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,38,3,1,0,0,0,1,0,0,0,4,4
2078,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,41,3,1,1,1,0,0,1,0,0,1,2
2079,1,NA,NA,NA,NA,NA,NA,1------,4,0,0,1,0,30,4,1,1,1,0,0,1,1,1,6,3
2080,7,NA,NA,NA,NA,NA,NA,7------,10,0,1,0,1,53,2,1,1,0,1,1,0,0,0,6,3
2081,2,NA,NA,NA,NA,NA,NA,2------,4,0,0,1,0,36,2,1,0,0,1,0,0,1,0,1,2
2082,3,NA,NA,NA,NA,NA,NA,3------,6,0,1,1,0,45,2,0,1,0,1,0,1,1,1,3,3
2083,2,NA,NA,NA,NA,NA,NA,2------,11,1,1,0,1,49,2,1,0,0,1,0,1,1,1,7,3
2084,1,NA,NA,NA,NA,NA,NA,1------,1,1,0,0,0,41,3,1,1,1,0,0,0,1,0,1,2
2085,4,NA,NA,NA,NA,NA,NA,4------,2,0,1,0,0,33,5,1,1,1,0,0,1,1,1,6,3
2086,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,32,7,1,1,0,1,0,1,0,0,7,4
2087,1,NA,NA,NA,NA,NA,NA,1------,5,1,0,1,0,39,3,1,1,1,0,0,0,0,0,4,3
2088,1,NA,NA,NA,NA,NA,NA,1------,1,1,0,0,0,41,6,1,1,1,0,0,1,0,0,5,3
2089,1,NA,NA,NA,NA,NA,NA,1------,0,0,0,0,0,41,6,1,1,1,0,0,1,0,0,6,3
2090,2,NA,NA,NA,NA,NA,NA,2------,12,0,0,1,1,35,6,1,1,1,0,0,1,0,0,4,3
2091,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,40,5,1,1,1,0,0,1,0,0,7,4
2092,5,NA,NA,NA,NA,NA,NA,5------,0,0,0,0,0,41,3,1,1,1,0,0,1,1,0,7,3
2093,1,NA,NA,NA,NA,NA,NA,1------,9,1,0,0,1,34,2,1,0,1,0,0,1,1,0,5,3
2094,2,NA,NA,NA,NA,NA,NA,2------,3,1,1,0,0,49,3,1,1,0,1,0,1,1,1,3,3
2095,7,NA,NA,NA,NA,NA,NA,7------,3,1,1,0,0,52,3,1,1,0,1,0,1,1,0,4,3
2096,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,63,3,1,1,0,1,0,1,0,1,6,3
2097,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,57,6,1,1,1,0,1,1,0,0,7,4
2098,1,NA,NA,NA,NA,NA,NA,1------,12,0,0,1,1,30,6,1,1,1,0,0,1,0,0,6,3
2099,2,NA,NA,NA,NA,NA,NA,2------,3,1,1,0,0,24,NA,1,1,1,0,0,1,0,0,6,3
2100,3,NA,NA,NA,NA,NA,NA,3------,8,0,0,0,1,25,3,1,1,1,0,1,1,1,0,3,4
2101,5,NA,NA,NA,NA,NA,NA,5------,15,1,1,1,1,37,5,1,0,1,0,0,1,0,0,8,3
2102,1,NA,NA,NA,NA,NA,NA,1------,8,0,0,0,1,44,4,1,1,0,0,0,1,0,0,5,3
2103,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,25,3,1,0,1,0,0,1,0,0,5,3
2104,1,NA,NA,NA,NA,NA,NA,1------,8,0,0,0,1,28,2,1,0,1,0,0,0,0,0,3,3
2105,3,NA,NA,NA,NA,NA,NA,3------,9,1,0,0,1,35,6,1,0,1,0,0,1,0,0,7,4
2106,7,NA,NA,NA,NA,NA,NA,7------,14,0,1,1,1,28,5,1,1,1,0,1,1,0,1,6,4
2107,3,NA,NA,NA,NA,NA,NA,3------,5,1,0,1,0,33,4,1,1,1,0,0,1,1,1,6,4
2108,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,51,4,1,1,1,0,0,1,0,0,3,3
2109,1,NA,NA,NA,NA,NA,NA,1------,5,1,0,1,0,41,6,1,1,1,0,0,1,0,0,6,3
2110,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,37,4,1,1,0,0,0,1,1,0,5,4
2111,7,NA,NA,NA,NA,NA,NA,7------,8,0,0,0,1,40,5,1,1,1,0,0,1,0,0,7,4
2112,6,NA,NA,NA,NA,NA,NA,6------,12,0,0,1,1,25,3,1,0,0,1,0,1,0,0,8,4
2113,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,40,3,1,0,1,0,0,0,1,0,8,3
2114,2,NA,NA,NA,NA,NA,NA,2------,13,1,0,1,1,34,1,1,1,1,0,0,1,1,0,6,3
2115,2,NA,NA,NA,NA,NA,NA,2------,15,1,1,1,1,68,2,1,1,0,1,0,1,1,0,6,3
2116,7,NA,NA,NA,NA,NA,NA,7------,9,1,0,0,1,33,4,1,1,1,0,0,1,0,0,7,4
2117,3,NA,NA,NA,NA,NA,NA,3------,5,1,0,1,0,60,2,1,0,1,0,0,0,0,0,5,3
2118,7,NA,NA,NA,NA,NA,NA,7------,9,1,0,0,1,38,3,1,1,1,0,0,0,1,0,5,3
2119,6,NA,NA,NA,NA,NA,NA,6------,1,1,0,0,0,31,5,1,1,1,0,0,1,1,1,6,4
2120,4,NA,NA,NA,NA,NA,NA,4------,13,1,0,1,1,42,6,1,1,1,0,0,1,1,0,2,4
2121,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,23,6,1,1,1,0,0,0,0,1,10,4
2122,2,NA,NA,NA,NA,NA,NA,2------,6,0,1,1,0,33,4,1,1,1,0,0,1,0,0,6,3
2123,5,NA,NA,NA,NA,NA,NA,5------,0,0,0,0,0,35,5,1,1,1,0,0,1,0,0,4,4
2124,5,NA,NA,NA,NA,NA,NA,5------,0,0,0,0,0,43,7,1,1,0,0,0,1,0,0,7,4
2125,6,NA,NA,NA,NA,NA,NA,6------,1,1,0,0,0,37,4,1,1,1,0,1,0,0,0,9,3
2126,4,NA,NA,NA,NA,NA,NA,4------,15,1,1,1,1,42,3,1,1,1,0,0,1,1,1,8,3
2127,2,NA,NA,NA,NA,NA,NA,2------,3,1,1,0,0,29,3,1,1,1,0,0,0,0,0,2,4
2128,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,20,5,1,1,1,0,0,1,0,0,3,3
2129,1,NA,NA,NA,NA,NA,NA,1------,0,0,0,0,0,36,4,1,0,1,0,0,0,0,0,4,4
2130,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,49,2,1,1,0,1,0,0,0,0,3,3
2131,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,37,3,1,1,0,0,0,1,1,0,5,3
2132,3,NA,NA,NA,NA,NA,NA,3------,4,0,0,1,0,25,3,1,1,1,0,1,1,0,1,3,3
2133,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,52,3,1,0,1,0,0,1,0,0,6,3
2134,2,NA,NA,NA,NA,NA,NA,2------,4,0,0,1,0,33,3,1,1,0,1,0,1,1,1,5,2
2135,6,NA,NA,NA,NA,NA,NA,6------,7,1,1,1,0,32,2,1,1,1,0,0,1,1,1,7,2
2136,7,NA,NA,NA,NA,NA,NA,7------,11,1,1,0,1,32,2,1,1,1,0,0,1,1,1,7,2
2137,1,NA,NA,NA,NA,NA,NA,1------,4,0,0,1,0,48,3,0,1,1,0,0,1,0,0,1,3
2138,3,NA,NA,NA,NA,NA,NA,3------,9,1,0,0,1,35,3,1,1,1,0,1,0,0,0,4,3
2139,5,NA,NA,NA,NA,NA,NA,5------,1,1,0,0,0,49,2,1,1,1,0,1,1,1,0,4,2
2140,5,NA,NA,NA,NA,NA,NA,5------,13,1,0,1,1,42,2,1,1,1,0,0,1,0,0,4,1
2141,5,NA,NA,NA,NA,NA,NA,5------,12,0,0,1,1,49,2,1,1,1,0,1,1,1,0,4,2
2142,4,NA,NA,NA,NA,NA,NA,4------,12,0,0,1,1,45,7,1,0,1,0,0,1,0,0,7,3
2143,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,28,5,1,1,1,0,0,1,1,0,6,3
