unit,defense,economicdevelopment,socialstability,democracy,corruption,incomeinequality,environment,ranking,treat,historical,powerful,valuable,island,age,income,han,male,eastern,central,rural,college,soe,ccp,socialstatus,news
1746,1,NA,NA,NA,NA,NA,NA,1------,12,0,0,1,1,29,4,1,0,1,0,0,0,1,0,7,3
1747,7,NA,NA,NA,NA,NA,NA,7------,4,0,0,1,0,30,1,1,0,1,0,1,0,0,0,5,3
1748,3,NA,NA,NA,NA,NA,NA,3------,2,0,1,0,0,38,3,1,1,1,0,0,1,0,0,7,3
1749,2,NA,NA,NA,NA,NA,NA,2------,9,1,0,0,1,32,3,1,0,1,0,0,1,1,1,4,4
1750,7,NA,NA,NA,NA,NA,NA,7------,4,0,0,1,0,26,2,1,0,1,0,0,0,1,0,3,2
1751,3,NA,NA,NA,NA,NA,NA,3------,3,1,1,0,0,48,3,1,0,1,0,0,1,0,1,1,3
1752,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,44,5,1,1,1,0,0,1,1,0,6,4
1753,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,49,4,1,0,1,0,1,1,1,0,5,3
1754,3,NA,NA,NA,NA,NA,NA,3------,0,0,0,0,0,47,2,1,0,1,0,0,0,1,1,3,2
1755,1,NA,NA,NA,NA,NA,NA,1------,1,1,0,0,0,34,3,1,0,0,1,0,1,1,0,7,3
1756,7,NA,NA,NA,NA,NA,NA,7------,14,0,1,1,1,43,2,1,0,1,0,0,1,0,0,2,3
1757,6,NA,NA,NA,NA,NA,NA,6------,8,0,0,0,1,43,2,1,0,1,0,0,1,0,0,3,3
1758,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,38,6,1,0,1,0,0,1,1,0,8,4
1759,2,NA,NA,NA,NA,NA,NA,2------,2,0,1,0,0,36,3,1,0,1,0,1,0,0,0,6,4
1760,1,NA,NA,NA,NA,NA,NA,1------,13,1,0,1,1,40,4,1,0,1,0,0,1,0,0,7,4
1761,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,15,NA,0,1,0,0,0,0,0,0,4,3
1762,4,NA,NA,NA,NA,NA,NA,4------,15,1,1,1,1,28,3,1,1,0,0,1,1,1,0,4,3
1763,2,NA,NA,NA,NA,NA,NA,2------,9,1,0,0,1,28,3,1,1,0,0,1,1,1,0,4,3
1764,5,NA,NA,NA,NA,NA,NA,5------,4,0,0,1,0,33,5,1,1,1,0,0,0,0,0,7,3
1765,2,NA,NA,NA,NA,NA,NA,2------,14,0,1,1,1,37,5,1,1,1,0,0,1,0,0,7,3
1766,6,NA,NA,NA,NA,NA,NA,6------,2,0,1,0,0,25,6,1,1,1,0,0,1,1,0,8,3
1767,7,NA,NA,NA,NA,NA,NA,7------,3,1,1,0,0,18,1,1,1,1,0,1,0,0,0,5,4
1768,1,NA,NA,NA,NA,NA,NA,1------,4,0,0,1,0,37,4,1,1,1,0,0,1,0,0,6,4
1769,1,NA,NA,NA,NA,NA,NA,1------,14,0,1,1,1,24,1,1,0,0,1,1,1,1,1,5,4
1770,7,NA,NA,NA,NA,NA,NA,7------,11,1,1,0,1,64,3,1,0,1,0,0,1,1,1,4,3
1771,4,NA,NA,NA,NA,NA,NA,4------,5,1,0,1,0,39,5,1,1,1,0,0,1,0,0,7,3
1772,3,NA,NA,NA,NA,NA,NA,3------,2,0,1,0,0,40,6,1,0,1,0,0,1,1,1,7,4
1773,7,NA,NA,NA,NA,NA,NA,7------,8,0,0,0,1,27,2,1,0,1,0,1,0,0,0,1,2
1774,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,32,1,0,0,0,0,1,1,1,1,3,4
1775,7,NA,NA,NA,NA,NA,NA,7------,7,1,1,1,0,42,5,1,0,0,1,0,1,1,0,5,3
1776,3,NA,NA,NA,NA,NA,NA,3------,1,1,0,0,0,25,5,1,1,1,0,0,1,1,0,7,3
1777,2,NA,NA,NA,NA,NA,NA,2------,2,0,1,0,0,19,3,1,0,0,1,1,0,0,0,3,3
1778,3,NA,NA,NA,NA,NA,NA,3------,1,1,0,0,0,24,3,1,1,1,0,1,1,0,0,1,3
1779,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,36,6,1,1,1,0,0,1,0,0,7,3
1780,4,NA,NA,NA,NA,NA,NA,4------,6,0,1,1,0,34,5,1,1,1,0,0,1,0,1,8,4
1781,4,NA,NA,NA,NA,NA,NA,4------,6,0,1,1,0,26,3,1,1,1,0,0,1,0,0,6,3
1782,7,NA,NA,NA,NA,NA,NA,7------,11,1,1,0,1,34,6,1,1,1,0,1,1,0,0,10,4
1783,4,NA,NA,NA,NA,NA,NA,4------,9,1,0,0,1,28,1,1,1,1,0,1,0,0,1,8,3
1784,3,NA,NA,NA,NA,NA,NA,3------,6,0,1,1,0,33,6,1,1,1,0,0,1,0,0,6,3
1785,3,NA,NA,NA,NA,NA,NA,3------,1,1,0,0,0,35,5,1,0,1,0,0,1,0,1,8,4
1786,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,30,7,1,1,1,0,0,1,0,0,10,4
1787,3,NA,NA,NA,NA,NA,NA,3------,15,1,1,1,1,33,4,1,1,1,0,0,1,0,0,7,3
1788,4,NA,NA,NA,NA,NA,NA,4------,3,1,1,0,0,29,3,1,0,1,0,0,1,0,0,4,2
1789,1,NA,NA,NA,NA,NA,NA,1------,0,0,0,0,0,19,4,1,0,0,1,1,0,1,0,4,3
