unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
219,7,1,3,4,5,2,6,7134526,3,2,1,36,4,4,2
220,6,3,2,1,5,7,4,6321574,3,2,1,61,8,5,2
221,7,3,1,2,6,4,5,7312645,1,1,0,42,3,4,2
222,2,5,6,7,3,1,4,2567314,1,1,1,70,3,5,2
223,NA,NA,NA,NA,NA,NA,NA,-------,0,2,1,23,3,NA,2
224,6,3,2,5,4,1,7,6325417,2,1,1,44,6,5,1
225,4,2,3,5,7,1,6,4235716,1,1,1,85,3,4,1
226,4,2,1,3,6,7,5,4213675,3,1,0,35,3,4,1
227,NA,NA,NA,NA,NA,NA,NA,-------,2,2,0,36,3,4,1
228,2,5,3,7,4,1,6,2537416,0,2,0,58,3,5,1
229,1,5,7,3,6,4,2,1573642,2,2,0,48,3,4,1
230,NA,NA,1,NA,2,3,NA,--1-23-,0,2,1,59,6,4,1
231,2,3,7,4,5,1,6,2374516,3,2,0,76,4,6,1
232,2,3,7,6,4,1,5,2376415,1,2,0,41,7,7,1
233,1,NA,NA,NA,NA,2,NA,1----2-,2,1,0,79,6,5,1
234,1,5,7,6,3,2,4,1576324,1,1,0,42,3,4,1
235,NA,NA,NA,NA,NA,NA,NA,-------,2,2,1,51,3,NA,1
236,5,2,4,3,7,1,6,5243716,0,1,0,78,2,7,1
237,4,5,6,3,2,1,7,4563217,2,1,1,81,2,5,1
238,4,1,3,6,5,2,7,4136527,3,2,1,64,3,4,1
239,5,1,7,6,3,4,2,5176342,0,1,0,91,6,6,1
240,2,5,7,3,6,1,4,2573614,0,1,1,64,2,2,1
241,2,3,6,7,5,1,4,2367514,1,1,1,70,6,6,1
242,3,4,7,5,2,1,6,3475216,2,1,0,74,2,4,1
243,3,4,1,7,6,2,5,3417625,2,2,0,84,3,6,1
244,6,1,2,3,5,4,7,6123547,0,2,1,42,8,6,1
245,2,5,7,6,3,1,4,2576314,0,1,0,40,6,7,1
246,1,6,2,5,4,3,7,1625437,2,1,0,45,4,4,1
247,6,1,7,5,4,2,3,6175423,0,1,0,49,4,6,1
