unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohafaza,caza,q5,q6,q7,q8,q9,q10,q11,q13,q14a,q14b,q15b,q16,q17,q18,q19a,q19b,q19c,q19d,q21,q22,q23a,q23b,q23c,q23d,q36a,q36b,q36c,q36d,q37a,q37b,q37c,q37d,q38a,q38b,q38c,q38d,q39a,q39b,q39c,q39d,q40,q41,q42,q43
1,1,NA,NA,NA,NA,NA,1-----,1,4,17,0,31,4,6,3,3,0,6,11,2011,1,1,5,1,1,1,4,4,4,2,-98,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,------,2,4,17,0,34,3,11,2,4,1,6,6,2012,1,1,1,1,4,1,1,4,4,1,2,2,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
3,NA,NA,NA,NA,NA,NA,------,0,4,17,0,32,4,5,1,4,2,6,5,2013,1,1,5,3,1,1,1,3,4,1,2,-98,-98,2,-99,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,NA,NA,NA,NA,NA,1-----,3,4,17,0,22,4,10,3,10,1,7,5,2014,1,1,5,3,1,2,1,4,4,1,2,2,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5,1,NA,NA,NA,NA,NA,1-----,0,4,17,0,25,4,6,2,6,1,6,4,2012,1,1,5,3,2,2,2,3,3,2,2,3,3,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,------,2,4,17,0,45,4,6,2,6,0,10,8,2011,1,1,5,5,-98,-99,4,4,4,1,-98,-98,-98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,NA,NA
7,NA,1,NA,NA,NA,NA,-1----,2,4,17,0,26,3,12,3,2,1,10,11,2016,1,1,5,3,4,1,4,4,3,4,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
8,1,NA,NA,NA,NA,NA,1-----,0,4,17,0,24,6,6,2,4,2,6,9,2012,1,1,1,1,3,1,4,4,3,1,2,2,-98,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,NA,2,NA,NA,NA,1-2---,3,4,17,1,34,3,9,3,6,1,8,9,2011,1,1,5,3,2,2,4,4,3,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
10,NA,1,NA,NA,NA,2,-1---2,3,4,17,0,63,3,5,2,1,1,6,6,2012,1,1,2,1,2,1,1,1,4,1,-98,-98,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
11,NA,NA,NA,NA,NA,NA,------,3,4,17,0,40,3,7,3,7,2,10,6,2015,1,1,5,1,3,2,3,4,3,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
12,NA,NA,NA,NA,NA,NA,------,1,4,17,0,35,3,5,4,5,2,10,5,2012,1,1,5,5,3,2,3,4,4,1,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,1,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,------,0,4,17,0,19,2,10,4,8,3,10,3,2012,1,1,1,1,3,2,4,4,4,1,-98,-98,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,1,NA,NA,3,2,-1--32,3,4,17,1,32,3,10,3,7,1,11,7,2013,1,1,5,3,1,4,4,4,1,1,2,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
15,3,1,NA,NA,NA,2,31---2,3,4,17,1,27,3,12,3,16,3,10,4,2012,1,1,5,3,3,-98,3,4,4,1,2,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
16,NA,1,NA,NA,NA,NA,-1----,0,4,17,1,47,2,12,3,14,2,10,3,2012,1,1,5,3,1,-98,-98,3,4,1,-98,3,3,2,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,2,1,3,NA,NA,-213--,3,4,17,0,21,3,9,2,5,1,10,8,2014,1,1,5,3,3,1,2,4,3,1,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
18,NA,NA,NA,NA,NA,NA,------,3,4,17,0,28,5,8,3,10,2,4,9,2013,1,1,5,2,4,4,4,4,2,5,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
19,NA,NA,NA,NA,NA,NA,------,3,4,17,0,22,3,4,3,3,0,7,4,2013,1,1,4,2,4,4,4,4,3,2,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-99
20,NA,NA,NA,NA,NA,NA,------,2,4,17,0,32,1,5,1,5,0,11,3,2016,1,1,5,1,4,4,4,4,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,NA,NA
21,1,NA,NA,NA,NA,NA,1-----,0,4,17,0,25,2,6,2,4,0,11,8,2015,2,1,5,3,4,4,4,4,2,1,2,2,2,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,NA,NA,NA,NA,NA,1-----,2,4,17,0,20,2,5,1,2,0,10,8,2011,1,1,3,1,2,2,2,2,-99,-99,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,NA,NA
23,NA,NA,NA,NA,NA,NA,------,2,4,17,0,21,4,5,2,5,1,6,3,2016,1,1,5,5,2,2,4,4,4,-98,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,3,NA,NA
24,NA,NA,NA,NA,NA,NA,------,3,4,17,0,23,3,6,1,6,1,7,11,2015,1,1,4,2,4,4,4,4,4,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-99
25,NA,NA,NA,1,NA,NA,---1--,0,4,17,1,20,3,8,2,6,2,4,2,2015,1,1,5,1,1,1,1,1,4,1,-98,-98,-98,2,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,NA,2,3,NA,NA,1-23--,1,4,17,0,23,1,9,3,3,1,6,5,2012,1,1,5,1,3,1,1,2,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA
27,NA,1,NA,NA,3,2,-1--32,1,4,17,1,26,3,6,3,4,2,6,5,2016,1,1,5,3,3,2,3,4,4,1,-98,-98,-98,3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,------,3,4,17,0,19,2,9,3,1,1,6,9,2012,1,1,5,1,2,1,4,4,4,1,-98,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
29,NA,NA,NA,NA,NA,NA,------,2,4,17,0,37,3,12,4,9,2,6,2,2012,1,1,5,3,4,4,4,4,4,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
30,NA,1,NA,NA,NA,NA,-1----,2,4,17,0,58,3,15,4,12,2,6,3,2013,1,1,5,5,2,2,3,4,4,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
31,1,NA,2,NA,3,NA,1-2-3-,2,4,17,1,30,2,8,2,9,2,6,3,2012,1,1,5,3,3,1,3,4,4,1,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
32,1,NA,2,3,NA,NA,1-23--,2,4,17,1,32,2,4,1,14,2,6,3,2015,1,1,5,3,2,2,1,3,4,1,-98,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
33,1,NA,3,2,NA,NA,1-32--,3,4,17,1,35,2,7,2,7,1,6,4,2016,1,1,5,2,1,1,2,4,2,1,2,1,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
34,NA,1,NA,NA,NA,2,-1---2,2,4,17,1,21,2,13,4,9,2,11,7,2014,1,1,5,1,-98,2,2,3,4,1,2,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
35,1,NA,NA,NA,NA,NA,1-----,1,4,17,1,35,3,11,3,13,1,10,6,2013,1,1,5,5,3,3,3,4,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
36,NA,1,NA,NA,NA,NA,-1----,2,4,17,0,19,3,15,3,10,2,11,2,2015,1,1,1,1,2,1,3,4,4,1,-98,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,NA,NA
37,NA,1,NA,NA,NA,NA,-1----,0,4,17,1,30,3,7,3,5,1,7,1,2012,1,1,5,1,3,3,4,4,2,1,2,3,2,1,1,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,NA,NA,NA,NA,NA,1-----,2,4,17,1,35,1,8,3,10,1,11,5,2012,1,1,5,4,2,3,4,4,4,1,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
39,1,NA,NA,NA,NA,NA,1-----,0,4,17,1,39,1,9,2,9,2,11,5,2015,1,1,5,3,3,1,3,3,4,1,2,-98,-98,2,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,NA,2,3,NA,NA,1-23--,1,4,17,0,50,2,10,2,6,1,11,6,2012,1,1,5,5,3,4,4,4,4,1,-98,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
41,1,NA,NA,NA,NA,NA,1-----,1,4,17,1,21,2,6,3,5,1,6,3,2015,1,1,5,3,1,1,1,3,4,2,2,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,NA,NA,NA,NA
42,NA,1,NA,NA,NA,NA,-1----,3,4,17,0,45,2,7,3,7,1,6,11,2012,1,1,5,4,2,1,1,4,4,4,3,-98,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
43,1,NA,2,NA,3,NA,1-2-3-,3,4,17,1,22,2,3,1,6,1,6,6,2012,1,1,5,3,2,1,1,3,4,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
44,1,NA,NA,NA,NA,NA,1-----,2,4,17,0,62,1,7,2,10,1,6,4,2012,1,1,4,2,2,2,4,4,4,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
45,1,NA,2,NA,NA,NA,1-2---,1,4,17,1,57,2,9,2,12,1,6,3,2012,1,1,5,3,3,3,4,4,3,1,1,3,3,-98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,NA,NA,NA,NA
46,1,NA,NA,NA,NA,NA,1-----,0,4,17,1,35,2,4,2,6,1,5,3,2012,2,1,4,2,4,4,4,4,4,4,2,3,3,2,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,NA,NA,NA,NA,NA,1-----,1,4,17,0,40,2,6,2,6,0,10,2,2012,1,1,5,5,4,4,4,4,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,NA,NA,NA,NA
48,1,NA,NA,NA,NA,NA,1-----,1,4,17,0,19,3,4,1,3,0,11,11,2016,1,1,5,4,4,4,4,4,4,-98,-98,-98,-98,3,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,1,-99,-99,-99,0,-99,NA,NA,NA,NA
49,2,NA,1,NA,NA,NA,2-1---,0,4,17,0,22,4,7,2,5,1,13,9,2012,2,3,4,3,2,3,4,4,2,1,2,3,3,1,-99,-99,-99,-99,-99,-99,1,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,------,1,4,17,0,30,1,4,1,4,1,1,5,2012,1,1,5,3,4,4,4,4,4,-98,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,-99,0,1,0,0,0,0,0,NA,NA,NA,NA
51,NA,1,NA,NA,NA,2,-1---2,0,4,17,0,19,3,5,2,5,1,1,9,2014,1,3,4,3,3,3,3,3,2,4,2,3,2,1,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,------,3,4,17,1,42,3,8,3,6,1,8,4,2012,2,1,5,3,4,3,3,4,-99,-99,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99
53,NA,NA,NA,NA,NA,NA,------,3,4,17,1,20,4,6,2,6,1,11,7,2016,1,1,5,4,4,4,4,4,4,1,2,2,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
54,NA,NA,NA,NA,NA,NA,------,0,4,17,0,21,3,6,2,1,1,7,6,2013,1,1,4,3,3,3,3,3,4,3,2,2,3,3,0,0,-99,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,NA,NA,NA,NA,NA,1-----,1,4,17,0,19,3,10,2,8,0,11,8,2013,1,1,4,3,3,3,3,4,4,4,2,1,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,------,0,4,17,0,19,3,7,3,5,0,5,3,2013,1,1,4,4,2,-98,2,4,4,1,2,3,2,2,1,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,------,2,4,17,1,32,2,6,2,6,0,6,11,2011,1,1,5,3,2,1,2,4,4,1,-98,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
58,1,NA,NA,NA,NA,NA,1-----,3,4,17,0,20,3,6,2,5,0,6,4,2013,1,1,5,1,-98,2,-98,3,4,1,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
59,NA,1,NA,NA,NA,NA,-1----,0,4,17,0,56,4,10,2,8,0,6,5,2011,1,1,1,1,3,3,3,4,4,1,2,3,2,2,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1,NA,NA,2,NA,NA,1--2--,3,4,17,0,31,2,15,4,6,0,9,8,2015,1,1,5,5,2,2,1,4,4,1,2,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
61,NA,1,NA,NA,3,2,-1--32,0,4,17,0,22,3,8,2,6,2,6,3,2015,1,1,5,2,4,4,4,4,2,1,2,3,3,2,1,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1,NA,2,NA,NA,NA,1-2---,3,4,17,1,44,2,10,3,9,1,11,5,2012,1,1,5,4,3,3,3,4,4,1,2,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
63,1,NA,2,3,NA,NA,1-23--,1,4,17,0,22,3,4,1,2,1,6,6,2014,1,1,5,3,1,1,4,4,3,5,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA
64,1,NA,NA,NA,NA,NA,1-----,0,4,17,1,47,3,12,3,8,1,6,5,2017,1,1,5,1,-98,-98,1,3,4,1,2,-98,-98,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,NA,2,NA,NA,NA,1-2---,0,4,17,1,29,3,8,2,10,1,11,5,2015,1,1,5,3,4,4,4,3,4,1,-98,3,-98,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,------,0,4,17,1,27,3,7,2,6,1,11,6,2013,1,1,5,1,-98,-98,2,4,4,5,-98,-98,-98,3,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1,NA,NA,NA,NA,NA,1-----,1,4,17,1,38,2,8,2,8,1,6,3,2012,1,1,3,2,1,1,4,4,4,4,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,0,NA,NA,NA,NA
68,1,NA,2,NA,NA,NA,1-2---,3,4,17,1,45,2,6,2,5,1,6,12,2012,1,1,5,3,2,2,2,3,4,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
69,1,NA,NA,NA,NA,NA,1-----,2,4,17,1,38,2,8,2,8,1,6,3,2012,1,1,5,3,1,1,1,4,4,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
70,1,NA,2,NA,NA,NA,1-2---,1,4,17,0,34,2,5,3,5,1,6,7,2012,1,1,5,3,1,1,2,3,3,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
71,1,NA,NA,NA,NA,NA,1-----,2,4,17,0,42,2,7,3,14,3,6,11,2012,1,1,3,2,1,1,2,3,3,5,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
72,1,NA,NA,NA,NA,NA,1-----,3,4,17,0,34,4,4,4,5,1,6,4,2013,1,1,1,1,1,1,2,4,2,5,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
73,1,NA,NA,NA,NA,NA,1-----,0,4,17,1,38,3,7,2,8,1,7,9,2011,1,1,5,3,1,1,1,3,2,2,2,2,2,2,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1,NA,NA,NA,NA,NA,1-----,2,4,17,1,37,3,4,1,4,1,6,7,2013,1,1,5,3,1,1,3,4,4,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
75,1,NA,2,NA,NA,NA,1-2---,1,4,17,0,25,3,2,2,3,1,6,9,2011,1,1,5,3,1,1,1,1,3,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
76,1,NA,2,NA,NA,NA,1-2---,3,4,17,0,22,2,8,3,9,2,6,3,2013,1,1,5,4,2,2,2,4,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
77,NA,NA,NA,NA,NA,NA,------,3,4,17,1,20,2,6,2,5,0,13,7,2014,1,1,5,5,4,4,4,4,4,1,-98,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
78,1,NA,NA,NA,NA,NA,1-----,0,4,17,1,32,4,4,2,4,0,6,8,2014,1,1,5,5,2,3,3,4,4,1,2,3,-98,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,------,0,4,17,0,30,4,5,3,6,0,6,7,2013,1,1,5,3,3,2,3,3,4,1,2,3,-98,2,1,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,------,0,4,17,0,28,2,10,3,5,0,6,3,2016,1,1,5,1,2,2,3,4,4,1,2,3,-98,3,1,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,------,1,4,17,0,19,3,5,2,5,0,6,5,2013,1,1,5,3,2,1,3,4,4,1,-98,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
82,1,NA,NA,NA,NA,NA,1-----,3,4,17,0,50,2,10,5,5,1,7,3,2016,1,1,1,1,3,3,3,4,2,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
83,NA,NA,NA,NA,NA,NA,------,1,4,17,1,30,1,8,2,8,0,13,8,2011,1,1,5,1,-98,-98,2,4,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,1,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,------,3,4,17,0,40,3,7,2,8,0,13,7,2011,1,1,5,1,1,-98,3,4,4,1,2,-98,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
85,NA,NA,NA,NA,NA,NA,------,3,4,17,1,31,3,13,4,4,1,10,7,2011,1,1,5,3,3,-98,3,4,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
86,NA,NA,NA,NA,NA,NA,------,0,4,17,0,28,3,15,3,8,0,10,7,2012,1,1,5,1,2,3,4,4,4,1,2,1,2,2,1,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,1,NA,NA,NA,NA,-1----,2,4,17,0,39,3,4,3,6,0,13,4,2013,1,1,5,5,-98,4,4,4,4,4,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
88,NA,NA,NA,NA,NA,NA,------,2,4,17,0,37,1,2,3,6,0,13,6,2013,1,1,5,1,2,2,3,4,4,1,2,1,3,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
89,1,NA,NA,NA,NA,NA,1-----,1,4,17,1,38,3,14,3,6,0,13,9,2013,1,1,5,5,2,3,4,4,4,1,-98,-98,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,-99,1,NA,NA,NA,NA
90,NA,NA,NA,NA,NA,NA,------,1,4,17,1,42,2,6,1,7,0,13,6,2014,1,1,5,1,-98,-98,4,3,4,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,1,NA,NA,NA,NA
91,1,NA,NA,NA,NA,NA,1-----,3,4,17,0,58,2,6,3,6,0,13,7,2014,1,1,5,5,4,4,4,4,3,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
92,NA,NA,NA,NA,NA,NA,------,0,4,17,0,30,1,5,1,5,1,6,6,2015,1,1,5,3,4,4,4,4,4,-98,2,2,2,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA,------,2,4,17,0,26,2,6,2,4,1,4,2,2015,1,1,3,3,3,3,3,3,4,3,2,2,-98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,NA,NA
94,NA,NA,NA,NA,NA,NA,------,1,4,17,0,20,3,5,1,4,0,9,2,2012,1,1,5,2,3,3,3,3,4,1,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,-99,0,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA,------,3,4,17,1,37,4,4,2,4,1,8,7,2013,1,2,4,3,1,1,1,3,4,-98,-98,-98,-98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99
96,NA,NA,NA,NA,NA,NA,------,1,4,17,0,42,2,6,2,6,1,7,5,2013,1,1,5,4,4,4,4,4,4,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,0,-99,-99,-99,-99,-99,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA,------,3,4,17,0,22,3,6,1,5,1,11,2,2014,1,1,5,3,4,4,4,4,4,1,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99
98,NA,NA,NA,NA,NA,NA,------,1,4,17,0,21,3,4,1,4,1,9,8,2013,1,1,5,3,4,4,4,4,4,1,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,0,-99,-99,-99,-99,-99,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,NA,------,0,4,17,0,27,2,6,2,1,0,5,5,2014,1,1,5,3,4,4,4,4,4,1,2,3,2,1,-99,-99,-99,-99,-99,-99,1,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,------,1,4,17,0,21,3,6,2,2,0,11,4,2015,1,1,5,3,4,4,4,4,4,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,-99,1,0,0,0,0,0,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,------,0,4,17,0,34,1,5,1,4,0,3,2,2016,1,1,5,2,4,4,4,4,4,1,3,3,-98,3,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA,NA,------,3,4,17,1,28,2,6,2,4,0,11,6,2014,1,3,4,2,3,3,3,3,4,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99
