unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohafaza,caza,q5,q6,q7,q8,q9,q10,q11,q13,q14a,q14b,q15b,q16,q17,q18,q19a,q19b,q19c,q19d,q21,q22,q23a,q23b,q23c,q23d,q36a,q36b,q36c,q36d,q37a,q37b,q37c,q37d,q38a,q38b,q38c,q38d,q39a,q39b,q39c,q39d,q40,q41,q42,q43
1086,NA,NA,NA,NA,NA,NA,------,1,2,5,0,28,2,5,1,4,1,1,10,2012,1,1,4,1,2,2,1,4,3,4,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,-99,0,NA,NA,NA,NA
1087,NA,NA,NA,NA,NA,NA,------,0,2,5,1,37,3,6,1,6,1,1,8,2012,1,1,4,1,2,2,-98,4,4,2,2,2,2,2,1,-99,-99,-99,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,NA,1,NA,NA,NA,NA,-1----,0,2,8,1,44,2,11,2,5,1,14,2,2014,1,1,4,1,2,2,1,4,4,1,2,3,3,1,1,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1089,NA,NA,NA,NA,NA,NA,------,0,2,4,1,35,2,4,2,5,1,1,5,2013,1,1,5,3,3,3,3,4,2,2,2,3,-98,-98,1,-99,1,-99,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1090,NA,NA,NA,NA,NA,NA,------,2,2,4,1,50,2,4,2,2,1,6,4,2012,1,1,1,1,-98,-98,-98,-98,4,2,2,1,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1091,NA,NA,NA,NA,NA,NA,------,0,2,4,0,48,3,10,3,10,3,11,2,2012,1,1,5,1,1,1,1,4,3,4,2,3,-98,2,1,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1092,NA,1,NA,NA,NA,2,-1---2,3,2,4,0,35,2,4,2,6,2,12,4,2013,1,1,5,3,4,3,4,4,4,3,2,2,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
1093,NA,NA,NA,NA,NA,NA,------,0,2,4,0,30,3,11,4,1,1,11,3,2012,1,1,5,1,3,3,3,4,3,3,2,3,2,2,-99,-99,-99,-99,-99,-99,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1094,NA,NA,NA,NA,NA,NA,------,2,2,4,0,22,3,9,3,2,1,11,8,2012,1,1,5,3,2,2,4,4,4,3,2,1,1,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA
1095,NA,1,NA,NA,NA,2,-1---2,3,2,4,0,55,2,5,2,5,1,11,7,2011,1,1,5,1,1,1,1,4,3,3,2,3,3,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1096,NA,1,NA,NA,NA,2,-1---2,3,2,4,0,30,5,9,3,7,3,6,4,2014,1,1,4,1,3,1,1,4,4,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
1097,NA,1,NA,NA,NA,2,-1---2,0,2,4,0,20,3,7,3,9,3,6,6,2012,1,1,3,1,-98,-98,-98,-98,3,3,2,-98,-98,2,1,0,1,-99,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098,NA,NA,NA,NA,NA,NA,------,1,4,20,0,39,1,4,1,5,1,11,5,2013,1,1,1,1,1,1,1,3,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,0,0,-99,-99,-99,-99,NA,NA,NA,NA
1099,NA,NA,NA,NA,NA,NA,------,0,2,4,1,23,3,3,2,2,1,7,6,2012,1,1,1,1,-98,-98,-98,-98,4,3,2,-98,-98,-98,-99,-99,1,-99,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1100,NA,NA,NA,NA,NA,NA,------,2,2,4,1,43,3,6,2,5,2,4,5,2013,1,1,5,3,3,2,3,4,4,3,2,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1101,NA,NA,NA,NA,NA,NA,------,1,2,4,1,27,2,3,2,5,1,13,7,2012,1,1,4,1,2,2,2,3,4,-98,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,0,0,-99,-99,-99,-99,NA,NA,NA,NA
1102,NA,NA,NA,NA,NA,NA,------,1,2,4,0,57,2,6,2,3,1,1,8,2011,1,1,1,1,1,1,1,1,4,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,0,-99,-99,-99,-99,-99,NA,NA,NA,NA
1103,NA,NA,NA,NA,NA,NA,------,3,2,4,0,40,2,5,2,6,3,7,5,2012,1,1,1,1,-98,-98,-98,-98,-98,-98,2,2,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
1104,NA,NA,NA,NA,NA,NA,------,3,2,4,1,39,2,5,2,6,1,7,3,2015,1,1,1,1,-98,-98,-98,-98,4,3,-98,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1105,NA,NA,NA,NA,NA,NA,------,3,2,4,1,30,1,4,1,6,1,11,4,2013,1,1,5,1,1,1,1,4,4,-98,-98,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1106,NA,1,NA,NA,NA,2,-1---2,2,2,4,0,43,2,7,2,8,1,11,5,2011,1,1,1,1,-98,-98,-98,-98,4,3,2,3,3,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
1107,NA,1,NA,NA,NA,2,-1---2,0,2,4,0,34,1,6,1,8,1,11,4,2014,1,1,1,1,-98,-98,-98,-98,4,3,2,3,3,-98,1,-99,1,-99,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
