unit,scott,hodge,taylor,liu,thao,delafuente,villanueva,reimann,jordan,reid,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
157,NA,2,NA,NA,NA,NA,NA,1,NA,3,-2-----1-3,0,32,Male,Black or African American,Democrat,High school diploma or equivalent,Likely,Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)|Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)
158,NA,NA,2,NA,NA,NA,NA,NA,1,3,--2-----13,0,61,Female,Latino or Hispanic,Independent,High school diploma or equivalent,Very likely,Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)
159,NA,NA,3,NA,NA,2,1,NA,NA,NA,--3--21---,0,21,Female,Latino or Hispanic,Democrat,High school diploma or equivalent,Very likely,Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)
160,NA,NA,NA,NA,1,NA,3,NA,NA,2,----1-3--2,0,22,Female,Latino or Hispanic,Independent,Some college but no degree,Unlikely,Tyron C. Jordan (Legal Assistant)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)
161,NA,NA,2,NA,1,NA,3,NA,NA,NA,--2-1-3---,0,51,Male,White,Democrat,Some college but no degree,Very likely,Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)|Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)
162,NA,NA,2,NA,NA,NA,NA,NA,3,1,--2-----31,0,66,Female,White,Democrat,Master's degree,Very likely,Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)
163,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,--------1-,0,27,Female,Other,Republican,Less than high school diploma,Very unlikely,Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Seneca Scott (Small Business Owner)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)
164,2,NA,NA,NA,3,1,NA,NA,NA,NA,2---31----,0,33,Male,Latino or Hispanic,Democrat,Some college but no degree,Very likely,Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)
165,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-----1----,0,47,Male,White,Democrat,Bachelor's degree,Very likely,Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)
166,1,NA,3,NA,2,NA,NA,NA,NA,NA,1-3-2-----,0,29,Male,White,Democrat,Some college but no degree,Very likely,Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)
167,NA,NA,NA,NA,1,2,3,NA,NA,NA,----123---,0,29,Male,White,Democrat,High school diploma or equivalent,I already voted using Vote-by-Mail,Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)
168,NA,2,NA,NA,NA,1,NA,NA,NA,NA,-2---1----,0,44,Female,White,Democrat,Master's degree,Very likely,Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)
169,NA,NA,2,NA,3,NA,NA,NA,NA,1,--2-3----1,0,41,Female,Black or African American,Democrat,High school diploma or equivalent,Very likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)
170,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2---1-----,0,42,Male,Latino or Hispanic,Independent,Bachelor's degree,Very likely,Tyron C. Jordan (Legal Assistant)|Gregory Hodge (Non-Profit Executive)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|Seneca Scott (Small Business Owner)
171,1,NA,NA,3,NA,NA,2,NA,NA,NA,1--3--2---,0,30,Female,Latino or Hispanic,Independent,Master's degree,Likely,Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)
172,NA,NA,NA,NA,NA,1,NA,2,NA,3,-----1-2-3,0,60,Female,White,Republican,Master's degree,Very likely,Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)
173,NA,NA,NA,3,1,NA,2,NA,NA,NA,---31-2---,0,35,Male,Asian and Pacific Islanders,Democrat,Bachelor's degree,Likely,Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)
174,NA,NA,1,NA,2,NA,NA,NA,NA,3,--1-2----3,0,36,Male,Latino or Hispanic,Democrat,Bachelor's degree,Very likely,Gregory Hodge (Non-Profit Executive)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|Allyssa Victory Villanueva (Civil Rights Attorney)|John Reimann (Retired Carpenter)
175,NA,NA,3,NA,1,NA,NA,NA,NA,2,--3-1----2,0,41,Male,Other,Independent,High school diploma or equivalent,Very unlikely,Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)
176,2,NA,NA,NA,1,NA,3,NA,NA,NA,2---1-3---,0,23,Male,Latino or Hispanic,Democrat,Some college but no degree,Likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)
177,NA,NA,NA,NA,NA,1,2,NA,NA,3,-----12--3,0,41,Male,Latino or Hispanic,Democrat,High school diploma or equivalent,Very likely,Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)
178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1---------,0,35,Male,Other,Other Party,Bachelor's degree,Unlikely,Seneca Scott (Small Business Owner)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)
179,3,2,NA,NA,NA,NA,NA,NA,1,NA,32------1-,0,18,Male,Latino or Hispanic,Independent,High school diploma or equivalent,Likely,Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)
180,NA,NA,NA,NA,1,2,NA,3,NA,NA,----12-3--,0,27,Male,Latino or Hispanic,Republican,Less than high school diploma,Likely,Ignacio De La Fuente (Business Solution Strategist)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Seneca Scott (Small Business Owner)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)
181,NA,2,NA,NA,3,NA,NA,NA,1,NA,-2--3---1-,0,30,Male,Latino or Hispanic,Independent,High school diploma or equivalent,Very likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Tyron C. Jordan (Legal Assistant)
182,3,NA,NA,NA,1,NA,NA,NA,NA,2,3---1----2,0,28,Male,White,Democrat,High school diploma or equivalent,Likely,Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)
183,3,NA,2,NA,1,NA,NA,NA,NA,NA,3-2-1-----,0,41,Female,Black or African American,Democrat,Master's degree,Very likely,Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)
184,NA,NA,NA,NA,NA,2,1,NA,3,NA,-----21-3-,0,31,Female,Other,Democrat,Associate degree,Very likely,Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)
185,NA,NA,NA,NA,2,NA,1,NA,3,NA,----2-1-3-,0,51,Female,Black or African American,Democrat,Some college but no degree,Very likely,Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)
186,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,--1-------,0,44,Female,Black or African American,Democrat,Associate degree,Very likely,Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)
187,NA,NA,2,NA,3,NA,1,NA,NA,NA,--2-3-1---,0,25,Female,Latino or Hispanic,Independent,Bachelor's degree,Likely,Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)
188,NA,NA,NA,NA,1,3,NA,NA,NA,2,----13---2,0,39,Female,Black or African American,Democrat,Less than high school diploma,Likely,Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)
189,NA,2,NA,NA,3,NA,1,NA,NA,NA,-2--3-1---,0,47,Male,Asian and Pacific Islanders,Other Party,Professional school degree,Very likely,Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Tyron C. Jordan (Legal Assistant)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)
190,NA,NA,NA,NA,3,NA,NA,NA,1,2,----3---12,0,43,Female,Black or African American,Democrat,Associate degree,Very likely,Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)
191,NA,NA,NA,NA,NA,NA,1,NA,3,2,------1-32,0,37,Male,Black or African American,Republican,High school diploma or equivalent,Likely,Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)
192,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,--1-------,0,36,Female,Latino or Hispanic,Independent,High school diploma or equivalent,Unlikely,Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)
193,3,1,NA,NA,NA,NA,NA,NA,2,NA,31------2-,0,18,Female,Black or African American,Independent,High school diploma or equivalent,I already voted using Vote-by-Mail,Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)|Ignacio De La Fuente (Business Solution Strategist)
194,NA,NA,2,NA,3,NA,NA,NA,NA,1,--2-3----1,0,80,Female,White,Democrat,Some college but no degree,Very likely,Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)
195,1,NA,NA,NA,NA,NA,NA,NA,3,2,1-------32,0,46,Male,Black or African American,Independent,Some college but no degree,Very likely,Seneca Scott (Small Business Owner)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)
196,2,NA,NA,NA,NA,NA,1,NA,NA,3,2-----1--3,0,36,Female,White,Democrat,Bachelor's degree,Very likely,Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)
197,NA,NA,3,NA,1,2,NA,NA,NA,NA,--3-12----,0,41,Female,White,Democrat,Associate degree,Very likely,Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)|Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)
198,NA,2,NA,NA,1,NA,3,NA,NA,NA,-2--1-3---,0,65,Male,Black or African American,Democrat,Master's degree,Very likely,Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)
199,NA,NA,NA,NA,NA,2,NA,NA,NA,1,-----2---1,0,34,Female,Other,Other Party,Associate degree,Very unlikely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Seneca Scott (Small Business Owner)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)
200,NA,NA,2,NA,1,3,NA,NA,NA,NA,--2-13----,0,62,Male,Black or African American,Democrat,Master's degree,I already voted using Vote-by-Mail,Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)
201,NA,NA,1,NA,NA,3,NA,NA,NA,2,--1--3---2,0,57,Female,Black or African American,Democrat,Some college but no degree,Very likely,Ignacio De La Fuente (Business Solution Strategist)|Sheng Thao (Oakland City Councilmember)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)
202,NA,NA,NA,NA,2,1,NA,3,NA,NA,----21-3--,0,35,Male,White,Democrat,Some college but no degree,Very likely,Tyron C. Jordan (Legal Assistant)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)
203,3,NA,NA,NA,1,NA,NA,NA,NA,2,3---1----2,0,30,Male,White,Democrat,Doctorate degree,Very likely,Allyssa Victory Villanueva (Civil Rights Attorney)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Tyron C. Jordan (Legal Assistant)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)
204,NA,NA,NA,NA,NA,NA,2,1,NA,NA,------21--,0,22,Male,Latino or Hispanic,Republican,High school diploma or equivalent,Very likely,Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|Gregory Hodge (Non-Profit Executive)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)
205,NA,NA,NA,NA,3,1,NA,2,NA,NA,----31-2--,0,40,Male,White,Democrat,Master's degree,Very likely,John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)
206,NA,NA,1,2,3,NA,NA,NA,NA,NA,--123-----,0,38,Female,Asian and Pacific Islanders,Independent,Bachelor's degree,Very likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Allyssa Victory Villanueva (Civil Rights Attorney)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)
