unit,scott,hodge,taylor,liu,thao,delafuente,villanueva,reimann,jordan,reid,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
124,NA,NA,2,NA,1,NA,NA,NA,NA,3,--2-1----3,0,22,Male,Black or African American,Independent,High school diploma or equivalent,Unlikely,Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)
125,NA,NA,3,NA,1,NA,2,NA,NA,NA,--3-1-2---,0,54,Female,Asian and Pacific Islanders,Democrat,Bachelor's degree,Very likely,Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)
126,NA,NA,NA,NA,NA,1,3,NA,2,NA,-----13-2-,0,21,Male,American Indian and Alaska Native,Republican,Prefer not to say,Very likely,Tyron C. Jordan (Legal Assistant)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)|Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)
127,1,3,NA,2,NA,NA,NA,NA,NA,NA,13-2------,0,22,Male,Latino or Hispanic,Republican,Master's degree,Very likely,Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)
128,1,NA,NA,NA,3,NA,2,NA,NA,NA,1---3-2---,0,54,Female,White,Independent,Professional school degree,Very likely,Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)|Gregory Hodge (Non-Profit Executive)|Seneca Scott (Small Business Owner)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)
129,NA,3,1,NA,NA,2,NA,NA,NA,NA,-31--2----,0,73,Female,Black or African American,Democrat,Bachelor's degree,Very likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Ignacio De La Fuente (Business Solution Strategist)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)
130,NA,3,NA,NA,1,NA,NA,NA,NA,2,-3--1----2,0,60,Female,Other,Democrat,Master's degree,Very likely,John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)|Sheng Thao (Oakland City Councilmember)|Loren Manuel Taylor (Councilmember/Small Businessperson)
131,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,----1-----,0,26,Female,White,Independent,Some college but no degree,Very unlikely,Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)
132,NA,1,NA,2,3,NA,NA,NA,NA,NA,-1-23-----,0,62,Female,White,Republican,Master's degree,Very likely,Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)
133,NA,NA,1,NA,3,NA,NA,NA,NA,2,--1-3----2,0,74,Female,Black or African American,Democrat,Bachelor's degree,Very likely,Sheng Thao (Oakland City Councilmember)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)
134,NA,3,2,1,NA,NA,NA,NA,NA,NA,-321------,0,50,Female,Middle Easterners and North Africans,Democrat,Professional school degree,Very likely,Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)
135,NA,3,NA,NA,NA,NA,1,NA,2,NA,-3----1-2-,0,51,Female,Other,Independent,Prefer not to say,Unlikely,Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|John Reimann (Retired Carpenter)
136,NA,NA,NA,NA,NA,2,NA,NA,1,3,-----2--13,0,28,Male,Black or African American,Democrat,High school diploma or equivalent,Very likely,John Reimann (Retired Carpenter)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Seneca Scott (Small Business Owner)
137,NA,NA,2,NA,1,NA,3,NA,NA,NA,--2-1-3---,0,38,Female,Asian and Pacific Islanders,Democrat,Bachelor's degree,Likely,Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)
138,NA,NA,NA,NA,1,NA,2,NA,3,NA,----1-2-3-,0,40,Male,Asian and Pacific Islanders,Democrat,Doctorate degree,Very likely,Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)|Tyron C. Jordan (Legal Assistant)
139,NA,NA,NA,NA,NA,NA,NA,NA,2,1,--------21,0,23,Male,White,Other Party,High school diploma or equivalent,Likely,Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)
140,3,NA,NA,NA,NA,NA,2,1,NA,NA,3-----21--,0,25,Male,Latino or Hispanic,Democrat,Master's degree,Likely,Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|Gregory Hodge (Non-Profit Executive)
141,3,NA,NA,NA,1,NA,NA,NA,2,NA,3---1---2-,0,21,Male,Latino or Hispanic,Democrat,High school diploma or equivalent,Likely,Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Gregory Hodge (Non-Profit Executive)
142,1,NA,NA,NA,NA,NA,NA,2,NA,3,1------2-3,0,50,Male,White,Independent,Associate degree,Likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)
143,NA,NA,NA,NA,3,1,NA,2,NA,NA,----31-2--,0,20,Male,Latino or Hispanic,Independent,High school diploma or equivalent,Very unlikely,Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Allyssa Victory Villanueva (Civil Rights Attorney)|Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)
144,NA,3,NA,NA,1,NA,NA,NA,NA,2,-3--1----2,0,34,Female,Asian and Pacific Islanders,Democrat,Master's degree,Likely,Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)
145,NA,NA,NA,NA,1,NA,2,NA,NA,3,----1-2--3,0,35,Female,Asian and Pacific Islanders,Republican,Bachelor's degree,Likely,Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)
146,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,----1-----,0,47,Female,Other,Other Party,High school diploma or equivalent,Very likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)|Allyssa Victory Villanueva (Civil Rights Attorney)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Seneca Scott (Small Business Owner)
