unit,wellbeing,achievement,inclusiveness,ranking,treat,informationtreatment,discretiontreatment,group1
151,NA,NA,NA,---,1,0,1,1
152,1,NA,NA,1--,2,1,1,0
153,1,NA,NA,1--,0,1,1,0
154,1,NA,NA,1--,3,0,0,1
155,1,NA,NA,1--,3,1,0,1
156,1,NA,NA,1--,0,1,1,0
157,NA,NA,NA,---,3,1,0,0
158,1,NA,NA,1--,3,1,0,0
159,1,NA,NA,1--,3,1,0,0
160,1,NA,NA,1--,3,0,0,1
161,1,NA,NA,1--,3,0,0,1
162,1,NA,NA,1--,2,1,1,0
163,1,NA,NA,1--,3,1,0,0
164,1,NA,NA,1--,0,0,1,0
165,NA,NA,NA,---,1,1,1,1
166,NA,NA,NA,---,3,1,0,0
167,1,NA,NA,1--,3,0,0,1
168,NA,NA,NA,---,3,0,0,1
169,1,NA,NA,1--,2,0,1,0
170,1,NA,NA,1--,3,1,0,1
171,1,NA,NA,1--,3,0,0,1
172,1,NA,NA,1--,1,0,1,1
173,1,NA,NA,1--,3,1,0,0
174,1,NA,NA,1--,1,0,1,1
175,1,NA,NA,1--,0,0,1,0
176,1,NA,NA,1--,0,1,1,0
177,1,NA,NA,1--,1,1,1,1
178,NA,NA,NA,---,0,1,1,0
179,NA,NA,NA,---,3,0,0,1
180,1,NA,NA,1--,3,0,0,1
181,1,NA,NA,1--,1,1,1,1
182,1,NA,NA,1--,2,0,1,0
183,1,NA,NA,1--,3,1,0,1
184,1,NA,NA,1--,2,0,1,0
185,1,NA,NA,1--,0,1,1,0
186,1,NA,NA,1--,2,1,1,0
187,1,NA,NA,1--,1,0,1,1
188,NA,NA,NA,---,3,0,0,0
189,NA,NA,NA,---,3,1,0,0
190,1,NA,NA,1--,3,1,0,0
191,1,NA,NA,1--,0,1,1,0
192,1,NA,NA,1--,3,0,0,1
193,NA,NA,NA,---,0,1,1,0
194,1,NA,NA,1--,3,0,0,0
195,1,NA,NA,1--,2,0,1,0
196,NA,NA,NA,---,1,1,1,1
197,NA,NA,NA,---,0,0,1,0
198,NA,NA,NA,---,3,1,0,1
199,NA,NA,NA,---,1,0,1,1
200,1,NA,NA,1--,2,1,1,0
201,NA,NA,NA,---,3,0,0,1
202,NA,NA,NA,---,1,1,1,1
203,NA,NA,NA,---,1,1,1,1
204,1,NA,NA,1--,1,0,1,1
205,1,NA,NA,1--,0,0,1,0
206,1,NA,NA,1--,3,1,0,0
207,1,NA,NA,1--,3,1,0,0
208,1,NA,NA,1--,3,0,0,0
209,NA,NA,NA,---,1,0,1,1
210,1,NA,NA,1--,3,1,0,0
211,1,NA,NA,1--,2,1,1,0
212,NA,NA,NA,---,2,0,1,0
213,1,NA,NA,1--,0,0,1,0
214,1,NA,NA,1--,2,0,1,0
215,NA,NA,NA,---,3,0,0,0
216,1,NA,NA,1--,2,0,1,0
217,1,NA,NA,1--,3,0,0,0
218,1,NA,NA,1--,0,0,1,0
219,NA,NA,NA,---,3,1,0,0
220,1,NA,NA,1--,3,0,0,0
221,1,NA,NA,1--,3,1,0,0
222,1,NA,NA,1--,3,0,0,0
223,1,NA,NA,1--,3,0,0,0
224,1,NA,NA,1--,3,1,0,0
225,1,NA,NA,1--,3,1,0,0
226,1,NA,NA,1--,3,1,0,0
227,1,NA,NA,1--,3,0,0,0
228,1,NA,NA,1--,2,1,1,0
229,1,NA,NA,1--,0,0,1,0
230,1,NA,NA,1--,3,0,0,1
