unit,clark,officers,hahn,steinberg,schubert,brown,senators,ranking,treat,county,partyid,race,ideo_rating,education,work_for_law
1764,3,7,4,1,5,6,2,3741562,0,sacramento,1,1,6,3,0
1765,6,7,5,3,4,2,1,6753421,0,sacramento,2,1,2,3,0
1766,7,1,2,4,3,6,5,7124365,1,sacramento,1,1,6,3,0
1767,4,7,6,3,5,1,2,4763512,1,sacramento,2,4,1,4,0
1768,7,6,4,5,3,2,1,7645321,0,sacramento,1,4,4,4,1
1769,4,7,6,2,5,1,3,4762513,1,orange,2,3,3,2,0
1770,6,7,4,2,5,3,1,6742531,1,orange,1,1,NA,3,0
1771,7,1,2,4,3,6,5,7124365,1,sacramento,1,1,6,5,0
1772,7,6,5,4,3,2,1,7654321,1,los angeles,1,1,5,4,0
1773,6,7,5,4,1,3,2,6754132,0,sacramento,3,3,3,3,0
1774,7,1,3,4,2,5,6,7134256,0,sacramento,1,1,7,3,1
1775,NA,NA,NA,NA,NA,NA,NA,-------,1,orange,NA,NA,NA,NA,NA
1776,7,6,5,4,3,1,2,7654312,1,los angeles,1,3,4,2,1
1777,6,7,5,3,4,2,1,6753421,1,orange,2,4,5,4,0
1778,1,7,6,4,5,3,2,1764532,0,sacramento,2,1,3,3,0
1779,3,4,2,5,7,1,6,3425716,1,sacramento,1,5,7,3,1
1780,7,6,1,4,2,5,3,7614253,0,riverside,3,3,NA,2,0
1781,5,1,2,6,7,3,4,5126734,0,sacramento,1,1,6,4,0
1782,1,7,6,4,5,3,2,1764532,1,orange,2,1,6,5,0
1783,7,6,3,5,4,1,2,7635412,0,los angeles,1,1,4,4,0
1784,7,6,5,4,3,2,1,7654321,0,orange,3,1,5,3,0
1785,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,NA,NA,NA,NA,NA
1786,6,7,5,3,4,2,1,6753421,1,sacramento,2,2,2,4,0
1787,1,7,6,4,5,3,2,1764532,0,riverside,2,3,2,2,0
1788,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,NA,NA,NA,NA,NA
1789,7,1,2,4,3,6,5,7124365,1,sacramento,1,1,5,5,0
1790,NA,NA,NA,NA,NA,NA,NA,-------,0,sacramento,NA,NA,NA,NA,NA
1791,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
1792,7,6,3,2,1,5,4,7632154,0,orange,1,1,7,4,0
1793,6,7,5,3,4,2,1,6753421,1,sacramento,2,4,2,4,0
1794,6,4,3,2,5,7,1,6432571,1,sacramento,4,4,NA,3,0
1795,6,7,5,4,2,3,1,6754231,1,sacramento,1,1,5,3,0
1796,7,6,5,3,4,2,1,7653421,0,sacramento,2,1,2,3,0
1797,1,7,6,4,5,3,2,1764532,1,sacramento,2,2,1,4,0
1798,6,7,5,3,2,4,1,6753241,1,sacramento,3,1,5,4,0
1799,3,7,4,6,2,1,5,3746215,0,riverside,2,3,7,2,0
1800,7,1,2,3,4,6,5,7123465,0,sacramento,1,1,6,3,0
1801,6,7,5,3,4,2,1,6753421,0,sacramento,2,1,3,4,0
1802,1,7,6,5,4,3,2,1765432,0,orange,2,3,2,4,1
1803,1,7,6,4,5,2,3,1764523,1,orange,NA,NA,NA,NA,NA
1804,7,1,3,4,2,6,5,7134265,0,sacramento,NA,NA,NA,NA,NA
1805,3,7,6,5,4,2,1,3765421,1,los angeles,2,1,3,3,0
1806,7,2,1,5,3,6,4,7215364,0,sacramento,1,1,7,4,0
1807,7,6,5,3,4,2,1,7653421,0,sacramento,2,1,2,5,0
1808,7,6,5,3,4,2,1,7653421,1,sacramento,1,1,4,3,0
1809,5,7,6,4,3,1,2,5764312,1,sacramento,2,1,2,3,0
1810,2,3,6,7,5,1,4,2367514,0,riverside,3,1,NA,1,0
1811,NA,NA,NA,NA,NA,NA,NA,-------,1,riverside,3,1,NA,3,0
1812,6,7,5,3,4,2,1,6753421,1,sacramento,2,1,4,5,0
1813,7,6,3,5,1,4,2,7635142,1,sacramento,1,1,6,3,1
1814,4,7,5,2,1,6,3,4752163,0,sacramento,2,1,1,5,1
1815,1,7,6,5,3,4,2,1765342,1,sacramento,4,2,4,4,0
1816,1,7,6,4,5,3,2,1764532,0,riverside,1,1,5,5,0
1817,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
1818,6,7,5,3,4,2,1,6753421,0,sacramento,2,1,2,4,0
1819,1,7,6,3,5,2,4,1763524,1,sacramento,2,3,3,4,0
1820,3,6,7,4,2,1,5,3674215,1,sacramento,1,4,3,3,1
1821,7,6,5,2,3,1,4,7652314,1,sacramento,2,1,NA,2,0
