unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohfz,caza,q5,q7,q8,q10,q11,q12,q13,q15,q16a,q16b,q19b,q21,q22,q23,q24a,q24b,q24c,q24d,q25,q26,q27a,q27c,q27d,q27e,q44a,q44b,q44c,q44d,q45a,q45b,q45c,q45d,q46a,q46b,q46c,q46d,q47a,q47b,q47c,q47d,q48z,q49z,q50z,q51z
434,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,33,4,6,2,6,1,6,3,2011,1,1,5,3,4,4,4,4,1,5,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,40,1,7,2,7,1,6,11,2013,1,1,5,1,4,4,4,4,1,5,2,3,2,2,1,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,1,NA,NA,NA,NA,NA,1-----,1,4,401,1,34,1,7,2,7,1,6,11,2013,1,1,1,1,1,1,1,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
437,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,35,2,6,3,6,1,6,4,2013,1,1,5,3,1,1,1,4,1,5,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,45,1,8,2,8,1,6,4,2013,1,1,1,1,1,1,1,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
439,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,45,2,6,3,4,2,6,2,2013,1,1,5,1,1,1,1,4,2,4,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,24,3,6,2,4,1,6,2,2013,1,1,5,1,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
441,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,32,2,5,2,4,1,6,1,2014,1,1,2,1,2,2,3,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
442,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,30,1,5,2,7,2,6,5,2011,1,1,1,1,3,3,3,3,4,1,-98,3,-98,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,36,2,5,3,5,1,4,11,2013,1,1,5,3,3,3,3,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
444,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,37,2,10,2,6,1,4,4,2013,1,1,5,5,3,3,3,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
445,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,27,3,14,3,4,1,6,9,2011,1,1,5,3,1,1,1,4,4,1,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,NA,1,NA,NA,NA,NA,-1----,0,4,401,1,28,3,6,2,6,1,6,5,2011,1,1,5,3,4,4,4,4,1,5,2,3,2,2,1,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,24,2,8,2,6,1,6,2,2012,1,1,5,1,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
448,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,28,3,2,2,4,1,6,12,2011,1,1,1,1,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
449,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,32,3,8,4,10,2,6,12,2014,1,1,1,1,4,4,4,4,4,2,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
450,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,22,3,7,3,7,1,6,2,2013,1,1,5,3,4,4,4,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
451,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,26,3,8,2,8,1,6,2,2013,1,1,5,1,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
452,1,NA,2,NA,NA,NA,1-2---,2,4,401,0,32,1,10,4,8,2,6,8,2012,1,1,5,1,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
453,1,NA,NA,NA,NA,NA,1-----,1,4,401,1,35,4,6,2,6,1,6,2,2012,1,1,5,3,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
454,1,NA,NA,NA,NA,NA,1-----,1,4,401,1,27,2,4,2,3,1,6,8,2012,1,1,5,3,3,3,3,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
455,1,NA,2,NA,NA,NA,1-2---,3,4,401,1,20,3,11,4,8,2,6,8,2013,1,1,5,4,4,4,4,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
456,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,22,4,6,2,2,1,6,12,2013,1,1,5,3,1,1,1,4,4,3,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,35,2,5,2,5,1,6,12,2013,1,1,5,3,1,1,3,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
458,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,30,2,7,2,7,1,6,6,2012,1,1,5,3,3,3,3,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
459,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,25,2,5,2,7,2,6,2,2013,1,1,5,1,3,3,3,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
460,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,31,2,10,3,4,1,6,2,2013,1,1,5,3,1,1,3,4,4,1,-98,1,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
461,NA,1,NA,NA,NA,2,-1---2,2,4,401,0,20,3,7,5,7,3,6,9,2012,1,1,1,1,1,1,1,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
462,1,NA,NA,NA,NA,NA,1-----,1,4,401,1,24,2,2,2,3,1,11,4,2013,1,1,5,4,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
463,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,54,2,5,3,3,1,4,8,2013,1,1,5,1,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
464,1,NA,NA,NA,NA,NA,1-----,3,4,401,1,29,2,10,4,10,2,6,4,2013,1,1,5,3,3,3,3,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
465,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,40,2,9,2,10,2,7,1,2013,1,1,5,3,3,3,4,4,2,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
466,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,52,2,5,2,6,1,5,3,2013,1,1,5,3,3,3,3,4,2,4,2,3,-98,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,1,NA,NA,NA,NA,NA,1-----,1,4,401,1,28,2,4,2,6,2,5,11,2013,1,1,5,3,3,3,3,4,4,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
468,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,45,2,4,2,5,1,5,11,2013,1,1,5,3,2,2,2,4,2,2,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
469,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,36,2,8,2,10,2,6,3,2012,1,1,5,3,3,3,3,4,1,5,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,NA,1,NA,NA,NA,NA,-1----,3,2,203,1,27,2,3,2,7,2,10,1,2012,1,1,5,2,1,1,4,4,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
471,NA,1,NA,NA,NA,2,-1---2,3,2,203,1,60,1,8,3,8,2,13,3,2012,1,1,5,1,4,4,4,4,4,1,-98,-98,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
472,NA,1,NA,NA,NA,NA,-1----,3,2,203,0,30,3,4,3,2,1,12,6,2013,1,1,5,2,4,4,4,4,4,1,-98,2,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
