unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohfz,caza,q5,q7,q8,q10,q11,q12,q13,q15,q16a,q16b,q19b,q21,q22,q23,q24a,q24b,q24c,q24d,q25,q26,q27a,q27c,q27d,q27e,q44a,q44b,q44c,q44d,q45a,q45b,q45c,q45d,q46a,q46b,q46c,q46d,q47a,q47b,q47c,q47d,q48z,q49z,q50z,q51z
1,1,NA,2,NA,NA,NA,1-2---,0,4,403,0,22,2,2,2,2,2,6,6,2014,1,1,1,1,3,4,4,4,4,1,-98,-98,-98,-98,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,NA,2,NA,NA,NA,1-2---,0,4,403,0,25,2,8,4,4,2,6,2,2014,1,1,5,3,1,1,3,4,4,1,2,3,-98,1,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,47,1,9,3,8,2,6,7,2011,1,1,5,1,-98,-98,-98,4,4,2,2,1,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
4,1,NA,2,NA,NA,NA,1-2---,0,4,403,1,30,2,7,2,6,1,6,3,2012,1,1,5,5,4,4,4,4,2,4,2,1,-98,2,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,NA,2,NA,NA,NA,1-2---,2,4,401,0,30,2,5,3,5,2,6,6,2012,1,1,5,3,1,1,3,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,29,6,5,2,6,1,6,10,2011,1,1,5,3,1,1,1,4,1,5,2,3,2,2,1,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,35,4,3,1,4,0,6,6,2012,1,1,2,2,1,1,4,4,2,4,2,1,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
8,1,NA,NA,NA,NA,NA,1-----,1,4,401,1,25,4,4,2,10,3,6,12,2012,1,1,5,5,4,4,4,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,1,NA,NA,NA,NA
9,1,NA,NA,NA,NA,NA,1-----,3,4,401,1,24,3,6,2,4,0,6,5,2012,1,1,5,5,3,3,3,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
10,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,35,2,7,3,7,0,6,6,2013,1,1,1,1,1,1,1,3,2,4,2,3,3,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,36,5,5,2,5,0,6,2,2012,1,1,5,3,1,1,4,4,2,4,2,3,-98,2,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,1,NA,NA,NA,2,-1---2,1,4,401,1,31,3,9,4,6,0,6,5,2012,1,1,5,4,4,4,4,4,2,4,2,1,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,1,NA,NA,NA,NA
13,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,32,4,5,2,6,0,6,2,2013,1,1,5,5,4,4,4,4,2,2,2,1,2,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,NA,NA,NA,NA,NA,1-----,3,4,401,1,31,3,5,2,5,1,14,11,2012,1,1,5,5,4,4,4,4,3,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
15,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,45,2,6,3,5,1,6,2,2013,1,1,5,3,3,3,3,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
16,1,NA,2,NA,NA,NA,1-2---,3,4,401,0,32,2,2,3,12,3,6,6,2013,1,1,5,3,3,3,3,4,4,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
17,1,NA,2,NA,NA,NA,1-2---,3,4,401,1,25,2,2,3,7,3,6,5,2012,1,1,5,3,3,3,3,4,4,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
18,1,NA,2,NA,NA,NA,1-2---,2,4,401,0,30,1,3,4,9,3,6,3,2012,1,1,1,1,3,3,3,4,3,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
19,1,NA,2,NA,NA,NA,1-2---,0,4,401,1,27,6,2,3,3,2,6,7,2011,1,1,5,3,1,1,3,4,4,1,-98,3,2,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,NA,2,NA,NA,NA,1-2---,2,4,401,0,24,2,4,3,6,2,6,1,2012,1,1,5,3,3,4,4,4,3,1,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
21,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,27,2,2,2,3,2,6,2,2012,1,1,5,3,3,4,4,4,3,2,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,1,NA,NA,NA,NA
22,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,27,2,5,3,12,2,6,5,2013,1,1,5,3,2,2,3,4,4,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
23,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,36,2,7,2,8,1,6,8,2013,1,1,5,4,2,2,4,4,4,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
24,NA,NA,NA,NA,1,NA,----1-,3,4,401,0,27,6,3,2,3,2,6,1,2012,3,1,5,3,3,3,4,4,2,4,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
25,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,27,2,3,2,4,2,6,2,2013,1,1,5,3,3,3,4,4,4,1,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
26,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,27,2,3,2,4,2,6,3,2013,1,1,5,5,3,3,4,4,3,2,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,------,1,4,403,0,26,6,8,3,4,1,10,5,2011,1,1,5,3,1,1,3,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
28,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,33,2,5,2,5,0,6,5,2013,1,1,5,4,1,1,1,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
29,1,NA,2,NA,NA,NA,1-2---,3,4,403,1,24,2,10,4,4,1,10,12,2012,1,1,5,3,1,1,3,4,3,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
30,1,NA,NA,NA,NA,NA,1-----,1,4,403,1,31,2,8,3,8,2,11,5,2011,1,1,5,3,-98,-98,-98,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
31,1,NA,2,NA,NA,NA,1-2---,0,4,401,1,24,6,2,2,2,2,6,5,2012,1,1,5,3,2,2,3,4,4,1,2,3,-98,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,47,2,11,3,11,0,6,10,2013,1,1,5,4,2,2,2,4,2,2,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,NA,2,NA,NA,NA,1-2---,1,4,403,0,45,2,7,3,3,1,6,4,2011,1,1,5,3,3,3,3,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
34,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,35,2,5,2,5,1,6,12,2012,1,1,5,3,2,2,2,4,3,2,2,3,3,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,60,3,12,2,12,3,6,8,2012,1,1,5,3,1,1,1,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
36,1,NA,2,NA,NA,NA,1-2---,2,4,401,0,26,3,3,1,4,1,6,3,2013,1,1,5,4,4,4,4,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
37,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,30,2,5,2,5,1,6,5,2012,1,1,5,3,1,1,1,4,2,4,2,3,2,2,1,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,20,3,5,3,3,1,7,6,2013,1,1,5,4,3,3,3,4,4,1,2,1,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
39,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,30,3,5,2,5,1,6,8,2012,1,1,5,5,1,1,1,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
40,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,60,4,5,2,3,1,6,3,2011,1,1,5,4,4,4,4,4,2,2,2,3,-98,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,------,3,4,401,1,54,2,4,3,2,1,6,3,2013,1,1,5,4,1,1,1,4,3,2,1,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
42,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,54,4,6,2,8,3,6,5,2013,1,1,5,4,1,1,1,4,2,4,2,3,-98,2,1,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,63,6,3,2,3,0,6,11,2012,1,1,5,3,4,4,4,4,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,NA,NA,NA,NA
44,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,40,6,6,3,6,2,6,5,2013,1,1,5,4,1,1,2,4,4,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
45,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,27,2,7,3,6,3,6,5,2013,1,1,5,3,1,1,3,4,4,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
46,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,40,6,5,2,5,3,7,7,2011,1,1,5,3,1,1,1,4,2,4,2,3,-98,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,NA,2,NA,NA,NA,1-2---,3,4,401,0,33,2,6,3,7,1,6,2,2012,1,1,1,1,3,3,3,4,3,4,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
48,1,NA,NA,NA,NA,NA,1-----,2,4,401,1,47,2,7,2,7,1,6,5,2013,1,1,5,5,3,3,3,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
49,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,42,2,10,2,6,2,6,4,2014,1,1,5,3,1,1,3,4,2,4,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,NA,NA,NA,NA,NA,1-----,1,4,401,1,27,2,14,4,11,2,6,5,2012,1,1,5,3,2,2,4,4,4,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
51,NA,1,NA,NA,NA,NA,-1----,2,4,401,0,29,2,2,3,2,2,6,3,2011,1,1,1,1,3,3,3,4,4,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
52,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,42,1,2,3,2,2,6,3,2011,1,1,1,1,1,1,1,4,2,2,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,44,2,2,3,3,2,6,10,2012,1,1,5,3,3,3,3,4,4,1,2,3,2,1,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,NA,2,NA,NA,NA,1-2---,2,4,401,0,23,2,2,3,2,2,6,5,2012,1,1,1,1,3,3,3,4,4,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
55,1,NA,2,NA,NA,NA,1-2---,3,4,401,1,25,2,2,3,2,2,6,3,2013,1,1,1,1,3,3,3,4,4,1,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
56,1,NA,2,NA,NA,NA,1-2---,0,4,401,1,40,1,2,3,3,2,6,6,2011,1,1,1,1,3,3,3,4,4,1,2,3,-98,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,NA,2,NA,NA,NA,1-2---,2,4,401,1,25,2,2,3,2,2,6,7,2011,1,1,1,1,3,3,3,4,4,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
58,NA,1,NA,NA,NA,NA,-1----,0,4,401,0,35,2,2,3,2,2,6,6,2011,1,1,5,1,3,3,4,4,4,1,2,3,-98,1,1,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1,NA,2,NA,NA,NA,1-2---,3,4,401,0,28,5,3,4,4,3,6,11,2012,1,1,5,3,3,3,3,4,4,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
60,NA,1,NA,NA,NA,NA,-1----,1,4,401,1,40,1,2,3,2,2,6,5,2013,1,1,1,1,3,3,4,4,4,1,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,1,NA,NA,NA,NA
61,1,NA,NA,NA,NA,NA,1-----,1,4,403,0,35,3,4,3,5,1,5,9,2012,1,1,5,3,1,1,1,4,1,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,NA,NA,NA,NA
62,1,NA,NA,NA,NA,NA,1-----,2,4,403,0,25,2,8,3,5,1,6,1,2013,1,1,5,1,1,1,1,4,2,4,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
63,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,39,2,4,2,4,1,6,11,2013,1,1,5,1,3,3,3,4,2,4,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,35,2,7,3,7,0,6,7,2012,1,1,5,4,2,2,2,4,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,NA,NA,NA,NA
65,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,40,2,8,2,6,0,6,12,2013,1,1,5,4,1,1,1,4,2,2,2,3,-98,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,36,1,12,4,6,0,6,2,2013,1,1,5,1,4,4,4,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
67,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,37,1,5,2,6,0,1,12,2014,1,1,5,1,3,3,3,4,2,2,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,50,2,10,3,6,0,6,3,2011,1,1,5,3,1,1,1,4,4,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
69,NA,NA,NA,NA,1,NA,----1-,1,4,403,0,32,1,8,2,12,2,6,5,2012,3,1,1,1,1,1,3,4,4,2,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,0,NA,NA,NA,NA
70,1,NA,2,NA,NA,NA,1-2---,2,4,403,0,26,2,7,2,8,2,10,5,2012,1,1,5,1,2,2,3,4,4,2,2,1,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
71,NA,NA,NA,NA,NA,NA,------,2,4,401,1,35,1,8,2,10,2,6,7,2012,1,1,1,1,1,1,1,4,4,3,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
72,1,NA,2,NA,NA,NA,1-2---,3,4,401,1,43,2,11,3,4,1,6,11,2011,1,1,5,3,1,1,1,4,4,1,-98,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
73,1,NA,NA,NA,NA,NA,1-----,3,4,403,1,54,1,5,3,3,1,6,3,2011,1,1,5,1,1,1,1,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
74,1,NA,NA,NA,NA,NA,1-----,3,4,403,0,63,2,7,3,4,1,6,10,2011,1,1,5,3,1,1,1,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
75,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,39,2,7,2,6,1,6,3,2012,1,1,5,3,1,1,1,4,2,4,2,3,-98,2,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,NA,2,NA,NA,NA,1-2---,3,4,401,0,28,2,5,2,7,1,6,5,2012,1,1,5,3,1,1,3,4,3,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
77,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,38,2,8,3,5,1,6,7,2014,1,1,5,3,1,1,3,4,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,NA,NA,NA,NA
78,1,NA,NA,NA,NA,NA,1-----,2,4,401,1,36,2,6,2,6,0,6,4,2013,1,1,5,4,3,3,3,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
79,1,NA,NA,NA,NA,NA,1-----,2,4,401,0,47,2,8,4,6,2,6,1,2013,1,1,5,3,2,2,2,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
80,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,25,5,8,3,7,3,6,12,2013,1,1,5,3,4,4,4,4,2,4,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1,NA,NA,NA,NA,NA,1-----,3,4,401,1,30,4,6,2,7,3,6,8,2012,1,1,5,3,2,2,2,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
82,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,24,6,6,2,6,2,6,4,2013,1,1,5,3,1,1,1,4,2,4,2,3,3,2,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1,NA,NA,NA,NA,NA,1-----,1,4,401,0,22,4,8,3,6,2,7,8,2012,1,1,5,1,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
84,1,NA,2,NA,NA,NA,1-2---,3,4,401,1,35,2,14,3,11,2,6,5,2012,1,1,5,4,2,2,3,4,2,2,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
85,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,47,8,6,2,6,2,6,5,2013,1,1,5,3,1,1,1,4,2,4,2,3,2,2,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1,NA,2,NA,NA,NA,1-2---,2,4,401,1,35,6,9,3,8,2,6,5,2014,1,1,5,5,2,2,3,4,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
87,1,NA,2,NA,NA,NA,1-2---,3,4,401,1,29,2,10,2,5,1,5,8,2014,1,1,5,5,4,4,4,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
88,1,NA,2,NA,NA,NA,1-2---,2,4,401,1,25,1,10,4,5,1,10,4,2012,1,1,5,1,1,1,1,3,4,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
89,NA,NA,NA,NA,NA,NA,------,1,4,401,0,57,5,5,2,2,1,6,11,2014,1,1,5,3,1,1,1,4,3,3,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
90,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,55,2,9,3,8,2,6,7,2012,1,1,5,3,4,4,4,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
91,1,NA,2,NA,NA,NA,1-2---,0,4,401,1,28,2,7,3,8,3,6,5,2012,1,1,5,3,1,1,4,4,4,1,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,NA,2,NA,NA,NA,1-2---,3,4,401,1,45,2,8,4,6,2,6,2,2013,1,1,5,3,1,1,3,4,4,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
93,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,58,6,7,2,3,2,6,5,2012,1,1,5,3,1,1,1,4,4,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
94,1,NA,NA,NA,NA,NA,1-----,2,4,401,1,60,2,6,2,6,2,11,8,2013,1,1,5,3,1,1,1,4,3,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
95,1,NA,2,NA,NA,NA,1-2---,3,4,401,1,25,1,6,2,6,1,11,12,2014,1,1,5,1,1,1,1,4,3,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
96,NA,1,NA,NA,3,2,-1--32,2,1,101,0,27,3,13,5,3,1,14,3,2011,2,1,5,3,1,1,1,4,4,1,2,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
97,NA,1,NA,NA,NA,2,-1---2,0,1,101,1,49,2,7,3,10,2,10,3,2011,1,3,5,1,4,4,4,4,2,2,2,3,-98,2,1,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,1,NA,NA,3,2,-1--32,1,1,101,0,25,2,12,4,9,1,13,1,2012,1,1,1,1,4,4,4,4,4,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA
99,NA,1,NA,NA,NA,2,-1---2,1,1,101,0,21,5,10,4,5,1,14,2,2013,1,1,5,1,1,1,4,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,1,NA,NA,NA,NA
100,NA,1,NA,NA,3,2,-1--32,0,1,101,1,28,2,5,2,6,1,11,4,2011,1,1,5,3,4,4,4,4,1,4,2,3,2,2,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,1,NA,NA,NA,2,-1---2,3,1,101,0,22,2,12,3,2,1,13,1,2012,1,1,1,1,4,4,4,4,3,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
102,NA,1,NA,NA,2,NA,-1--2-,2,1,101,1,22,1,10,3,2,1,14,5,2013,3,1,1,1,1,1,4,4,1,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
103,NA,1,NA,NA,NA,2,-1---2,1,1,101,1,40,2,8,2,8,1,10,12,2012,1,1,5,3,4,4,4,4,1,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,1,NA,NA,NA,NA
