unit,clark,officers,hahn,steinberg,schubert,brown,senators,ranking,treat,county,partyid,race,ideo_rating,education,work_for_law
2705,1,7,6,4,5,3,2,1764532,0,riverside,1,1,5,5,0
2706,NA,NA,NA,NA,NA,NA,NA,-------,2,riverside,NA,NA,NA,NA,NA
2707,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
2708,1,7,5,4,6,3,2,1754632,2,riverside,2,2,4,2,0
2709,6,7,5,3,4,2,1,6753421,0,sacramento,2,1,2,4,0
2710,1,7,6,3,5,2,4,1763524,1,sacramento,2,3,3,4,0
2711,3,6,7,4,2,1,5,3674215,1,sacramento,1,4,3,3,1
2712,3,7,6,4,1,5,2,3764152,2,sacramento,3,2,4,3,0
2713,7,6,5,2,3,1,4,7652314,1,sacramento,2,1,NA,2,0
2714,6,7,4,5,3,2,1,6745321,2,riverside,2,1,3,3,0
2715,7,1,6,5,3,2,4,7165324,2,riverside,2,1,6,3,0
2716,6,7,5,3,4,2,1,6753421,2,sacramento,2,1,2,3,0
2717,1,6,7,5,3,2,4,1675324,0,sacramento,2,1,4,3,0
2718,1,7,5,2,3,6,4,1752364,2,los angeles,1,1,7,3,0
2719,3,7,6,5,4,1,2,3765412,2,los angeles,3,3,3,2,1
2720,NA,NA,NA,NA,NA,NA,NA,-------,0,sacramento,NA,NA,NA,NA,NA
2721,7,6,5,3,4,2,1,7653421,2,orange,4,1,4,3,0
2722,7,6,5,3,4,2,1,7653421,1,sacramento,2,1,3,2,0
2723,NA,NA,NA,NA,NA,NA,NA,-------,1,los angeles,NA,NA,NA,NA,NA
2724,1,7,6,2,5,3,4,1762534,1,orange,1,1,NA,3,0
2725,6,7,5,2,4,1,3,6752413,0,los angeles,2,3,5,3,0
2726,7,6,5,3,4,1,2,7653412,1,los angeles,NA,NA,NA,NA,NA
2727,7,1,3,6,2,4,5,7136245,2,sacramento,3,1,6,4,0
2728,1,7,6,4,3,5,2,1764352,2,riverside,2,3,3,2,0
2729,7,6,5,3,4,2,1,7653421,0,sacramento,4,1,NA,3,0
2730,1,2,6,7,3,5,4,1267354,0,orange,2,2,1,3,1
2731,1,7,6,3,5,2,4,1763524,2,orange,4,3,5,2,0
2732,1,2,3,7,5,4,6,1237546,0,sacramento,4,1,NA,3,0
2733,7,6,5,3,4,2,1,7653421,0,sacramento,NA,NA,NA,NA,NA
2734,NA,NA,NA,NA,NA,NA,NA,-------,0,sacramento,NA,NA,NA,NA,NA
2735,3,2,1,4,5,6,7,3214567,0,orange,1,1,4,3,0
2736,3,4,5,2,7,1,6,3452716,1,los angeles,1,4,6,3,0
2737,1,7,6,4,5,3,2,1764532,0,riverside,2,1,2,4,0
2738,7,6,3,5,1,4,2,7635142,0,sacramento,1,1,6,4,0
2739,7,6,3,2,1,5,4,7632154,1,sacramento,2,3,3,3,0
2740,1,7,6,5,4,3,2,1765432,1,los angeles,2,3,2,4,0
2741,NA,NA,NA,NA,NA,NA,NA,-------,2,sacramento,2,2,3,3,0
2742,6,7,5,3,2,4,1,6753241,1,orange,1,3,4,3,1
2743,1,7,6,4,5,3,2,1764532,0,riverside,2,1,1,5,0
2744,1,7,6,5,4,2,3,1765423,2,orange,2,1,3,4,0
2745,1,2,6,3,5,4,7,1263547,1,sacramento,1,2,5,5,0
2746,NA,NA,NA,NA,NA,NA,NA,-------,0,sacramento,3,4,NA,4,0
2747,1,7,6,4,5,2,3,1764523,0,sacramento,4,2,NA,4,0
2748,7,1,2,3,5,6,4,7123564,2,sacramento,1,1,NA,3,0
2749,1,7,6,4,5,3,2,1764532,2,sacramento,2,3,4,4,0
2750,7,6,5,1,4,3,2,7651432,1,orange,2,1,4,5,1
2751,6,7,5,3,4,2,1,6753421,0,riverside,2,1,4,2,0
2752,1,7,6,5,2,3,4,1765234,2,orange,3,1,NA,4,0
2753,7,6,5,2,4,1,3,7652413,2,orange,3,4,NA,3,0
2754,6,7,5,4,3,1,2,6754312,0,orange,1,1,7,4,0
2755,7,6,5,3,4,2,1,7653421,1,sacramento,2,1,NA,3,0
2756,NA,NA,NA,NA,NA,NA,NA,-------,0,sacramento,NA,NA,NA,NA,NA
2757,1,7,6,4,5,3,2,1764532,1,orange,4,3,4,3,0
2758,6,7,5,4,3,2,1,6754321,0,los angeles,1,1,4,4,0
