unit,authority,community,econequality,freedom,freeenterprise,property,socialequality,socialhierarchy,unity,ranking,treat,party
137,6,3,9,1,2,4,7,5,8,639124758,0,1
138,6,3,8,1,2,4,7,9,5,638124795,1,1
139,6,4,9,1,2,5,3,7,8,649125378,0,1
140,8,4,9,1,2,3,5,6,7,849123567,1,1
141,3,1,9,7,8,4,2,5,6,319784256,0,1
142,8,1,9,2,4,5,3,6,7,819245367,1,1
143,4,7,9,3,1,2,5,8,6,479312586,0,1
144,5,2,9,1,6,3,8,4,7,529163847,0,1
145,8,1,9,2,6,3,4,5,7,819263457,1,1
146,9,5,8,1,2,3,7,6,4,958123764,0,1
147,7,6,9,1,2,3,4,5,8,769123458,1,1
148,4,3,9,1,2,5,8,7,6,439125876,0,1
149,5,4,9,1,2,3,8,7,6,549123876,1,1
150,2,5,7,1,4,3,8,6,9,257143869,0,1
