unit,tribe,nationality,religion,gender,ranking,treat,age,female,completed_elementary,completed_hs,catholic,evangelical
673,3,4,1,2,3412,1,40,0,0,0,0,0
674,2,3,1,4,2314,1,30,0,0,0,0,0
675,3,1,2,4,3124,1,60,0,0,0,0,0
676,1,2,4,3,1243,0,38,0,0,0,1,0
677,1,3,4,2,1342,0,72,1,0,0,0,0
678,1,4,2,3,1423,1,37,0,0,0,0,0
679,1,2,3,4,1234,1,36,1,0,0,0,0
680,2,3,1,4,2314,1,39,0,1,0,1,0
681,4,3,2,1,4321,0,47,0,0,0,0,0
682,1,3,2,4,1324,1,66,1,0,0,0,0
683,1,3,2,4,1324,1,54,1,0,0,0,1
684,1,3,2,4,1324,0,28,1,0,0,0,1
685,1,3,2,4,1324,0,49,1,0,0,1,0
686,2,3,1,4,2314,1,-99,1,0,0,1,0
687,1,3,2,4,1324,1,51,1,0,0,0,0
688,2,4,3,1,2431,1,39,1,0,0,1,0
689,1,3,2,4,1324,0,23,1,0,0,0,1
690,1,2,3,4,1234,0,63,0,0,0,0,0
691,1,3,2,4,1324,1,64,0,0,0,1,0
692,1,3,2,4,1324,1,28,0,0,0,0,0
693,2,3,1,4,2314,0,33,1,1,1,0,0
694,1,2,4,3,1243,1,70,1,0,0,0,0
695,1,3,2,4,1324,1,31,0,0,0,0,0
696,2,3,1,4,2314,1,66,0,0,0,0,1
697,1,3,2,4,1324,0,54,0,0,0,1,0
698,1,2,3,4,1234,1,45,0,0,0,0,0
699,1,3,2,4,1324,0,53,0,1,0,0,0
700,2,3,4,1,2341,0,22,1,1,0,0,0
701,1,4,2,3,1423,1,48,0,0,0,0,0
702,1,2,4,3,1243,1,50,1,0,0,0,0
703,1,3,4,2,1342,1,75,0,0,0,0,0
704,1,2,4,3,1243,1,48,0,0,0,0,0
705,1,3,2,4,1324,1,22,1,0,0,0,0
706,3,4,2,1,3421,1,32,0,0,0,0,0
707,1,3,4,2,1342,1,38,1,0,0,0,0
708,1,2,4,3,1243,1,66,1,0,0,0,0
709,1,2,3,4,1234,1,40,0,0,0,0,0
710,1,3,4,2,1342,1,62,0,0,0,0,0
711,2,1,4,3,2143,1,75,0,0,0,0,0
712,4,2,1,3,4213,0,64,0,0,0,0,0
713,1,3,2,4,1324,1,64,1,0,0,1,0
714,1,2,4,3,1243,1,45,1,1,0,0,0
715,1,3,2,4,1324,1,76,0,0,0,1,0
716,3,2,4,1,3241,1,26,1,1,0,1,0
717,2,3,1,4,2314,1,53,0,0,0,0,0
718,2,3,1,4,2314,0,46,0,0,0,0,0
719,1,3,2,4,1324,0,29,1,0,0,0,1
720,1,3,2,4,1324,0,65,1,0,0,0,1
