unit,tribe,nationality,religion,gender,ranking,treat,age,female,completed_elementary,completed_hs,catholic,evangelical
287,1,4,3,2,1432,0,30,1,1,1,0,0
288,1,4,2,3,1423,0,40,1,1,0,1,0
289,2,4,1,3,2413,1,31,1,0,0,1,0
290,1,3,2,4,1324,0,38,1,0,0,0,0
291,2,3,1,4,2314,0,49,0,0,0,0,1
292,2,3,1,4,2314,0,40,1,0,0,1,0
293,2,4,1,3,2413,0,45,0,0,0,1,0
294,3,4,1,2,3412,1,28,0,0,0,0,1
295,3,1,2,4,3124,1,26,1,0,0,1,0
296,1,2,3,4,1234,0,63,0,0,0,1,0
297,2,4,1,3,2413,1,30,1,1,0,0,1
298,2,3,1,4,2314,1,60,0,0,0,0,1
299,4,2,1,3,4213,0,18,0,0,0,0,1
300,2,4,1,3,2413,1,26,0,1,0,0,1
301,2,4,3,1,2431,1,19,0,0,0,0,1
302,2,4,3,1,2431,0,23,0,1,0,0,1
303,4,2,1,3,4213,1,28,1,1,1,0,1
304,3,2,1,4,3214,1,24,0,0,0,0,1
305,2,4,1,3,2413,0,22,1,0,0,0,1
306,1,2,4,3,1243,0,33,0,0,0,0,1
307,4,2,1,3,4213,1,28,0,0,0,0,1
308,2,1,3,4,2134,0,34,0,1,0,1,0
309,2,3,1,4,2314,0,75,0,0,0,0,0
310,2,3,1,4,2314,1,53,0,0,0,0,0
311,3,2,1,4,3214,1,32,1,1,0,1,0
312,2,4,1,3,2413,1,23,1,1,0,0,1
313,3,2,1,4,3214,1,27,1,0,0,0,0
314,3,2,1,4,3214,0,60,1,0,0,0,1
315,1,3,2,4,1324,1,25,1,1,1,1,0
316,4,3,2,1,4321,0,28,1,1,0,1,0
317,4,1,2,3,4123,1,41,1,0,0,0,0
318,3,2,1,4,3214,1,30,1,1,1,0,0
319,2,3,1,4,2314,1,18,1,1,0,0,0
320,3,2,1,4,3214,0,26,1,1,0,0,0
321,2,3,1,4,2314,0,35,0,1,0,1,0
322,1,3,2,4,1324,1,34,0,0,0,1,0
323,2,1,3,4,2134,0,36,0,0,0,0,0
324,4,3,2,1,4321,1,21,0,0,0,0,0
325,3,4,1,2,3412,1,18,0,1,1,0,0
326,2,4,1,3,2413,1,62,0,0,0,0,0
327,3,4,2,1,3421,0,20,0,0,0,0,0
328,4,3,1,2,4312,1,30,0,0,0,0,0
329,2,4,1,3,2413,0,33,0,0,0,0,0
330,3,4,2,1,3421,0,38,0,0,0,0,0
331,1,4,3,2,1432,1,29,0,0,0,0,0
332,2,3,1,4,2314,0,49,0,0,0,0,1
333,3,2,1,4,3214,1,46,0,0,0,0,1
334,3,4,1,2,3412,0,38,0,0,0,0,1
335,2,3,1,4,2314,1,43,0,0,0,0,1
336,2,4,1,3,2413,1,47,0,0,0,0,1
337,2,4,1,3,2413,1,26,0,0,0,0,1
338,4,3,2,1,4321,1,34,0,0,0,0,1
339,3,4,2,1,3421,1,26,0,1,0,0,1
340,1,4,2,3,1423,0,35,0,0,0,0,1
341,4,2,1,3,4213,0,50,0,0,0,0,1
342,2,4,3,1,2431,1,33,1,1,1,1,0
343,2,4,1,3,2413,1,56,0,1,1,1,0
344,3,4,2,1,3421,0,52,1,0,0,1,0
345,1,3,2,4,1324,0,27,1,1,1,1,0
346,1,3,2,4,1324,1,22,1,1,0,1,0
347,1,2,3,4,1234,1,24,1,1,1,0,0
348,2,3,1,4,2314,1,35,1,1,1,1,0
349,3,2,4,1,3241,1,39,1,1,1,1,0
350,4,3,2,1,4321,0,28,1,1,1,1,0
351,3,2,1,4,3214,0,38,1,1,0,1,0
352,1,3,2,4,1324,0,23,0,0,0,1,0
353,4,2,3,1,4231,0,29,1,1,0,1,0
354,1,2,4,3,1243,1,30,0,1,0,1,0
355,2,3,1,4,2314,1,18,1,1,0,1,0
356,2,3,1,4,2314,1,36,1,1,1,1,0
357,3,4,2,1,3421,1,35,0,1,1,1,0
358,2,1,3,4,2134,0,19,1,1,1,0,0
359,3,1,2,4,3124,1,33,0,1,0,1,0
360,2,4,3,1,2431,0,25,1,1,1,1,0
361,1,3,4,2,1342,0,51,0,0,0,1,0
362,2,4,3,1,2431,1,29,0,0,0,1,0
363,3,2,1,4,3214,1,36,1,1,1,0,0
364,2,1,3,4,2134,1,20,1,1,0,1,0
365,2,4,3,1,2431,1,22,1,1,0,1,0
366,3,4,2,1,3421,0,31,1,1,0,1,0
367,2,4,3,1,2431,1,20,1,1,0,1,0
368,2,3,1,4,2314,0,39,1,1,0,1,0
369,1,2,3,4,1234,1,54,1,0,0,1,0
370,4,1,2,3,4123,1,31,0,1,1,1,0
371,1,3,2,4,1324,0,64,0,0,0,1,0
372,1,4,2,3,1423,1,34,1,1,1,1,0
373,3,2,1,4,3214,0,28,1,1,1,1,0
374,4,2,1,3,4213,1,37,1,1,1,1,0
375,3,2,1,4,3214,1,27,1,1,1,1,0
376,2,1,3,4,2134,1,38,1,1,0,1,0
377,3,1,2,4,3124,1,32,1,1,1,1,0
378,1,4,2,3,1423,1,55,0,0,0,1,0
379,3,4,2,1,3421,0,43,1,0,0,1,0
380,3,4,2,1,3421,0,48,1,0,0,1,0
381,4,3,2,1,4321,0,41,1,1,1,1,0
382,2,4,3,1,2431,1,37,1,1,1,1,0
383,2,4,1,3,2413,1,40,1,1,1,1,0
384,3,2,1,4,3214,1,45,1,0,0,1,0
385,3,1,2,4,3124,1,52,1,1,0,1,0
386,3,2,1,4,3214,1,40,0,0,0,0,0
387,2,4,1,3,2413,1,38,1,0,0,0,0
388,2,3,1,4,2314,0,46,1,0,0,0,1
389,3,2,1,4,3214,1,28,0,0,0,0,0
390,2,1,3,4,2134,0,44,0,0,0,0,1
391,2,1,3,4,2134,1,45,1,0,0,0,1
392,1,2,4,3,1243,1,21,1,1,1,0,0
393,4,1,3,2,4132,1,24,1,0,0,1,0
394,3,4,2,1,3421,1,28,0,0,0,0,1
395,3,4,1,2,3412,1,31,0,0,0,0,0
396,1,2,3,4,1234,0,34,0,0,0,0,0
397,2,4,1,3,2413,0,40,0,0,0,1,0
398,3,1,2,4,3124,1,85,0,0,0,0,0
399,2,4,1,3,2413,0,41,0,1,0,0,0
400,2,1,3,4,2134,1,40,1,0,0,0,1
401,3,2,1,4,3214,0,75,0,1,0,0,1
402,2,3,1,4,2314,1,67,1,0,0,0,1
403,3,2,1,4,3214,0,69,0,1,1,0,1
404,1,4,3,2,1432,0,64,1,0,0,0,0
405,3,2,1,4,3214,1,29,1,1,0,0,0
406,2,3,1,4,2314,0,47,1,0,0,0,0
407,4,2,1,3,4213,1,36,1,0,0,0,1
408,2,3,1,4,2314,1,49,1,0,0,0,0
409,3,1,4,2,3142,1,45,0,1,1,0,0
410,3,4,1,2,3412,1,58,1,0,0,0,0
411,3,2,1,4,3214,1,20,1,1,1,1,0
412,2,1,3,4,2134,0,36,0,0,0,1,0
413,2,3,1,4,2314,0,36,0,1,0,1,0
414,2,3,1,4,2314,1,35,0,0,0,0,1
415,1,3,2,4,1324,1,44,1,0,0,0,0
416,1,3,4,2,1342,1,29,1,1,0,1,0
417,1,3,2,4,1324,1,45,1,0,0,1,0
418,3,1,2,4,3124,1,58,1,0,0,1,0
419,3,4,2,1,3421,0,30,1,1,1,1,0
420,1,3,2,4,1324,1,25,1,0,0,1,0
421,1,3,2,4,1324,0,33,1,0,0,1,0
422,3,2,1,4,3214,1,20,1,1,1,1,0
423,2,3,1,4,2314,1,55,0,0,0,1,0
424,1,4,2,3,1423,1,39,1,0,0,0,1
425,2,3,1,4,2314,1,21,0,1,0,1,0
426,3,4,2,1,3421,0,59,0,0,0,1,0
427,1,3,2,4,1324,1,31,1,1,0,1,0
428,2,3,1,4,2314,1,39,0,1,1,0,1
429,2,3,1,4,2314,1,34,0,1,0,1,0
430,4,3,1,2,4312,1,66,1,0,0,1,0
431,4,2,1,3,4213,1,49,0,0,0,1,0
432,1,3,2,4,1324,0,41,0,1,1,1,0
433,2,4,1,3,2413,1,26,1,1,1,1,0
434,1,4,3,2,1432,1,39,0,1,1,1,0
435,3,4,1,2,3412,1,44,0,1,1,1,0
436,4,2,1,3,4213,0,30,1,1,0,0,1
437,4,3,2,1,4321,0,50,1,0,0,0,0
438,1,3,2,4,1324,1,30,1,1,1,0,1
439,2,1,3,4,2134,1,32,0,1,1,0,1
440,2,3,4,1,2341,0,29,1,0,0,0,1
441,2,4,1,3,2413,0,43,0,0,0,0,0
442,2,4,3,1,2431,1,28,1,0,0,0,1
443,2,1,3,4,2134,1,37,1,1,0,0,1
444,1,2,3,4,1234,0,59,0,0,0,0,1
445,2,3,1,4,2314,1,26,0,1,1,0,1
446,3,1,2,4,3124,1,23,1,1,0,1,0
447,3,1,4,2,3142,1,83,0,1,1,1,0
448,3,1,4,2,3142,0,83,0,1,1,1,0
449,3,1,2,4,3124,1,83,1,1,1,1,0
450,3,1,4,2,3142,0,83,0,1,1,1,0
451,1,4,2,3,1423,1,37,1,0,0,1,0
452,3,2,1,4,3214,1,52,1,0,0,1,0
453,3,2,1,4,3214,1,32,1,1,1,0,0
454,1,4,2,3,1423,0,49,1,0,0,1,0
455,1,3,2,4,1324,1,58,1,0,0,1,0
456,1,3,2,4,1324,1,74,1,0,0,0,0
457,1,2,4,3,1243,1,54,1,0,0,0,0
