unit,id,treat,ch_civil,ch_uncivil,ch_intolerant,ch_threatening,treatment,uncivil,intolerant,threatening,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
57,57,1,4,2,1,3,control,89,90,27,Independent,intolerant,Other,Born 1991 or later,White,High school graduate,Every day  ,96,100,Independent
58,58,1,4,2,1,3,control,90,100,35,Independent,intolerant,Female,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,75,100,Independent
59,59,0,4,1,3,2,non-group-related control,62,80,81,Republican,uncivil,Male,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),At least once a week but not every day  ,100,93,Leaning Republican
60,60,0,1,4,3,2,non-group-related control,0,0,0,Democrat,civil,Male,Born 1959-1974,White,College,Every day  ,0,0,Democrat
61,61,1,3,1,2,4,control,68,76,0,Democrat,uncivil,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day  ,37,55,Democrat
62,62,0,1,3,2,4,non-group-related control,0,2,0,Republican,civil,Female,Born 1959-1974,White,High school graduate,Every day  ,0,0,Republican
63,63,0,1,3,2,4,non-group-related control,0,0,0,Republican,civil,Male,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),At least once a week but not every day  ,7,3,Leaning Republican
64,64,1,1,2,3,4,control,63,70,0,Republican,civil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,0,0,Republican
65,65,0,1,3,2,4,non-group-related control,23,12,11,Democrat,civil,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,0,0,Democrat
66,66,1,4,2,1,3,control,100,98,58,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,90,99,Democrat
67,67,1,3,2,1,4,control,80,90,15,Independent,intolerant,Female,Born 1991 or later,White,College,Every day  ,70,100,Independent
68,68,0,1,3,2,4,non-group-related control,0,11,0,Democrat,civil,Male,Born 1991 or later,White,PhD,Every day  ,4,17,Democrat
69,69,1,4,1,2,3,control,75,76,11,Democrat,uncivil,Male,Born 1975-1990,White,College,At least once a week but not every day  ,72,73,Strong Democrat
70,70,0,1,3,2,4,non-group-related control,9,20,0,Republican,civil,Female,Born 1975-1990,White,Professional degree,Every day  ,100,100,Leaning Republican
71,71,0,1,2,3,4,non-group-related control,30,17,0,Independent,civil,Male,Born 1959-1974,White,Postgraduate (e.g. Masters),At least once a week but not every day  ,40,10,Independent
72,72,0,1,3,2,4,non-group-related control,0,0,0,Democrat,civil,Female,Born 1975-1990,White,Professional degree,Every day  ,0,0,Strong Democrat
73,73,1,2,3,1,4,control,14,88,2,Republican,intolerant,Male,Born 1975-1990,White,College,Every day  ,54,56,Leaning Republican
74,74,1,4,2,1,3,control,68,67,49,Independent,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,51,52,Independent
75,75,0,1,3,2,4,non-group-related control,2,6,0,Democrat,civil,Female,Born 1959-1974,White,College,Every day  ,0,1,Democrat
76,76,0,1,3,2,4,non-group-related control,0,0,0,Democrat,civil,Female,Born 1959-1974,White,College,Every day  ,0,0,Strong Democrat
77,77,1,4,2,1,3,control,100,10,19,Republican,intolerant,Male,Born 1975-1990,White,College,At least once a week but not every day  ,8,16,Leaning Republican
78,78,1,4,2,1,3,control,74,100,15,Democrat,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,5,29,Leaning Democrat
79,79,0,1,2,3,4,non-group-related control,17,0,0,Democrat,civil,Female,Born 1975-1990,White,High school graduate,Every day  ,0,2,Leaning Democrat
80,80,0,1,4,2,3,non-group-related control,0,30,0,Independent,civil,Female,Born 1991 or later,White,High school graduate,Every day  ,0,0,Independent
81,81,1,1,3,2,4,control,30,34,6,Republican,civil,Male,Born 1991 or later,White,College,Every day  ,20,9,Leaning Republican
82,82,0,1,2,3,4,non-group-related control,0,10,0,Independent,civil,Female,Born 1959-1974,White,High school graduate,Every day  ,0,0,Independent
83,83,1,1,2,3,4,control,28,41,5,Independent,civil,Male,Born 1975-1990,Black,High school graduate,Every day  ,9,1,Independent
84,84,1,4,2,1,3,control,100,100,20,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,60,70,Leaning Democrat
85,85,0,1,3,2,4,non-group-related control,0,88,0,Independent,civil,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,0,38,Independent
86,86,1,3,2,1,4,control,75,100,0,Democrat,intolerant,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),At least once a week but not every day  ,0,20,Democrat
87,87,1,4,2,1,3,control,72,86,52,Republican,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,76,79,Leaning Republican
88,88,1,4,2,1,3,control,100,100,82,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,59,86,Strong Democrat
89,89,0,1,2,3,4,non-group-related control,0,0,0,Republican,civil,Female,Born 1975-1990,White,High school graduate,Every day  ,0,0,Leaning Republican
90,90,0,1,3,2,4,non-group-related control,0,10,0,Democrat,civil,Female,Born 1975-1990,Hispanic,College,Every day  ,0,0,Strong Democrat
91,91,1,3,2,1,4,control,90,100,3,Independent,intolerant,Other,Born 1991 or later,White,"High school graduate,College",Every day  ,72,88,Independent
92,92,0,1,2,4,3,non-group-related control,10,10,10,Independent,civil,Male,Born 1959-1974,Black,Professional degree,Every day  ,5,4,Independent
93,93,1,1,2,3,4,control,44,0,0,Republican,civil,Female,Born 1975-1990,White,College,Every day  ,44,34,Republican
94,94,1,1,2,3,4,control,0,0,0,Republican,civil,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,0,0,Leaning Republican
95,95,0,1,2,3,4,non-group-related control,0,0,0,Republican,civil,Male,Born 1975-1990,White,College,Every day  ,0,0,Leaning Republican
96,96,0,1,3,2,4,non-group-related control,0,15,0,Republican,civil,Male,Born 1959-1974,White,Professional degree,At least once a week but not every day  ,0,0,Leaning Republican
97,97,0,1,4,3,2,non-group-related control,0,5,7,Democrat,civil,Female,Born 1975-1990,White,College,Every day  ,0,0,Democrat
98,98,1,4,2,1,3,control,62,100,0,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,41,100,Leaning Democrat
99,99,1,3,2,1,4,control,85,100,10,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,76,80,Strong Democrat
100,100,0,1,3,2,4,non-group-related control,5,0,0,Independent,civil,Female,Born 1991 or later,White,High school graduate,Every day  ,0,0,Independent
101,101,0,1,2,3,4,non-group-related control,0,0,0,Independent,civil,Female,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,0,0,Independent
102,102,1,3,2,1,4,control,60,100,30,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,61,100,Democrat
103,103,1,3,2,1,4,control,71,100,30,Democrat,intolerant,Female,Born 1975-1990,White,Less than high school,Every day  ,100,100,Strong Democrat
104,104,0,1,4,2,3,non-group-related control,0,0,0,Independent,civil,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,0,0,Independent
105,105,0,3,1,2,4,non-group-related control,30,41,0,Republican,uncivil,Male,Born 1991 or later,White,College,At least once a week but not every day  ,0,0,Republican
106,106,1,1,3,2,4,control,8,10,3,Independent,civil,Female,Born 1943-1958,White,College,Every day  ,4,10,Independent
107,107,0,1,2,3,4,non-group-related control,2,0,0,Republican,civil,Male,Born 1975-1990,White,Professional degree,Every day  ,0,0,Leaning Republican
108,108,1,4,1,2,3,control,92,74,51,Democrat,uncivil,Male,Born 1991 or later,Race other/multiple,College,Every day  ,95,96,Democrat
109,109,1,4,2,1,3,control,65,75,15,Republican,intolerant,Male,Born 1991 or later,Hispanic,High school graduate,Every day  ,0,0,Leaning Republican
110,110,0,1,2,4,3,non-group-related control,9,0,0,Democrat,civil,Male,Born 1975-1990,Race other/multiple,College,Every day  ,0,0,Democrat
111,111,0,1,3,2,4,non-group-related control,0,0,0,Republican,civil,Female,Born 1975-1990,White,High school graduate,Every day  ,0,0,Leaning Republican
112,112,1,4,1,2,3,control,77,69,38,Democrat,uncivil,Male,Born 1975-1990,Race other/multiple,PhD,Every day  ,61,80,Leaning Democrat
113,113,0,1,3,2,4,non-group-related control,2,1,0,Democrat,civil,Female,Born 1975-1990,Black,Postgraduate (e.g. Masters),Every day  ,4,1,Leaning Democrat
114,114,0,1,3,2,4,non-group-related control,7,15,15,Democrat,civil,Female,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,4,6,Strong Democrat
115,115,1,3,2,1,4,control,50,85,0,Democrat,intolerant,Female,Born 1959-1974,White,College,Every day  ,17,65,Leaning Democrat
116,116,1,3,1,2,4,control,100,98,8,Democrat,uncivil,Female,Born 1943-1958,White,Postgraduate (e.g. Masters),At least once a week but not every day  ,0,86,Strong Democrat
117,117,1,3,2,1,4,control,51,100,11,Independent,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,91,100,Independent
118,118,0,1,3,2,4,non-group-related control,0,10,0,Democrat,civil,Female,Born 1991 or later,White,College,Every day  ,0,0,Strong Democrat
119,119,0,1,3,2,4,non-group-related control,0,0,0,Democrat,civil,Other,Born 1975-1990,White,Postgraduate (e.g. Masters),At least once a week but not every day  ,0,0,Democrat
120,120,1,3,2,1,4,control,81,100,0,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,100,100,Strong Democrat
121,121,1,3,2,1,4,control,97,97,0,Democrat,intolerant,Male,Born 1943-1958,White,College,Every day  ,91,100,Democrat
122,122,0,1,3,2,4,non-group-related control,0,33,24,Democrat,civil,Male,Born 1975-1990,Black,High school graduate,Every day  ,10,6,Democrat
123,123,1,4,1,3,2,control,100,50,75,Democrat,uncivil,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,80,100,Democrat
124,124,0,1,2,3,4,non-group-related control,10,0,0,Democrat,civil,Female,Born 1991 or later,Black,Professional degree,Every day  ,0,0,Democrat
125,125,0,1,2,3,4,non-group-related control,0,0,0,Democrat,civil,Male,Born 1991 or later,Black,High school graduate,Every day  ,0,0,Leaning Democrat
126,126,0,1,2,4,3,non-group-related control,0,0,0,Republican,civil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,0,0,Republican
127,127,1,2,3,1,4,control,31,94,4,Democrat,intolerant,Female,Born 1991 or later,Black,High school graduate,Every day  ,55,86,Strong Democrat
128,128,0,1,3,2,4,non-group-related control,72,0,0,Independent,civil,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,0,0,Independent
129,129,1,4,2,1,3,control,90,100,0,Independent,intolerant,Male,Born 1975-1990,White,College,Every day  ,70,80,Independent
130,130,1,4,2,1,3,control,90,100,22,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,92,100,Strong Democrat
131,131,0,1,3,2,4,non-group-related control,10,10,0,Democrat,civil,Female,Born 1991 or later,White,High school graduate,Every day  ,0,0,Leaning Democrat
132,132,1,4,1,2,3,control,71,70,36,Democrat,uncivil,Other,Born 1991 or later,White,Professional degree,Every day  ,68,60,Strong Democrat
133,133,0,1,4,2,3,non-group-related control,0,0,0,Republican,civil,Female,Born 1991 or later,White,College,Every day  ,12,12,Republican
134,134,1,1,3,2,4,control,0,5,0,Democrat,civil,Male,Born 1975-1990,Hispanic,High school graduate,Every day  ,0,0,Democrat
135,135,0,1,4,3,2,non-group-related control,14,0,2,Independent,civil,Female,Born 1959-1974,White,Postgraduate (e.g. Masters),Every day  ,0,0,Independent
136,136,0,1,3,2,4,non-group-related control,12,35,3,Democrat,civil,Female,Born 1991 or later,White,College,Every day  ,0,0,Strong Democrat
137,137,1,1,2,4,3,control,0,0,0,Independent,civil,Male,Born 1975-1990,White,College,Every day  ,0,0,Independent
138,138,0,1,2,3,4,non-group-related control,0,0,0,Democrat,civil,Male,Born 1975-1990,Race other/multiple,College,Every day  ,0,0,Democrat
139,139,1,1,2,3,4,control,0,0,0,Republican,civil,Male,Born 1991 or later,White,College,Every day  ,0,0,Strong Republican
140,140,1,2,3,1,4,control,4,94,26,Democrat,intolerant,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,51,60,Leaning Democrat
141,141,0,1,2,3,4,non-group-related control,29,70,0,Democrat,civil,Female,Born 1975-1990,White,"Professional degree,College",Every day  ,0,0,Strong Democrat
142,142,1,4,2,1,3,control,100,100,65,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,71,77,Strong Democrat
143,143,1,4,2,1,3,control,66,100,76,Democrat,intolerant,Female,Born 1975-1990,White,College,At least once a week but not every day  ,62,87,Democrat
144,144,0,1,2,3,4,non-group-related control,0,0,0,Republican,civil,Male,Born 1975-1990,White,High school graduate,Every day  ,0,0,Republican
145,145,0,1,2,3,4,non-group-related control,0,0,0,Independent,civil,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,0,0,Independent
146,146,1,4,2,1,3,control,85,77,25,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,75,75,Strong Democrat
147,147,1,1,3,2,4,control,30,50,0,Independent,civil,Male,Born 1959-1974,White,Postgraduate (e.g. Masters),Less often,19,0,Independent
148,148,0,1,3,2,4,non-group-related control,0,0,0,Independent,civil,Female,Born 1975-1990,White,College,At least once a week but not every day  ,0,0,Independent
149,149,1,3,2,1,4,control,42,97,22,Democrat,intolerant,Female,Born 1943-1958,White,High school graduate,Every day  ,33,78,Strong Democrat
150,150,1,1,3,2,4,control,0,20,0,Democrat,civil,Female,Born 1975-1990,Black,College,Every day  ,10,9,Democrat
151,151,0,1,3,2,4,non-group-related control,3,5,0,Republican,civil,Male,Born 1959-1974,White,College,Every day  ,0,0,Republican
152,152,0,1,3,2,4,non-group-related control,5,40,0,Democrat,civil,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,0,0,Democrat
153,153,1,1,2,3,4,control,0,0,0,Republican,civil,Male,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),At least once a week but not every day  ,0,0,Strong Republican
154,154,0,1,2,3,4,non-group-related control,0,0,0,Democrat,civil,Female,Born 1959-1974,Black,High school graduate,Every day  ,0,0,Democrat
155,155,1,3,2,1,4,control,91,81,19,Independent,intolerant,Female,Born 1991 or later,Race other/multiple,College,Every day  ,56,83,Independent
156,156,0,1,4,2,3,non-group-related control,7,19,6,Independent,civil,Male,Born 1959-1974,White,High school graduate,At least once a week but not every day  ,50,50,Independent
157,157,0,1,3,2,4,non-group-related control,0,0,0,Republican,civil,Male,Born 1991 or later,White,College,Every day  ,0,3,Leaning Republican
158,158,0,1,4,2,3,non-group-related control,0,0,0,Democrat,civil,Male,Born 1959-1974,White,High school graduate,Every day  ,0,0,Leaning Democrat
159,159,1,3,2,1,4,control,20,81,9,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,64,75,Strong Democrat
160,160,1,4,1,3,2,control,100,86,94,Democrat,uncivil,Female,Born 1991 or later,Hispanic,College,Every day  ,100,100,Democrat
161,161,1,3,1,2,4,control,91,88,11,Democrat,uncivil,Female,Born 1991 or later,White,College,Every day  ,72,84,Strong Democrat
162,162,1,3,2,1,4,control,68,100,1,Democrat,intolerant,Female,Born 1991 or later,Black,College,Every day  ,57,74,Leaning Democrat
163,163,0,1,3,2,4,non-group-related control,2,3,0,Democrat,civil,Female,Born 1991 or later,White,College,Every day  ,0,0,Leaning Democrat
164,164,0,1,2,3,4,non-group-related control,6,0,0,Democrat,civil,Female,Born 1943-1958,White,College,Every day  ,0,0,Leaning Democrat
165,165,0,1,3,2,4,non-group-related control,0,0,0,Independent,civil,Female,Born 1991 or later,White,College,Every day  ,0,0,Independent
166,166,0,1,2,3,4,non-group-related control,0,0,0,Democrat,civil,Female,Born 1975-1990,Hispanic,High school graduate,A few times a month  ,0,0,Strong Democrat
167,167,1,3,2,1,4,control,51,73,0,Democrat,intolerant,Male,Born 1991 or later,Hispanic,High school graduate,Every day  ,15,35,Leaning Democrat
168,168,1,4,1,2,3,control,91,77,29,Democrat,uncivil,Male,Born 1991 or later,Black,College,Every day  ,91,100,Democrat
169,169,1,3,2,1,4,control,50,100,0,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,100,100,Strong Democrat
170,170,0,1,4,2,3,non-group-related control,0,4,0,Independent,civil,Female,Born 1991 or later,White,High school graduate,Every day  ,0,0,Independent
171,171,1,4,1,2,3,control,100,100,10,Democrat,uncivil,Male,Born 1991 or later,Black,High school graduate,Every day  ,30,20,Leaning Democrat
172,172,0,1,2,3,4,non-group-related control,11,0,0,Democrat,civil,Female,Born 1991 or later,White,High school graduate,Every day  ,0,0,Leaning Democrat
173,173,1,4,2,1,3,control,76,100,0,Democrat,intolerant,Female,Born 1991 or later,Hispanic,College,Every day  ,19,59,Leaning Democrat
174,174,0,1,3,2,4,non-group-related control,71,77,95,Democrat,civil,Female,Born 1959-1974,White,College,Every day  ,0,0,Leaning Democrat
175,175,1,4,2,1,3,control,81,100,29,Independent,intolerant,Female,Born 1991 or later,Hispanic,"High school graduate,College",Every day  ,100,82,Independent
176,176,0,1,3,2,4,non-group-related control,0,0,0,Democrat,civil,Other,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,0,0,Strong Democrat
177,177,0,1,2,3,4,non-group-related control,9,1,1,Democrat,civil,Female,Born 1991 or later,White,High school graduate,Every day  ,0,0,Strong Democrat
178,178,1,2,3,1,4,control,20,90,9,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,80,100,Leaning Democrat
179,179,0,1,2,3,4,non-group-related control,11,11,11,Democrat,civil,Female,Born 1991 or later,White,College,Every day  ,50,51,Leaning Democrat
180,180,0,1,2,3,4,non-group-related control,100,100,0,Democrat,civil,Female,Born 1975-1990,Black,College,At least once a week but not every day  ,50,100,Leaning Democrat
181,181,1,3,1,2,4,control,70,60,5,Republican,uncivil,Female,Born 1959-1974,White,High school graduate,Every day  ,25,10,Leaning Republican
