unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
206,1,NA,NA,NA,1---,0,36,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
207,2,NA,NA,NA,2---,1,21,1,0,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"15,000-19,999",0,0,1
208,1,NA,NA,NA,1---,0,25,1,0,0,0,male,0,Some college,1,0,0,1,0,1,0,0,0,1,"0-2,499",1,0,0
209,1,NA,NA,NA,1---,0,28,0,1,0,0,male,0,Class 9,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
210,1,NA,NA,NA,1---,0,35,0,1,0,0,female,1,Class 8,0,0,1,0,0,1,0,0,0,0,"0-2,499",1,0,0
211,2,NA,NA,NA,2---,1,59,0,0,1,1,male,0,Class 5,0,0,0,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
212,1,NA,NA,NA,1---,0,30,0,1,0,0,male,0,Class 9,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
213,1,NA,NA,NA,1---,1,35,0,1,0,0,female,1,Class 8,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
214,2,NA,NA,NA,2---,1,25,1,0,0,0,male,0,Class 8,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
215,1,NA,NA,NA,1---,1,25,1,0,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
216,1,NA,NA,NA,1---,0,31,0,1,0,0,female,1,Class 6,0,0,1,0,0,0,1,0,0,0,"5,000-9,999",0,1,0
217,1,NA,NA,NA,1---,0,34,0,1,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
218,1,NA,NA,NA,1---,1,23,1,0,0,0,male,0,Some college,1,0,0,1,0,1,0,0,0,0,"5,000-9,999",0,1,0
219,3,NA,NA,NA,3---,1,32,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
220,1,NA,NA,NA,1---,0,20,1,0,0,0,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
221,2,NA,NA,NA,2---,0,50,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
222,1,NA,NA,NA,1---,1,40,0,1,0,1,female,1,Class 10,0,0,1,0,0,0,1,0,0,0,"2500-4,999",1,0,0
223,1,NA,NA,NA,1---,1,27,1,0,0,0,female,1,Class 9,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
224,1,NA,NA,NA,1---,0,20,1,0,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
225,1,NA,NA,NA,1---,0,24,1,0,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,0,1,0,0,0,"10,000-14,999",0,1,0
226,1,NA,NA,NA,1---,0,30,0,1,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
227,1,NA,NA,NA,1---,1,20,1,0,0,0,female,1,Some college,1,0,0,1,0,1,0,0,0,0,"2500-4,999",1,0,0
228,2,NA,NA,NA,2---,1,60,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
229,1,NA,NA,NA,1---,0,27,1,0,0,0,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
230,2,NA,NA,NA,2---,1,23,1,0,0,0,male,0,Class 9,0,0,1,0,0,0,1,0,0,1,"2500-4,999",1,0,0
231,1,NA,NA,NA,1---,1,21,1,0,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
232,1,NA,NA,NA,1---,1,64,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"20,000-29,999",0,0,1
233,2,NA,NA,NA,2---,1,29,0,1,0,0,male,0,No formal education,0,1,0,0,0,0,1,0,0,1,"0-2,499",1,0,0
234,1,NA,NA,NA,1---,0,60,0,0,1,1,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,0,1,0,0,1,"2500-4,999",1,0,0
235,1,NA,NA,NA,1---,0,79,0,0,1,1,male,0,No formal education,0,1,0,0,0,0,1,0,0,0,"0-2,499",1,0,0
236,1,NA,NA,NA,1---,0,35,0,1,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
237,1,NA,NA,NA,1---,1,27,1,0,0,0,male,0,Class 8,0,0,1,0,0,0,1,0,0,1,"5,000-9,999",0,1,0
238,1,NA,NA,NA,1---,0,57,0,0,1,1,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,1,"50,000-59,999",0,0,1
239,1,NA,NA,NA,1---,0,25,1,0,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
240,1,NA,NA,NA,1---,1,34,0,1,0,0,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
241,1,NA,NA,NA,1---,0,40,0,1,0,1,male,0,Class 5,0,0,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
242,1,NA,NA,NA,1---,0,49,0,1,0,1,male,0,No formal education,0,1,0,0,0,0,1,0,0,1,"2500-4,999",1,0,0
